"respondent","i","j","type","weight"
3900101,3900101,3900401,"borrowmoney",1
3900102,3900102,3900401,"borrowmoney",1
3900201,3900201,3900601,"borrowmoney",1
3900401,3900401,3900101,"borrowmoney",1
3900402,3900402,3925902,"borrowmoney",1
3900403,3900403,3900501,"borrowmoney",1
3900404,3900404,3900601,"borrowmoney",1
3900405,3900405,3900101,"borrowmoney",1
3900501,3900501,3900501,"borrowmoney",1
3900502,3900502,3900501,"borrowmoney",1
3900601,3900601,3925901,"borrowmoney",1
3900602,3900602,3900201,"borrowmoney",1
3900603,3900603,3925901,"borrowmoney",1
3900701,3900701,3900101,"borrowmoney",1
3901201,3901201,3901102,"borrowmoney",1
3901202,3901202,3900802,"borrowmoney",1
3901301,3901301,3902601,"borrowmoney",1
3901302,3901302,3901702,"borrowmoney",1
3901303,3901303,3901702,"borrowmoney",1
3901801,3901801,3919001,"borrowmoney",1
3901802,3901802,3900601,"borrowmoney",1
3902001,3902001,3922210,"borrowmoney",1
3902002,3902002,3902101,"borrowmoney",1
3902003,3902003,3904501,"borrowmoney",1
3902101,3902101,3914701,"borrowmoney",1
3902102,3902102,3914701,"borrowmoney",1
3902301,3902301,3923201,"borrowmoney",1
3902302,3902302,3902102,"borrowmoney",1
3902304,3902304,3923302,"borrowmoney",1
3902401,3902401,3901901,"borrowmoney",1
3902402,3902402,3902102,"borrowmoney",1
3902403,3902403,3904604,"borrowmoney",1
3902404,3902404,3901702,"borrowmoney",1
3902601,3902601,3902401,"borrowmoney",1
3902602,3902602,3901802,"borrowmoney",1
3902603,3902603,3907301,"borrowmoney",1
3902604,3902604,3927125,"borrowmoney",1
3902606,3902606,3903203,"borrowmoney",1
3902607,3902607,3902401,"borrowmoney",1
3902901,3902901,3925101,"borrowmoney",1
3902902,3902902,3912802,"borrowmoney",1
3903101,3903101,3925001,"borrowmoney",1
3903102,3903102,3903402,"borrowmoney",1
3903104,3903104,3906101,"borrowmoney",1
3903201,3903201,3903802,"borrowmoney",1
3903202,3903202,3903101,"borrowmoney",1
3903204,3903204,3903102,"borrowmoney",1
3903401,3903401,3925101,"borrowmoney",1
3903402,3903402,3908502,"borrowmoney",1
3903501,3903501,3919301,"borrowmoney",1
3903502,3903502,3922204,"borrowmoney",1
3903503,3903503,3918602,"borrowmoney",1
3903701,3903701,3903401,"borrowmoney",1
3903702,3903702,3903602,"borrowmoney",1
3903703,3903703,3918401,"borrowmoney",1
3903704,3903704,3902801,"borrowmoney",1
3903901,3903901,3914501,"borrowmoney",1
3903902,3903902,3922301,"borrowmoney",1
3904001,3904001,3909201,"borrowmoney",1
3904101,3904101,3904001,"borrowmoney",1
3904103,3904103,3921802,"borrowmoney",1
3904301,3904301,3918101,"borrowmoney",1
3904302,3904302,3904101,"borrowmoney",1
3904303,3904303,3922103,"borrowmoney",1
3905001,3905001,3924401,"borrowmoney",1
3905002,3905002,3904801,"borrowmoney",1
3905101,3905101,3905402,"borrowmoney",1
3905102,3905102,3904201,"borrowmoney",1
3905103,3905103,3902303,"borrowmoney",1
3905104,3905104,3905601,"borrowmoney",1
3905201,3905201,3917303,"borrowmoney",1
3905202,3905202,3904802,"borrowmoney",1
3905401,3905401,3907801,"borrowmoney",1
3905402,3905402,3905602,"borrowmoney",1
3905601,3905601,3900903,"borrowmoney",1
3905602,3905602,3905402,"borrowmoney",1
3905902,3905902,3905804,"borrowmoney",1
3906001,3906001,3905806,"borrowmoney",1
3906002,3906002,3905902,"borrowmoney",1
3906101,3906101,3903601,"borrowmoney",1
3906102,3906102,3906201,"borrowmoney",1
3906103,3906103,3906502,"borrowmoney",1
3906104,3906104,3906403,"borrowmoney",1
3906201,3906201,3909502,"borrowmoney",1
3906401,3906401,3920505,"borrowmoney",1
3906402,3906402,3906201,"borrowmoney",1
3906403,3906403,3909802,"borrowmoney",1
