"respondent","i","j","type","weight"
4500101,4500101,4500201,"borrowmoney",1
4500102,4500102,4500806,"borrowmoney",1
4500501,4500501,4503305,"borrowmoney",1
4500502,4500502,4511602,"borrowmoney",1
4500601,4500601,4500701,"borrowmoney",1
4500602,4500602,4500502,"borrowmoney",1
4500701,4500701,4501202,"borrowmoney",1
4500702,4500702,4511704,"borrowmoney",1
4500801,4500801,4500601,"borrowmoney",1
4500802,4500802,4506101,"borrowmoney",1
4501301,4501301,4511301,"borrowmoney",1
4501302,4501302,4501902,"borrowmoney",1
4501401,4501401,4501601,"borrowmoney",1
4501402,4501402,4501602,"borrowmoney",1
4501403,4501403,4515901,"borrowmoney",1
4501404,4501404,4502202,"borrowmoney",1
4501601,4501601,4519201,"borrowmoney",1
4501602,4501602,4501902,"borrowmoney",1
4501603,4501603,4514501,"borrowmoney",1
4501604,4501604,4514602,"borrowmoney",1
4501606,4501606,4502102,"borrowmoney",1
4501607,4501607,4514402,"borrowmoney",1
4502101,4502101,4502202,"borrowmoney",1
4502102,4502102,4502203,"borrowmoney",1
4502103,4502103,4502204,"borrowmoney",1
4502201,4502201,4504201,"borrowmoney",1
4502202,4502202,4503902,"borrowmoney",1
4502203,4502203,4504201,"borrowmoney",1
4502204,4502204,4502402,"borrowmoney",1
4502301,4502301,4512703,"borrowmoney",1
4502302,4502302,4502202,"borrowmoney",1
4502501,4502501,4511701,"borrowmoney",1
4502602,4502602,4501002,"borrowmoney",1
4502701,4502701,4505401,"borrowmoney",1
4502702,4502702,4518602,"borrowmoney",1
4502703,4502703,4503004,"borrowmoney",1
4502704,4502704,4503103,"borrowmoney",1
4502801,4502801,4516801,"borrowmoney",1
4502802,4502802,4501401,"borrowmoney",1
4503301,4503301,4503001,"borrowmoney",1
4503302,4503302,4515402,"borrowmoney",1
4503305,4503305,4512703,"borrowmoney",1
4503306,4503306,4502703,"borrowmoney",1
4503801,4503801,4511402,"borrowmoney",1
4503802,4503802,4502501,"borrowmoney",1
4503803,4503803,4502504,"borrowmoney",1
4503901,4503901,4504101,"borrowmoney",1
4503902,4503902,4504004,"borrowmoney",1
4503903,4503903,4503802,"borrowmoney",1
4503904,4503904,4504004,"borrowmoney",1
4504101,4504101,4502401,"borrowmoney",1
4504102,4504102,4516202,"borrowmoney",1
4504201,4504201,4504701,"borrowmoney",1
4504202,4504202,4506102,"borrowmoney",1
4504402,4504402,4505402,"borrowmoney",1
4504501,4504501,4502502,"borrowmoney",1
4504901,4504901,4504701,"borrowmoney",1
4504902,4504902,4505302,"borrowmoney",1
4505001,4505001,4505401,"borrowmoney",1
4505002,4505002,4505202,"borrowmoney",1
4505201,4505201,4505401,"borrowmoney",1
4505202,4505202,4506102,"borrowmoney",1
4505401,4505401,4512703,"borrowmoney",1
4505402,4505402,4505902,"borrowmoney",1
4505404,4505404,4505302,"borrowmoney",1
4505406,4505406,4509202,"borrowmoney",1
4505501,4505501,4505301,"borrowmoney",1
4505502,4505502,4505702,"borrowmoney",1
4505504,4505504,4505402,"borrowmoney",1
4506101,4506101,4505401,"borrowmoney",1
4506102,4506102,4506202,"borrowmoney",1
4506301,4506301,4512703,"borrowmoney",1
4506302,4506302,4504702,"borrowmoney",1
4506501,4506501,4506102,"borrowmoney",1
4506601,4506601,4506901,"borrowmoney",1
4506602,4506602,4505301,"borrowmoney",1
4506603,4506603,4506202,"borrowmoney",1
4506901,4506901,4511703,"borrowmoney",1
4506902,4506902,4508402,"borrowmoney",1
4506903,4506903,4507002,"borrowmoney",1
4507001,4507001,4506101,"borrowmoney",1
4507002,4507002,4507101,"borrowmoney",1
4507201,4507201,4506902,"borrowmoney",1
4507203,4507203,4507302,"borrowmoney",1
4507401,4507401,4503501,"borrowmoney",1
4507402,4507402,4503501,"borrowmoney",1
4507501,4507501,4512701,"borrowmoney",1
4507502,4507502,4507103,"borrowmoney",1
4507503,4507503,4507602,"borrowmoney",1
4507601,4507601,4519603,"borrowmoney",1
4507602,4507602,4507802,"borrowmoney",1
