"respondent","i","j","type","weight"
7300101,7300101,7301001,"borrowmoney",1
7300102,7300102,7300302,"borrowmoney",1
7300301,7300301,7314401,"borrowmoney",1
7300302,7300302,7300102,"borrowmoney",1
7300401,7300401,7309303,"borrowmoney",1
7300402,7300402,7300502,"borrowmoney",1
7300501,7300501,7305201,"borrowmoney",1
7300502,7300502,7308701,"borrowmoney",1
7300601,7300601,7306601,"borrowmoney",1
7300602,7300602,7313702,"borrowmoney",1
7300701,7300701,7302501,"borrowmoney",1
7300702,7300702,7301102,"borrowmoney",1
7300801,7300801,7302206,"borrowmoney",1
7300802,7300802,7316802,"borrowmoney",1
7301001,7301001,7301101,"borrowmoney",1
7301002,7301002,7301102,"borrowmoney",1
7301401,7301401,7313203,"borrowmoney",1
7301402,7301402,7301602,"borrowmoney",1
7301403,7301403,7316905,"borrowmoney",1
7301404,7301404,7300402,"borrowmoney",1
7301413,7301413,7313701,"borrowmoney",1
7301414,7301414,7313202,"borrowmoney",1
7301601,7301601,7309001,"borrowmoney",1
7301602,7301602,7300202,"borrowmoney",1
7301604,7301604,7301503,"borrowmoney",1
7301606,7301606,7306901,"borrowmoney",1
7301607,7301607,7300202,"borrowmoney",1
7301801,7301801,7307001,"borrowmoney",1
7301802,7301802,7313602,"borrowmoney",1
7302101,7302101,7300601,"borrowmoney",1
7302102,7302102,7309702,"borrowmoney",1
7302103,7302103,7306501,"borrowmoney",1
7302104,7302104,7304701,"borrowmoney",1
7302105,7302105,7308002,"borrowmoney",1
7302109,7302109,7312902,"borrowmoney",1
7302110,7302110,7309702,"borrowmoney",1
7302112,7302112,7307806,"borrowmoney",1
7302113,7302113,7305602,"borrowmoney",1
7302301,7302301,7312201,"borrowmoney",1
7302302,7302302,7306501,"borrowmoney",1
7302307,7302307,7307203,"borrowmoney",1
7302308,7302308,7302502,"borrowmoney",1
7302501,7302501,7305701,"borrowmoney",1
7302502,7302502,7302302,"borrowmoney",1
7302506,7302506,7302302,"borrowmoney",1
7302507,7302507,7302303,"borrowmoney",1
7302601,7302601,7306901,"borrowmoney",1
7302602,7302602,7302802,"borrowmoney",1
7302801,7302801,7307501,"borrowmoney",1
7302802,7302802,7302201,"borrowmoney",1
7303001,7303001,7307501,"borrowmoney",1
7303002,7303002,7302201,"borrowmoney",1
7303301,7303301,7303101,"borrowmoney",1
7303302,7303302,7312602,"borrowmoney",1
7303802,7303802,7303701,"borrowmoney",1
7303901,7303901,7303701,"borrowmoney",1
7303902,7303902,7303802,"borrowmoney",1
7304101,7304101,7305701,"borrowmoney",1
7304102,7304102,7302802,"borrowmoney",1
7304301,7304301,7309001,"borrowmoney",1
7304302,7304302,7304404,"borrowmoney",1
7304401,7304401,7301601,"borrowmoney",1
7304402,7304402,7309802,"borrowmoney",1
7304403,7304403,7314301,"borrowmoney",1
7304404,7304404,7303602,"borrowmoney",1
7304502,7304502,7306502,"borrowmoney",1
7304504,7304504,7308004,"borrowmoney",1
7304701,7304701,7305601,"borrowmoney",1
7304702,7304702,7302602,"borrowmoney",1
7304902,7304902,7316506,"borrowmoney",1
7305001,7305001,7311207,"borrowmoney",1
7305002,7305002,7302201,"borrowmoney",1
7305003,7305003,7302207,"borrowmoney",1
7305201,7305201,7300501,"borrowmoney",1
7305202,7305202,7307902,"borrowmoney",1
7305301,7305301,7303803,"borrowmoney",1
7305302,7305302,7305702,"borrowmoney",1
7305701,7305701,7307901,"borrowmoney",1
7305702,7305702,7313801,"borrowmoney",1
7305703,7305703,7305302,"borrowmoney",1
7306301,7306301,7306401,"borrowmoney",1
7306302,7306302,7306401,"borrowmoney",1
7306401,7306401,7316301,"borrowmoney",1
7306402,7306402,7306602,"borrowmoney",1
7306404,7306404,7306602,"borrowmoney",1
7306501,7306501,7306601,"borrowmoney",1
7306601,7306601,7310101,"borrowmoney",1
7306801,7306801,7316502,"borrowmoney",1
7306901,7306901,7313203,"borrowmoney",1
7307001,7307001,7307501,"borrowmoney",1
7307002,7307002,7313802,"borrowmoney",1
7307302,7307302,7313102,"borrowmoney",1
7307401,7307401,7314001,"borrowmoney",1
7307402,7307402,7307202,"borrowmoney",1
7307601,7307601,7300801,"borrowmoney",1
7307602,7307602,7306501,"borrowmoney",1
7307802,7307802,7307902,"borrowmoney",1
7307901,7307901,7305701,"borrowmoney",1
7307902,7307902,7307802,"borrowmoney",1
7308001,7308001,7306501,"borrowmoney",1
7308002,7308002,7312201,"borrowmoney",1
7308403,7308403,7305601,"borrowmoney",1
7308501,7308501,7312201,"borrowmoney",1
7308502,7308502,7308602,"borrowmoney",1
7308701,7308701,7308901,"borrowmoney",1
7308702,7308702,7310402,"borrowmoney",1
7309001,7309001,7309801,"borrowmoney",1
7309002,7309002,7306406,"borrowmoney",1
7309301,7309301,7308601,"borrowmoney",1
7309302,7309302,7309702,"borrowmoney",1
7309303,7309303,7309701,"borrowmoney",1
7309304,7309304,7309402,"borrowmoney",1
7309305,7309305,7309104,"borrowmoney",1
7309501,7309501,7308901,"borrowmoney",1
7309502,7309502,7308901,"borrowmoney",1
7309601,7309601,7308501,"borrowmoney",1
7309701,7309701,7309303,"borrowmoney",1
7309702,7309702,7303601,"borrowmoney",1
7309801,7309801,7309001,"borrowmoney",1
7309802,7309802,7309701,"borrowmoney",1
7310001,7310001,7309001,"borrowmoney",1
7310002,7310002,7309402,"borrowmoney",1
7310005,7310005,7309303,"borrowmoney",1
7310101,7310101,7306501,"borrowmoney",1
7310102,7310102,7313802,"borrowmoney",1
7310201,7310201,7310303,"borrowmoney",1
7310202,7310202,7308902,"borrowmoney",1
7310301,7310301,7309701,"borrowmoney",1
7310302,7310302,7309702,"borrowmoney",1
7310303,7310303,7309701,"borrowmoney",1
7310304,7310304,7309702,"borrowmoney",1
7310402,7310402,7303601,"borrowmoney",1
7310502,7310502,7311602,"borrowmoney",1
7310701,7310701,7311601,"borrowmoney",1
7310702,7310702,7311602,"borrowmoney",1
7310901,7310901,7312201,"borrowmoney",1
7310902,7310902,7311401,"borrowmoney",1
7310903,7310903,7311401,"borrowmoney",1
7310904,7310904,7310802,"borrowmoney",1
7311201,7311201,7311101,"borrowmoney",1
7311202,7311202,7311302,"borrowmoney",1
7311301,7311301,7311201,"borrowmoney",1
7311302,7311302,7311202,"borrowmoney",1
7311304,7311304,7311202,"borrowmoney",1
7311401,7311401,7306501,"borrowmoney",1
7311402,7311402,7310802,"borrowmoney",1
7311601,7311601,7311701,"borrowmoney",1
7311602,7311602,7310602,"borrowmoney",1
7311701,7311701,7311601,"borrowmoney",1
7311801,7311801,7307604,"borrowmoney",1
7311802,7311802,7311602,"borrowmoney",1
7311901,7311901,7311401,"borrowmoney",1
7311902,7311902,7310802,"borrowmoney",1
7312301,7312301,7312601,"borrowmoney",1
7312302,7312302,7317101,"borrowmoney",1
7312501,7312501,7312601,"borrowmoney",1
7312502,7312502,7312602,"borrowmoney",1
7312701,7312701,7310101,"borrowmoney",1
7312702,7312702,7312402,"borrowmoney",1
7312703,7312703,7301410,"borrowmoney",1
7312704,7312704,7313802,"borrowmoney",1
7312801,7312801,7312901,"borrowmoney",1
