"respondent","i","j","type","weight"
6500101,6500101,6521001,"borrowmoney",1
6500102,6500102,6521002,"borrowmoney",1
6500301,6500301,6518601,"borrowmoney",1
6500302,6500302,6521301,"borrowmoney",1
6500401,6500401,6522901,"borrowmoney",1
6500402,6500402,6520702,"borrowmoney",1
6500701,6500701,6504001,"borrowmoney",1
6500702,6500702,6504002,"borrowmoney",1
6500901,6500901,6517206,"borrowmoney",1
6500902,6500902,6517206,"borrowmoney",1
6501001,6501001,6501101,"borrowmoney",1
6501002,6501002,6501101,"borrowmoney",1
6501101,6501101,6501005,"borrowmoney",1
6501102,6501102,6504902,"borrowmoney",1
6501201,6501201,6501005,"borrowmoney",1
6501202,6501202,6503102,"borrowmoney",1
6501203,6501203,6503102,"borrowmoney",1
6501401,6501401,6525001,"borrowmoney",1
6501402,6501402,6523502,"borrowmoney",1
6501404,6501404,6525001,"borrowmoney",1
6501405,6501405,6525001,"borrowmoney",1
6501501,6501501,6512801,"borrowmoney",1
6501502,6501502,6501602,"borrowmoney",1
6501901,6501901,6502001,"borrowmoney",1
6501902,6501902,6501609,"borrowmoney",1
6502101,6502101,6512801,"borrowmoney",1
6502102,6502102,6512802,"borrowmoney",1
6502104,6502104,6512801,"borrowmoney",1
6502105,6502105,6513202,"borrowmoney",1
6502401,6502401,6502503,"borrowmoney",1
6502402,6502402,6504602,"borrowmoney",1
6502601,6502601,6505801,"borrowmoney",1
6502602,6502602,6505702,"borrowmoney",1
6503301,6503301,6503401,"borrowmoney",1
6503302,6503302,6505804,"borrowmoney",1
6503401,6503401,6510101,"borrowmoney",1
6503402,6503402,6503102,"borrowmoney",1
6503405,6503405,6502203,"borrowmoney",1
6503406,6503406,6503702,"borrowmoney",1
6503501,6503501,6503601,"borrowmoney",1
6503701,6503701,6503401,"borrowmoney",1
6503702,6503702,6503601,"borrowmoney",1
6503703,6503703,6503002,"borrowmoney",1
6503801,6503801,6517201,"borrowmoney",1
6503802,6503802,6503901,"borrowmoney",1
6503901,6503901,6504001,"borrowmoney",1
6503902,6503902,6503802,"borrowmoney",1
6504001,6504001,6516901,"borrowmoney",1
