"respondent","i","j","type","weight"
100201,100201,107603,"borrowmoney",1
100202,100202,100201,"borrowmoney",1
100601,100601,101901,"borrowmoney",1
100602,100602,100501,"borrowmoney",1
100701,100701,100801,"borrowmoney",1
100702,100702,100801,"borrowmoney",1
100801,100801,100701,"borrowmoney",1
100802,100802,100902,"borrowmoney",1
100805,100805,100801,"borrowmoney",1
100806,100806,100801,"borrowmoney",1
100807,100807,100801,"borrowmoney",1
100808,100808,100801,"borrowmoney",1
101301,101301,111701,"borrowmoney",1
101302,101302,101502,"borrowmoney",1
101303,101303,101301,"borrowmoney",1
101601,101601,112901,"borrowmoney",1
101602,101602,101503,"borrowmoney",1
102002,102002,101902,"borrowmoney",1
102004,102004,104403,"borrowmoney",1
102103,102103,102101,"borrowmoney",1
102104,102104,100502,"borrowmoney",1
102401,102401,115201,"borrowmoney",1
102402,102402,110501,"borrowmoney",1
102901,102901,103901,"borrowmoney",1
102902,102902,103901,"borrowmoney",1
103101,103101,102901,"borrowmoney",1
103102,103102,102902,"borrowmoney",1
103104,103104,103101,"borrowmoney",1
103105,103105,102902,"borrowmoney",1
103201,103201,103701,"borrowmoney",1
103202,103202,117301,"borrowmoney",1
103301,103301,102901,"borrowmoney",1
103302,103302,102902,"borrowmoney",1
103501,103501,102902,"borrowmoney",1
103502,103502,102902,"borrowmoney",1
103701,103701,108901,"borrowmoney",1
103702,103702,103502,"borrowmoney",1
104001,104001,113201,"borrowmoney",1
104002,104002,102703,"borrowmoney",1
104101,104101,104901,"borrowmoney",1
104102,104102,102902,"borrowmoney",1
104201,104201,105202,"borrowmoney",1
104202,104202,100103,"borrowmoney",1
104301,104301,104501,"borrowmoney",1
104302,104302,108201,"borrowmoney",1
104801,104801,106506,"borrowmoney",1
104802,104802,102101,"borrowmoney",1
104901,104901,104801,"borrowmoney",1
104902,104902,104801,"borrowmoney",1
105301,105301,117301,"borrowmoney",1
105302,105302,105102,"borrowmoney",1
105303,105303,104801,"borrowmoney",1
105304,105304,104801,"borrowmoney",1
105401,105401,117301,"borrowmoney",1
105402,105402,117301,"borrowmoney",1
105404,105404,117304,"borrowmoney",1
105802,105802,117301,"borrowmoney",1
105901,105901,112901,"borrowmoney",1
105902,105902,112902,"borrowmoney",1
106201,106201,106001,"borrowmoney",1
106202,106202,106302,"borrowmoney",1
106204,106204,109201,"borrowmoney",1
106205,106205,106302,"borrowmoney",1
106501,106501,106502,"borrowmoney",1
106502,106502,106403,"borrowmoney",1
106503,106503,106404,"borrowmoney",1
106701,106701,109001,"borrowmoney",1
106702,106702,106603,"borrowmoney",1
106801,106801,106901,"borrowmoney",1
106802,106802,110901,"borrowmoney",1
107101,107101,101503,"borrowmoney",1
107102,107102,101503,"borrowmoney",1
107307,107307,113601,"borrowmoney",1
107308,107308,107402,"borrowmoney",1
107401,107401,107403,"borrowmoney",1
107402,107402,107308,"borrowmoney",1
107802,107802,107402,"borrowmoney",1
107803,107803,112103,"borrowmoney",1
107805,107805,100803,"borrowmoney",1
107901,107901,113601,"borrowmoney",1
108101,108101,116303,"borrowmoney",1
108104,108104,108105,"borrowmoney",1
108301,108301,107101,"borrowmoney",1
108302,108302,106205,"borrowmoney",1
108304,108304,106802,"borrowmoney",1
108801,108801,107901,"borrowmoney",1
108802,108802,109602,"borrowmoney",1
108803,108803,107503,"borrowmoney",1
108804,108804,109602,"borrowmoney",1
108901,108901,106901,"borrowmoney",1
