"respondent","i","j","type","weight"
900301,900301,918605,"borrowmoney",1
900302,900302,900202,"borrowmoney",1
900304,900304,900202,"borrowmoney",1
900305,900305,918605,"borrowmoney",1
900501,900501,904902,"borrowmoney",1
900502,900502,900503,"borrowmoney",1
900503,900503,904902,"borrowmoney",1
900504,900504,904903,"borrowmoney",1
900701,900701,901803,"borrowmoney",1
900702,900702,901605,"borrowmoney",1
901601,901601,901701,"borrowmoney",1
901602,901602,901701,"borrowmoney",1
901605,901605,901403,"borrowmoney",1
901606,901606,901701,"borrowmoney",1
901801,901801,901403,"borrowmoney",1
901802,901802,901403,"borrowmoney",1
902101,902101,901101,"borrowmoney",1
902102,902102,902201,"borrowmoney",1
902201,902201,905601,"borrowmoney",1
902202,902202,902301,"borrowmoney",1
902203,902203,902704,"borrowmoney",1
902204,902204,902703,"borrowmoney",1
902401,902401,913003,"borrowmoney",1
902402,902402,906402,"borrowmoney",1
902702,902702,902203,"borrowmoney",1
902703,902703,914503,"borrowmoney",1
902901,902901,914903,"borrowmoney",1
902902,902902,903202,"borrowmoney",1
903001,903001,901801,"borrowmoney",1
903002,903002,902002,"borrowmoney",1
903201,903201,905002,"borrowmoney",1
903202,903202,902703,"borrowmoney",1
903301,903301,915503,"borrowmoney",1
903303,903303,902702,"borrowmoney",1
903304,903304,902703,"borrowmoney",1
903501,903501,904803,"borrowmoney",1
903502,903502,906402,"borrowmoney",1
903506,903506,918501,"borrowmoney",1
903601,903601,904502,"borrowmoney",1
903602,903602,917201,"borrowmoney",1
903603,903603,904502,"borrowmoney",1
903701,903701,903002,"borrowmoney",1
903702,903702,903002,"borrowmoney",1
904001,904001,903901,"borrowmoney",1
904002,904002,903902,"borrowmoney",1
904201,904201,904907,"borrowmoney",1
904204,904204,903502,"borrowmoney",1
904401,904401,909201,"borrowmoney",1
904402,904402,909202,"borrowmoney",1
904601,904601,900201,"borrowmoney",1
904602,904602,903601,"borrowmoney",1
904701,904701,901605,"borrowmoney",1
904702,904702,903702,"borrowmoney",1
904801,904801,908201,"borrowmoney",1
904802,904802,900802,"borrowmoney",1
904803,904803,907401,"borrowmoney",1
904804,904804,904808,"borrowmoney",1
904807,904807,907701,"borrowmoney",1
904808,904808,904804,"borrowmoney",1
904901,904901,904902,"borrowmoney",1
904902,904902,904902,"borrowmoney",1
904903,904903,906003,"borrowmoney",1
904906,904906,905004,"borrowmoney",1
904907,904907,905002,"borrowmoney",1
905001,905001,915301,"borrowmoney",1
905002,905002,915301,"borrowmoney",1
905003,905003,904907,"borrowmoney",1
905004,905004,915503,"borrowmoney",1
905005,905005,904402,"borrowmoney",1
905201,905201,910901,"borrowmoney",1
905202,905202,903902,"borrowmoney",1
905203,905203,905003,"borrowmoney",1
906301,906301,908201,"borrowmoney",1
906302,906302,908201,"borrowmoney",1
906401,906401,915501,"borrowmoney",1
906402,906402,902402,"borrowmoney",1
906701,906701,906201,"borrowmoney",1
906702,906702,907801,"borrowmoney",1
906902,906902,906502,"borrowmoney",1
906904,906904,906502,"borrowmoney",1
907101,907101,907302,"borrowmoney",1
907103,907103,907701,"borrowmoney",1
907301,907301,911501,"borrowmoney",1
907302,907302,917102,"borrowmoney",1
907303,907303,913301,"borrowmoney",1
907304,907304,920102,"borrowmoney",1
907401,907401,908201,"borrowmoney",1
907402,907402,913502,"borrowmoney",1
907403,907403,913502,"borrowmoney",1
907801,907801,907302,"borrowmoney",1
907901,907901,914903,"borrowmoney",1
907902,907902,910602,"borrowmoney",1
908101,908101,908201,"borrowmoney",1
908102,908102,908202,"borrowmoney",1
908103,908103,900101,"borrowmoney",1
908104,908104,908202,"borrowmoney",1
908501,908501,919701,"borrowmoney",1
908502,908502,913004,"borrowmoney",1
908503,908503,908402,"borrowmoney",1
908504,908504,912802,"borrowmoney",1
908601,908601,913501,"borrowmoney",1
908602,908602,914602,"borrowmoney",1
908701,908701,908902,"borrowmoney",1
908702,908702,908901,"borrowmoney",1
908703,908703,908904,"borrowmoney",1
908802,908802,909202,"borrowmoney",1
908901,908901,908301,"borrowmoney",1
908902,908902,908706,"borrowmoney",1
908903,908903,908702,"borrowmoney",1
908904,908904,908703,"borrowmoney",1
909001,909001,909201,"borrowmoney",1
909002,909002,909202,"borrowmoney",1
909101,909101,909201,"borrowmoney",1
909102,909102,909201,"borrowmoney",1
909107,909107,909101,"borrowmoney",1
909201,909201,919701,"borrowmoney",1
909202,909202,909402,"borrowmoney",1
909801,909801,913301,"borrowmoney",1
909802,909802,909702,"borrowmoney",1
909803,909803,915501,"borrowmoney",1
909804,909804,907302,"borrowmoney",1
909901,909901,909402,"borrowmoney",1
909902,909902,910102,"borrowmoney",1
909904,909904,910102,"borrowmoney",1
910101,910101,908301,"borrowmoney",1
910102,910102,910202,"borrowmoney",1
911101,911101,919701,"borrowmoney",1
911102,911102,911001,"borrowmoney",1
911201,911201,913301,"borrowmoney",1
911203,911203,917109,"borrowmoney",1
911204,911204,914501,"borrowmoney",1
911301,911301,915403,"borrowmoney",1
911302,911302,908503,"borrowmoney",1
911701,911701,911902,"borrowmoney",1
911702,911702,917201,"borrowmoney",1
911801,911801,917101,"borrowmoney",1
911802,911802,906902,"borrowmoney",1
911806,911806,911201,"borrowmoney",1
911901,911901,912001,"borrowmoney",1
911902,911902,908602,"borrowmoney",1
912001,912001,919701,"borrowmoney",1
912002,912002,911902,"borrowmoney",1
912101,912101,911901,"borrowmoney",1
912102,912102,900102,"borrowmoney",1
912401,912401,912101,"borrowmoney",1
912402,912402,912101,"borrowmoney",1
912403,912403,912203,"borrowmoney",1
912501,912501,909004,"borrowmoney",1
912502,912502,911902,"borrowmoney",1
