"respondent","i","j","type","weight"
2900201,2900201,2900901,"borrowmoney",1
2900501,2900501,2903902,"borrowmoney",1
2900502,2900502,2903902,"borrowmoney",1
2900601,2900601,2927401,"borrowmoney",1
2900602,2900602,2927402,"borrowmoney",1
2901001,2901001,2902902,"borrowmoney",1
2901301,2901301,2904201,"borrowmoney",1
2901302,2901302,2927601,"borrowmoney",1
2901501,2901501,2922001,"borrowmoney",1
2901502,2901502,2901402,"borrowmoney",1
2901701,2901701,2901601,"borrowmoney",1
2901702,2901702,2901902,"borrowmoney",1
2901703,2901703,2901902,"borrowmoney",1
2901801,2901801,2902301,"borrowmoney",1
2901802,2901802,2902301,"borrowmoney",1
2902001,2902001,2902102,"borrowmoney",1
2902101,2902101,2903801,"borrowmoney",1
2902102,2902102,2902201,"borrowmoney",1
2902105,2902105,2904801,"borrowmoney",1
2902106,2902106,2904801,"borrowmoney",1
2902701,2902701,2901201,"borrowmoney",1
2902702,2902702,2927502,"borrowmoney",1
2903101,2903101,2903201,"borrowmoney",1
2903102,2903102,2903202,"borrowmoney",1
2903104,2903104,2903201,"borrowmoney",1
2903201,2903201,2901603,"borrowmoney",1
2903202,2903202,2901603,"borrowmoney",1
2903203,2903203,2903401,"borrowmoney",1
2903204,2903204,2901902,"borrowmoney",1
2903301,2903301,2903201,"borrowmoney",1
2903302,2903302,2903602,"borrowmoney",1
2903401,2903401,2903201,"borrowmoney",1
2903402,2903402,2903202,"borrowmoney",1
2903701,2903701,2928001,"borrowmoney",1
2903801,2903801,2922101,"borrowmoney",1
2903802,2903802,2900602,"borrowmoney",1
2904001,2904001,2918610,"borrowmoney",1
2904002,2904002,2904802,"borrowmoney",1
2904101,2904101,2923501,"borrowmoney",1
2904102,2904102,2917404,"borrowmoney",1
2904401,2904401,2925301,"borrowmoney",1
2904402,2904402,2901901,"borrowmoney",1
2904501,2904501,2900401,"borrowmoney",1
2904502,2904502,2905607,"borrowmoney",1
2904504,2904504,2900401,"borrowmoney",1
2904901,2904901,2906501,"borrowmoney",1
2905101,2905101,2918601,"borrowmoney",1
2905201,2905201,2905606,"borrowmoney",1
2905202,2905202,2905502,"borrowmoney",1
2905401,2905401,2904901,"borrowmoney",1
2905402,2905402,2905302,"borrowmoney",1
2905501,2905501,2905401,"borrowmoney",1
2905502,2905502,2906202,"borrowmoney",1
2905601,2905601,2921701,"borrowmoney",1
2905602,2905602,2905202,"borrowmoney",1
2905604,2905604,2905201,"borrowmoney",1
2905605,2905605,2905902,"borrowmoney",1
2905606,2905606,2905201,"borrowmoney",1
2905607,2905607,2905202,"borrowmoney",1
2905609,2905609,2906207,"borrowmoney",1
2905610,2905610,2906401,"borrowmoney",1
2905611,2905611,2905902,"borrowmoney",1
2906001,2906001,2906201,"borrowmoney",1
2906101,2906101,2916301,"borrowmoney",1
2906102,2906102,2906207,"borrowmoney",1
2906201,2906201,2906301,"borrowmoney",1
2906202,2906202,2906302,"borrowmoney",1
2906206,2906206,2905501,"borrowmoney",1
2906207,2906207,2906302,"borrowmoney",1
2906301,2906301,2905901,"borrowmoney",1
2906302,2906302,2905502,"borrowmoney",1
2906304,2906304,2920804,"borrowmoney",1
2906501,2906501,2924801,"borrowmoney",1
2906502,2906502,2924802,"borrowmoney",1
2906802,2906802,2924601,"borrowmoney",1
2906902,2906902,2914602,"borrowmoney",1
2907101,2907101,2919201,"borrowmoney",1
2907102,2907102,2919501,"borrowmoney",1
2907201,2907201,2920201,"borrowmoney",1
2907202,2907202,2907102,"borrowmoney",1
2907301,2907301,2923201,"borrowmoney",1
2907302,2907302,2919302,"borrowmoney",1
2907303,2907303,2922201,"borrowmoney",1
2907601,2907601,2912601,"borrowmoney",1
2907602,2907602,2912602,"borrowmoney",1
