"respondent","i","j","type","weight"
4700101,4700101,4708501,"borrowmoney",1
4700102,4700102,4708501,"borrowmoney",1
4700501,4700501,4712004,"borrowmoney",1
4700502,4700502,4700701,"borrowmoney",1
4700601,4700601,4701901,"borrowmoney",1
4700602,4700602,4707502,"borrowmoney",1
4700701,4700701,4701301,"borrowmoney",1
4700705,4700705,4700701,"borrowmoney",1
4701001,4701001,4708401,"borrowmoney",1
4701002,4701002,4700904,"borrowmoney",1
4701003,4701003,4700904,"borrowmoney",1
4701004,4701004,4708104,"borrowmoney",1
4701101,4701101,4711402,"borrowmoney",1
4701102,4701102,4708002,"borrowmoney",1
4701201,4701201,4701501,"borrowmoney",1
4701202,4701202,4701502,"borrowmoney",1
4701203,4701203,4707701,"borrowmoney",1
4701204,4701204,4707702,"borrowmoney",1
4701207,4701207,4709503,"borrowmoney",1
4701301,4701301,4700701,"borrowmoney",1
4701302,4701302,4700504,"borrowmoney",1
4701401,4701401,4706601,"borrowmoney",1
4701402,4701402,4708906,"borrowmoney",1
4701701,4701701,4701601,"borrowmoney",1
4701702,4701702,4701602,"borrowmoney",1
4701703,4701703,4702502,"borrowmoney",1
4702101,4702101,4701701,"borrowmoney",1
4702102,4702102,4700401,"borrowmoney",1
4702301,4702301,4703301,"borrowmoney",1
4702302,4702302,4707002,"borrowmoney",1
4702401,4702401,4701601,"borrowmoney",1
4702402,4702402,4702102,"borrowmoney",1
4702601,4702601,4703602,"borrowmoney",1
4702602,4702602,4703602,"borrowmoney",1
4702604,4702604,4702402,"borrowmoney",1
4703001,4703001,4703301,"borrowmoney",1
4703002,4703002,4703302,"borrowmoney",1
4703003,4703003,4711704,"borrowmoney",1
4703101,4703101,4708101,"borrowmoney",1
4703102,4703102,4703301,"borrowmoney",1
4703601,4703601,4702602,"borrowmoney",1
4703603,4703603,4704102,"borrowmoney",1
4703701,4703701,4703301,"borrowmoney",1
4703702,4703702,4711402,"borrowmoney",1
4703703,4703703,4709503,"borrowmoney",1
4703802,4703802,4712202,"borrowmoney",1
4704101,4704101,4709803,"borrowmoney",1
4704102,4704102,4704202,"borrowmoney",1
4704501,4704501,4703901,"borrowmoney",1
4704502,4704502,4704701,"borrowmoney",1
4704503,4704503,4704803,"borrowmoney",1
4704504,4704504,4704701,"borrowmoney",1
4704701,4704701,4708905,"borrowmoney",1
4704702,4704702,4704001,"borrowmoney",1
4704703,4704703,4703703,"borrowmoney",1
4705001,4705001,4705101,"borrowmoney",1
4705002,4705002,4710202,"borrowmoney",1
4705101,4705101,4710002,"borrowmoney",1
4705102,4705102,4708302,"borrowmoney",1
4705401,4705401,4712301,"borrowmoney",1
4705402,4705402,4705604,"borrowmoney",1
4705404,4705404,4712302,"borrowmoney",1
4705501,4705501,4701901,"borrowmoney",1
4705502,4705502,4705702,"borrowmoney",1
4705701,4705701,4705801,"borrowmoney",1
4705702,4705702,4705802,"borrowmoney",1
4705703,4705703,4705302,"borrowmoney",1
4705704,4705704,4709902,"borrowmoney",1
4705901,4705901,4705301,"borrowmoney",1
4705902,4705902,4709802,"borrowmoney",1
4705904,4705904,4709802,"borrowmoney",1
4706002,4706002,4706602,"borrowmoney",1
4706301,4706301,4706601,"borrowmoney",1
4706302,4706302,4707204,"borrowmoney",1
4706303,4706303,4708702,"borrowmoney",1
4706304,4706304,4706702,"borrowmoney",1
4706402,4706402,4708401,"borrowmoney",1
4706403,4706403,4706602,"borrowmoney",1
4706501,4706501,4701803,"borrowmoney",1
4706502,4706502,4708702,"borrowmoney",1
4706601,4706601,4708701,"borrowmoney",1
4706602,4706602,4706002,"borrowmoney",1
4706603,4706603,4707404,"borrowmoney",1
4706701,4706701,4705901,"borrowmoney",1
4706702,4706702,4706808,"borrowmoney",1
4706802,4706802,4706602,"borrowmoney",1
4707601,4707601,4708401,"borrowmoney",1
4707602,4707602,4701203,"borrowmoney",1
4707701,4707701,4700903,"borrowmoney",1
4707702,4707702,4708502,"borrowmoney",1
4707801,4707801,4706001,"borrowmoney",1
4707802,4707802,4701204,"borrowmoney",1
4708501,4708501,4700101,"borrowmoney",1
4708502,4708502,4707105,"borrowmoney",1
4708701,4708701,4706201,"borrowmoney",1
4708702,4708702,4706403,"borrowmoney",1
4708703,4708703,4707404,"borrowmoney",1
4708801,4708801,4708901,"borrowmoney",1
4708802,4708802,4708902,"borrowmoney",1
4709101,4709101,4709201,"borrowmoney",1
4709201,4709201,4706601,"borrowmoney",1
4709202,4709202,4706202,"borrowmoney",1
4709203,4709203,4710704,"borrowmoney",1
4709601,4709601,4712306,"borrowmoney",1
4709602,4709602,4708001,"borrowmoney",1
4709603,4709603,4708902,"borrowmoney",1
4709604,4709604,4708902,"borrowmoney",1
4709901,4709901,4709801,"borrowmoney",1
4709902,4709902,4710202,"borrowmoney",1
4709904,4709904,4705301,"borrowmoney",1
4710101,4710101,4709801,"borrowmoney",1
4710102,4710102,4709902,"borrowmoney",1
4710107,4710107,4705602,"borrowmoney",1
4710201,4710201,4710101,"borrowmoney",1
4710202,4710202,4710502,"borrowmoney",1
4710501,4710501,4708901,"borrowmoney",1
4710502,4710502,4710805,"borrowmoney",1
4710505,4710505,4705404,"borrowmoney",1
4710701,4710701,4708905,"borrowmoney",1
4710702,4710702,4710602,"borrowmoney",1
4710704,4710704,4710501,"borrowmoney",1
4711201,4711201,4712503,"borrowmoney",1
4711202,4711202,4711302,"borrowmoney",1
4711301,4711301,4711701,"borrowmoney",1
4711302,4711302,4701604,"borrowmoney",1
4711303,4711303,4701603,"borrowmoney",1
4711304,4711304,4701202,"borrowmoney",1
4711305,4711305,4701603,"borrowmoney",1
4711306,4711306,4701604,"borrowmoney",1
4711701,4711701,4706701,"borrowmoney",1
4711702,4711702,4711807,"borrowmoney",1
4711901,4711901,4712001,"borrowmoney",1
4711902,4711902,4708001,"borrowmoney",1
4712001,4712001,4700903,"borrowmoney",1
4712002,4712002,4711702,"borrowmoney",1
4712101,4712101,4703301,"borrowmoney",1
4712102,4712102,4709302,"borrowmoney",1
4712201,4712201,4713004,"borrowmoney",1
4712202,4712202,4712101,"borrowmoney",1
4712601,4712601,4702601,"borrowmoney",1
4712602,4712602,4702601,"borrowmoney",1
4712605,4712605,4712401,"borrowmoney",1
4712606,4712606,4712402,"borrowmoney",1
4712701,4712701,4701601,"borrowmoney",1
4712702,4712702,4703301,"borrowmoney",1
4712703,4712703,4703301,"borrowmoney",1
4712801,4712801,4703301,"borrowmoney",1
4712802,4712802,4713602,"borrowmoney",1
4712901,4712901,4712801,"borrowmoney",1
4712902,4712902,4707801,"borrowmoney",1
4713201,4713201,4713001,"borrowmoney",1
4713202,4713202,4713502,"borrowmoney",1
4713601,4713601,4709903,"borrowmoney",1
4713602,4713602,4713401,"borrowmoney",1
4713701,4713701,4712801,"borrowmoney",1
4713702,4713702,4712802,"borrowmoney",1
4713705,4713705,4712201,"borrowmoney",1
4713706,4713706,4713502,"borrowmoney",1
4700101,4700101,4705601,"borrowmoney",1
4700102,4700102,4705601,"borrowmoney",1
4700501,4700501,4709903,"borrowmoney",1
4700601,4700601,4707701,"borrowmoney",1
4700602,4700602,4701604,"borrowmoney",1
4701002,4701002,4700504,"borrowmoney",1
4701004,4701004,4713109,"borrowmoney",1
4701101,4701101,4710808,"borrowmoney",1
4701102,4701102,4705402,"borrowmoney",1
4701201,4701201,4703001,"borrowmoney",1
4701202,4701202,4710302,"borrowmoney",1
4701203,4701203,4700903,"borrowmoney",1
4701207,4701207,4701102,"borrowmoney",1
4701301,4701301,4707901,"borrowmoney",1
4701302,4701302,4709902,"borrowmoney",1
4701401,4701401,4704701,"borrowmoney",1
4701402,4701402,4710301,"borrowmoney",1
4701701,4701701,4702701,"borrowmoney",1
4701702,4701702,4701904,"borrowmoney",1
4701703,4701703,4701604,"borrowmoney",1
4702101,4702101,4701601,"borrowmoney",1
4702301,4702301,4704801,"borrowmoney",1
4702302,4702302,4709503,"borrowmoney",1
4702604,4702604,4702302,"borrowmoney",1
4703001,4703001,4703101,"borrowmoney",1
4703002,4703002,4703202,"borrowmoney",1
4703003,4703003,4712303,"borrowmoney",1
4703101,4703101,4703301,"borrowmoney",1
4703102,4703102,4703202,"borrowmoney",1
4703601,4703601,4704502,"borrowmoney",1
4703603,4703603,4713801,"borrowmoney",1
4703701,4703701,4701401,"borrowmoney",1
