"respondent","i","j","type","weight"
3500101,3500101,3500801,"borrowmoney",1
3500102,3500102,3500802,"borrowmoney",1
3500201,3500201,3500101,"borrowmoney",1
3500202,3500202,3500302,"borrowmoney",1
3500701,3500701,3500801,"borrowmoney",1
3500801,3500801,3500501,"borrowmoney",1
3500802,3500802,3500702,"borrowmoney",1
3501001,3501001,3507101,"borrowmoney",1
3501002,3501002,3501401,"borrowmoney",1
3501101,3501101,3520401,"borrowmoney",1
3501102,3501102,3501302,"borrowmoney",1
3501401,3501401,3501901,"borrowmoney",1
3501501,3501501,3510801,"borrowmoney",1
3501502,3501502,3504501,"borrowmoney",1
3501602,3501602,3501902,"borrowmoney",1
3501701,3501701,3502501,"borrowmoney",1
3501702,3501702,3501902,"borrowmoney",1
3501801,3501801,3503601,"borrowmoney",1
3501802,3501802,3501602,"borrowmoney",1
3502301,3502301,3507101,"borrowmoney",1
3502501,3502501,3501703,"borrowmoney",1
3502502,3502502,3516401,"borrowmoney",1
3502601,3502601,3502501,"borrowmoney",1
3502602,3502602,3520601,"borrowmoney",1
3502901,3502901,3501902,"borrowmoney",1
3502902,3502902,3502301,"borrowmoney",1
3502903,3502903,3502303,"borrowmoney",1
3503101,3503101,3504101,"borrowmoney",1
3503102,3503102,3515301,"borrowmoney",1
3503601,3503601,3502801,"borrowmoney",1
3503602,3503602,3503502,"borrowmoney",1
3503603,3503603,3501501,"borrowmoney",1
3503701,3503701,3504201,"borrowmoney",1
3503702,3503702,3504202,"borrowmoney",1
3504001,3504001,3517501,"borrowmoney",1
3504002,3504002,3504201,"borrowmoney",1
3504301,3504301,3507101,"borrowmoney",1
3504302,3504302,3505402,"borrowmoney",1
3504401,3504401,3504501,"borrowmoney",1
3504402,3504402,3504501,"borrowmoney",1
3504501,3504501,3506501,"borrowmoney",1
3504502,3504502,3506502,"borrowmoney",1
3504802,3504802,3505201,"borrowmoney",1
3504901,3504901,3505201,"borrowmoney",1
3504902,3504902,3505502,"borrowmoney",1
3505201,3505201,3507101,"borrowmoney",1
3505202,3505202,3507102,"borrowmoney",1
3505401,3505401,3503101,"borrowmoney",1
3505402,3505402,3505502,"borrowmoney",1
3505501,3505501,3505201,"borrowmoney",1
3505502,3505502,3505702,"borrowmoney",1
3505701,3505701,3504101,"borrowmoney",1
3505702,3505702,3505502,"borrowmoney",1
3505703,3505703,3505602,"borrowmoney",1
3506201,3506201,3505201,"borrowmoney",1
3506202,3506202,3505502,"borrowmoney",1
3506501,3506501,3504501,"borrowmoney",1
3506502,3506502,3504606,"borrowmoney",1
3506801,3506801,3505502,"borrowmoney",1
3506802,3506802,3505701,"borrowmoney",1
3506803,3506803,3505702,"borrowmoney",1
3506901,3506901,3506401,"borrowmoney",1
3506902,3506902,3506502,"borrowmoney",1
3507101,3507101,3503301,"borrowmoney",1
3507102,3507102,3507301,"borrowmoney",1
3507201,3507201,3507301,"borrowmoney",1
3507202,3507202,3507302,"borrowmoney",1
3507301,3507301,3503301,"borrowmoney",1
3507302,3507302,3504102,"borrowmoney",1
3507601,3507601,3507101,"borrowmoney",1
3507602,3507602,3508301,"borrowmoney",1
3508101,3508101,3508001,"borrowmoney",1
3508102,3508102,3507101,"borrowmoney",1
3508103,3508103,3508002,"borrowmoney",1
3508201,3508201,3508501,"borrowmoney",1
3508202,3508202,3501802,"borrowmoney",1
3508404,3508404,3508502,"borrowmoney",1
3508501,3508501,3508001,"borrowmoney",1
3508502,3508502,3508601,"borrowmoney",1
3508601,3508601,3508701,"borrowmoney",1
3508602,3508602,3508804,"borrowmoney",1
3508603,3508603,3509202,"borrowmoney",1
3508801,3508801,3504501,"borrowmoney",1
3508802,3508802,3508502,"borrowmoney",1
3508901,3508901,3508001,"borrowmoney",1
3508902,3508902,3509202,"borrowmoney",1
3509101,3509101,3507101,"borrowmoney",1
3509102,3509102,3507802,"borrowmoney",1
3509201,3509201,3508001,"borrowmoney",1
3509202,3509202,3507101,"borrowmoney",1
3509301,3509301,3507101,"borrowmoney",1
3509302,3509302,3508002,"borrowmoney",1
3509304,3509304,3509402,"borrowmoney",1
3509701,3509701,3508405,"borrowmoney",1
3509702,3509702,3509602,"borrowmoney",1
3509703,3509703,3504501,"borrowmoney",1
3509704,3509704,3509601,"borrowmoney",1
3509801,3509801,3509601,"borrowmoney",1
3509802,3509802,3509902,"borrowmoney",1
3510001,3510001,3508001,"borrowmoney",1
3510002,3510002,3508001,"borrowmoney",1
3510003,3510003,3508001,"borrowmoney",1
3510004,3510004,3510102,"borrowmoney",1
3510201,3510201,3515201,"borrowmoney",1
3510202,3510202,3510101,"borrowmoney",1
3510203,3510203,3507101,"borrowmoney",1
3510204,3510204,3510102,"borrowmoney",1
3510301,3510301,3508001,"borrowmoney",1
3510601,3510601,3507001,"borrowmoney",1
3510602,3510602,3510501,"borrowmoney",1
3510603,3510603,3515207,"borrowmoney",1
3510701,3510701,3504501,"borrowmoney",1
3510801,3510801,3508001,"borrowmoney",1
3510802,3510802,3510701,"borrowmoney",1
3511301,3511301,3514501,"borrowmoney",1
3511302,3511302,3510801,"borrowmoney",1
3511303,3511303,3513102,"borrowmoney",1
3511304,3511304,3513102,"borrowmoney",1
3511401,3511401,3511502,"borrowmoney",1
3511501,3511501,3511601,"borrowmoney",1
3511502,3511502,3511602,"borrowmoney",1
3511601,3511601,3513102,"borrowmoney",1
3511602,3511602,3510802,"borrowmoney",1
3512001,3512001,3512102,"borrowmoney",1
3512101,3512101,3512201,"borrowmoney",1
3512102,3512102,3504102,"borrowmoney",1
3512103,3512103,3512201,"borrowmoney",1
3512104,3512104,3512202,"borrowmoney",1
