"respondent","i","j","type","weight"
3400101,3400101,3400202,"borrowmoney",1
3400102,3400102,3400201,"borrowmoney",1
3400103,3400103,3400202,"borrowmoney",1
3400201,3400201,3400901,"borrowmoney",1
3400202,3400202,3400902,"borrowmoney",1
3400203,3400203,3400902,"borrowmoney",1
3400601,3400601,3400701,"borrowmoney",1
3400602,3400602,3400702,"borrowmoney",1
3400701,3400701,3400301,"borrowmoney",1
3400702,3400702,3400301,"borrowmoney",1
3400801,3400801,3400901,"borrowmoney",1
3400802,3400802,3400902,"borrowmoney",1
3400803,3400803,3400901,"borrowmoney",1
3400804,3400804,3416501,"borrowmoney",1
3401101,3401101,3416501,"borrowmoney",1
3401102,3401102,3416502,"borrowmoney",1
3401201,3401201,3400701,"borrowmoney",1
3401202,3401202,3400301,"borrowmoney",1
3401203,3401203,3400702,"borrowmoney",1
3401401,3401401,3401201,"borrowmoney",1
3401402,3401402,3401501,"borrowmoney",1
3401701,3401701,3401602,"borrowmoney",1
3402001,3402001,3402201,"borrowmoney",1
3402002,3402002,3402202,"borrowmoney",1
3402201,3402201,3402001,"borrowmoney",1
3402202,3402202,3402002,"borrowmoney",1
3402501,3402501,3415001,"borrowmoney",1
3402601,3402601,3403801,"borrowmoney",1
3402602,3402602,3403802,"borrowmoney",1
3403001,3403001,3402601,"borrowmoney",1
3403002,3403002,3415002,"borrowmoney",1
3403005,3403005,3402602,"borrowmoney",1
3403101,3403101,3402601,"borrowmoney",1
3403102,3403102,3402602,"borrowmoney",1
3403201,3403201,3414102,"borrowmoney",1
3403301,3403301,3403401,"borrowmoney",1
3403302,3403302,3416501,"borrowmoney",1
3403601,3403601,3403501,"borrowmoney",1
3403602,3403602,3403702,"borrowmoney",1
3403701,3403701,3404401,"borrowmoney",1
3403702,3403702,3404602,"borrowmoney",1
3403801,3403801,3406401,"borrowmoney",1
3404401,3404401,3404201,"borrowmoney",1
3404402,3404402,3404802,"borrowmoney",1
3404501,3404501,3404801,"borrowmoney",1
3404502,3404502,3404802,"borrowmoney",1
3404601,3404601,3404801,"borrowmoney",1
3404602,3404602,3403702,"borrowmoney",1
3404701,3404701,3404802,"borrowmoney",1
3404703,3404703,3404802,"borrowmoney",1
3404801,3404801,3404501,"borrowmoney",1
3404802,3404802,3404701,"borrowmoney",1
3404805,3404805,3404502,"borrowmoney",1
3405101,3405101,3405602,"borrowmoney",1
3405102,3405102,3406801,"borrowmoney",1
3405103,3405103,3406402,"borrowmoney",1
3405105,3405105,3405601,"borrowmoney",1
3405106,3405106,3405402,"borrowmoney",1
3405201,3405201,3404002,"borrowmoney",1
3405401,3405401,3405105,"borrowmoney",1
3405402,3405402,3406503,"borrowmoney",1
3405601,3405601,3405105,"borrowmoney",1
3405602,3405602,3405103,"borrowmoney",1
3405603,3405603,3405802,"borrowmoney",1
3405901,3405901,3407302,"borrowmoney",1
3405903,3405903,3407303,"borrowmoney",1
3406001,3406001,3406501,"borrowmoney",1
3406002,3406002,3407303,"borrowmoney",1
3406201,3406201,3406305,"borrowmoney",1
3406202,3406202,3406503,"borrowmoney",1
3406302,3406302,3407203,"borrowmoney",1
3406307,3406307,3406202,"borrowmoney",1
3406401,3406401,3416501,"borrowmoney",1
3406402,3406402,3406503,"borrowmoney",1
3406801,3406801,3405102,"borrowmoney",1
3406802,3406802,3405101,"borrowmoney",1
3407001,3407001,3406503,"borrowmoney",1
3407002,3407002,3406503,"borrowmoney",1
3407201,3407201,3405902,"borrowmoney",1
3407202,3407202,3406307,"borrowmoney",1
3407203,3407203,3406503,"borrowmoney",1
3407204,3407204,3406307,"borrowmoney",1
3407501,3407501,3406701,"borrowmoney",1
3407801,3407801,3409301,"borrowmoney",1
3407802,3407802,3414102,"borrowmoney",1
3407901,3407901,3407701,"borrowmoney",1
3407902,3407902,3407001,"borrowmoney",1
3408201,3408201,3407701,"borrowmoney",1
3408202,3408202,3407702,"borrowmoney",1
3408304,3408304,3408402,"borrowmoney",1
3408401,3408401,3409301,"borrowmoney",1
3408402,3408402,3410702,"borrowmoney",1
3408601,3408601,3408802,"borrowmoney",1
3408801,3408801,3409301,"borrowmoney",1
3408802,3408802,3409302,"borrowmoney",1
3408803,3408803,3409302,"borrowmoney",1
3409101,3409101,3410301,"borrowmoney",1
3409102,3409102,3410302,"borrowmoney",1
3409401,3409401,3410401,"borrowmoney",1
3409402,3409402,3410402,"borrowmoney",1
3409701,3409701,3409101,"borrowmoney",1
3409702,3409702,3409902,"borrowmoney",1
3409901,3409901,3409801,"borrowmoney",1
3409902,3409902,3410302,"borrowmoney",1
3410201,3410201,3409901,"borrowmoney",1
3410202,3410202,3409902,"borrowmoney",1
3410203,3410203,3403901,"borrowmoney",1
3410204,3410204,3410302,"borrowmoney",1
3410206,3410206,3409902,"borrowmoney",1
3410207,3410207,3411103,"borrowmoney",1
3410301,3410301,3410401,"borrowmoney",1
3410302,3410302,3403802,"borrowmoney",1
3410401,3410401,3411401,"borrowmoney",1
3410402,3410402,3409702,"borrowmoney",1
3410602,3410602,3410402,"borrowmoney",1
3410603,3410603,3410501,"borrowmoney",1
3410701,3410701,3409301,"borrowmoney",1
3410702,3410702,3410902,"borrowmoney",1
3410801,3410801,3411101,"borrowmoney",1
3410902,3410902,3409001,"borrowmoney",1
3411001,3411001,3412001,"borrowmoney",1
3411002,3411002,3410302,"borrowmoney",1
3411205,3411205,3409101,"borrowmoney",1
3411301,3411301,3411801,"borrowmoney",1
3411302,3411302,3405802,"borrowmoney",1
3411401,3411401,3410301,"borrowmoney",1
3411402,3411402,3404302,"borrowmoney",1
3411801,3411801,3404201,"borrowmoney",1
3411802,3411802,3403802,"borrowmoney",1
3412101,3412101,3412501,"borrowmoney",1
3412102,3412102,3412502,"borrowmoney",1
3412301,3412301,3412201,"borrowmoney",1
3412302,3412302,3412402,"borrowmoney",1
3412303,3412303,3412601,"borrowmoney",1
3412304,3412304,3412402,"borrowmoney",1
3412501,3412501,3412601,"borrowmoney",1
3412502,3412502,3412302,"borrowmoney",1
3412504,3412504,3412401,"borrowmoney",1
3412601,3412601,3412501,"borrowmoney",1
3412602,3412602,3412502,"borrowmoney",1
3412801,3412801,3412901,"borrowmoney",1
3412802,3412802,3412702,"borrowmoney",1
3412805,3412805,3416501,"borrowmoney",1
3412806,3412806,3412901,"borrowmoney",1
3412901,3412901,3412501,"borrowmoney",1
3412902,3412902,3412806,"borrowmoney",1
3413101,3413101,3416501,"borrowmoney",1
3413102,3413102,3416502,"borrowmoney",1
3413103,3413103,3416501,"borrowmoney",1
3413104,3413104,3416502,"borrowmoney",1
3413401,3413401,3413501,"borrowmoney",1
3413402,3413402,3413302,"borrowmoney",1
3413601,3413601,3414303,"borrowmoney",1
3413602,3413602,3411102,"borrowmoney",1
3413701,3413701,3411205,"borrowmoney",1
3413901,3413901,3414002,"borrowmoney",1
3413902,3413902,3414001,"borrowmoney",1
3414101,3414101,3414501,"borrowmoney",1
3414102,3414102,3414202,"borrowmoney",1
3414201,3414201,3414101,"borrowmoney",1
3414202,3414202,3413902,"borrowmoney",1
3414401,3414401,3414802,"borrowmoney",1
3414601,3414601,3414701,"borrowmoney",1
3414602,3414602,3414702,"borrowmoney",1
3414701,3414701,3414801,"borrowmoney",1
3414702,3414702,3414802,"borrowmoney",1
3414801,3414801,3414101,"borrowmoney",1
3414802,3414802,3414305,"borrowmoney",1
3415201,3415201,3414507,"borrowmoney",1
3415302,3415302,3414102,"borrowmoney",1
3415501,3415501,3413801,"borrowmoney",1
3415502,3415502,3415802,"borrowmoney",1
3415801,3415801,3415701,"borrowmoney",1
3415802,3415802,3415702,"borrowmoney",1
3416201,3416201,3416101,"borrowmoney",1
3416202,3416202,3416102,"borrowmoney",1
3416401,3416401,3416201,"borrowmoney",1
3416402,3416402,3416302,"borrowmoney",1
3416403,3416403,3416107,"borrowmoney",1
3416404,3416404,3416202,"borrowmoney",1
3400101,3400101,3400302,"borrowmoney",1
3400103,3400103,3400502,"borrowmoney",1
3400201,3400201,3400101,"borrowmoney",1
3400202,3400202,3400101,"borrowmoney",1
3400203,3400203,3400101,"borrowmoney",1
3400601,3400601,3400801,"borrowmoney",1
3400602,3400602,3400902,"borrowmoney",1
3400701,3400701,3400902,"borrowmoney",1
3400702,3400702,3400902,"borrowmoney",1
3400801,3400801,3400301,"borrowmoney",1
3400802,3400802,3400301,"borrowmoney",1
3400803,3400803,3400301,"borrowmoney",1
3400804,3400804,3400202,"borrowmoney",1
3401101,3401101,3400102,"borrowmoney",1
3401102,3401102,3411402,"borrowmoney",1
3401201,3401201,3407701,"borrowmoney",1
3401202,3401202,3407701,"borrowmoney",1
3401203,3401203,3407702,"borrowmoney",1
3401401,3401401,3401601,"borrowmoney",1
3401402,3401402,3401601,"borrowmoney",1
3401701,3401701,3401502,"borrowmoney",1
3402001,3402001,3416501,"borrowmoney",1
3402002,3402002,3416501,"borrowmoney",1
3402201,3402201,3416501,"borrowmoney",1
3402202,3402202,3416502,"borrowmoney",1
3402501,3402501,3413901,"borrowmoney",1
3402502,3402502,3413901,"borrowmoney",1
3402601,3402601,3414701,"borrowmoney",1
3402602,3402602,3414802,"borrowmoney",1
3403001,3403001,3415001,"borrowmoney",1
3403002,3403002,3414902,"borrowmoney",1
3403005,3403005,3415002,"borrowmoney",1
3403101,3403101,3403001,"borrowmoney",1
3403201,3403201,3412502,"borrowmoney",1
3403301,3403301,3404602,"borrowmoney",1
3403302,3403302,3404602,"borrowmoney",1
3403601,3403601,3403701,"borrowmoney",1
3403602,3403602,3403502,"borrowmoney",1
3403701,3403701,3404801,"borrowmoney",1
3403702,3403702,3416502,"borrowmoney",1
3403801,3403801,3416501,"borrowmoney",1
3404401,3404401,3404801,"borrowmoney",1
3404402,3404402,3404202,"borrowmoney",1
3404501,3404501,3404401,"borrowmoney",1
3404502,3404502,3404602,"borrowmoney",1
3404601,3404601,3403701,"borrowmoney",1
3404602,3404602,3404802,"borrowmoney",1
3404701,3404701,3404602,"borrowmoney",1
3404703,3404703,3404402,"borrowmoney",1
3404801,3404801,3414902,"borrowmoney",1
3405103,3405103,3404102,"borrowmoney",1
3405105,3405105,3406801,"borrowmoney",1
3405106,3405106,3404002,"borrowmoney",1
3405401,3405401,3406501,"borrowmoney",1
3405402,3405402,3407802,"borrowmoney",1
3405601,3405601,3405801,"borrowmoney",1
3405602,3405602,3404102,"borrowmoney",1
3405603,3405603,3406503,"borrowmoney",1
3405901,3405901,3407202,"borrowmoney",1
3406001,3406001,3407701,"borrowmoney",1
3406002,3406002,3407702,"borrowmoney",1
3406201,3406201,3406601,"borrowmoney",1
3406202,3406202,3407202,"borrowmoney",1
3406302,3406302,3406503,"borrowmoney",1
3406401,3406401,3406201,"borrowmoney",1
3406402,3406402,3406307,"borrowmoney",1
3406802,3406802,3404102,"borrowmoney",1
3407001,3407001,3406402,"borrowmoney",1
3407002,3407002,3406202,"borrowmoney",1
3407201,3407201,3406201,"borrowmoney",1
3407203,3407203,3406302,"borrowmoney",1
3407501,3407501,3406801,"borrowmoney",1
3407801,3407801,3404001,"borrowmoney",1
3407802,3407802,3405402,"borrowmoney",1
3408201,3408201,3405501,"borrowmoney",1
3408304,3408304,3408102,"borrowmoney",1
3408401,3408401,3412501,"borrowmoney",1
3408402,3408402,3409302,"borrowmoney",1
3408601,3408601,3408901,"borrowmoney",1
3408801,3408801,3409101,"borrowmoney",1
3408803,3408803,3408901,"borrowmoney",1
3409101,3409101,3409201,"borrowmoney",1
3409102,3409102,3409302,"borrowmoney",1
3409401,3409401,3410301,"borrowmoney",1
3409402,3409402,3410302,"borrowmoney",1
3409701,3409701,3410101,"borrowmoney",1
3409702,3409702,3409602,"borrowmoney",1
3409901,3409901,3409701,"borrowmoney",1
3409902,3409902,3409802,"borrowmoney",1
3410201,3410201,3410301,"borrowmoney",1
3410202,3410202,3410105,"borrowmoney",1
3410203,3410203,3405906,"borrowmoney",1
3410204,3410204,3409502,"borrowmoney",1
3410206,3410206,3410105,"borrowmoney",1
3410207,3410207,3410301,"borrowmoney",1
3410301,3410301,3403801,"borrowmoney",1
3410302,3410302,3410201,"borrowmoney",1
3410401,3410401,3410301,"borrowmoney",1
3410402,3410402,3410302,"borrowmoney",1
