"respondent","i","j","type","weight"
1100301,1100301,1100701,"borrowmoney",1
1100302,1100302,1100701,"borrowmoney",1
1100303,1100303,1103801,"borrowmoney",1
1100304,1100304,1100701,"borrowmoney",1
1100501,1100501,1112803,"borrowmoney",1
1100601,1100601,1100307,"borrowmoney",1
1100602,1100602,1100404,"borrowmoney",1
1100701,1100701,1108503,"borrowmoney",1
1100702,1100702,1100706,"borrowmoney",1
1100705,1100705,1100701,"borrowmoney",1
1100706,1100706,1100701,"borrowmoney",1
1101101,1101101,1101103,"borrowmoney",1
1101102,1101102,1102403,"borrowmoney",1
1101103,1101103,1101401,"borrowmoney",1
1101501,1101501,1107601,"borrowmoney",1
1101502,1101502,1101102,"borrowmoney",1
1101901,1101901,1101103,"borrowmoney",1
1101902,1101902,1103202,"borrowmoney",1
1102101,1102101,1106001,"borrowmoney",1
1102102,1102102,1105302,"borrowmoney",1
1102103,1102103,1108503,"borrowmoney",1
1102104,1102104,1108504,"borrowmoney",1
1102201,1102201,1108503,"borrowmoney",1
1102202,1102202,1108504,"borrowmoney",1
1102301,1102301,1102801,"borrowmoney",1
1102302,1102302,1101502,"borrowmoney",1
1102303,1102303,1102801,"borrowmoney",1
1102304,1102304,1101202,"borrowmoney",1
1102307,1102307,1102202,"borrowmoney",1
1102501,1102501,1102401,"borrowmoney",1
1102502,1102502,1106102,"borrowmoney",1
1102503,1102503,1112701,"borrowmoney",1
1102504,1102504,1102505,"borrowmoney",1
1102505,1102505,1106302,"borrowmoney",1
1102801,1102801,1103401,"borrowmoney",1
1102802,1102802,1106001,"borrowmoney",1
1102901,1102901,1108503,"borrowmoney",1
1102902,1102902,1102802,"borrowmoney",1
1103101,1103101,1103001,"borrowmoney",1
1103102,1103102,1105502,"borrowmoney",1
1103103,1103103,1103001,"borrowmoney",1
1103104,1103104,1105602,"borrowmoney",1
1103201,1103201,1102901,"borrowmoney",1
1103202,1103202,1103302,"borrowmoney",1
1103301,1103301,1101901,"borrowmoney",1
1103302,1103302,1105202,"borrowmoney",1
1104001,1104001,1103901,"borrowmoney",1
1104101,1104101,1110001,"borrowmoney",1
1104102,1104102,1103901,"borrowmoney",1
1104601,1104601,1108503,"borrowmoney",1
1104602,1104602,1104802,"borrowmoney",1
1104802,1104802,1108503,"borrowmoney",1
1104901,1104901,1106102,"borrowmoney",1
1105201,1105201,1102101,"borrowmoney",1
1105202,1105202,1103302,"borrowmoney",1
1105301,1105301,1112802,"borrowmoney",1
1105302,1105302,1100403,"borrowmoney",1
1105501,1105501,1103401,"borrowmoney",1
1105502,1105502,1103102,"borrowmoney",1
1105801,1105801,1106101,"borrowmoney",1
1105802,1105802,1108503,"borrowmoney",1
1105803,1105803,1103001,"borrowmoney",1
1106001,1106001,1112802,"borrowmoney",1
1106002,1106002,1108503,"borrowmoney",1
1106004,1106004,1106001,"borrowmoney",1
1106005,1106005,1106001,"borrowmoney",1
1106101,1106101,1106301,"borrowmoney",1
1106102,1106102,1106301,"borrowmoney",1
1106301,1106301,1103801,"borrowmoney",1
1106302,1106302,1106102,"borrowmoney",1
1106401,1106401,1107102,"borrowmoney",1
1106501,1106501,1106901,"borrowmoney",1
1106502,1106502,1102403,"borrowmoney",1
1106601,1106601,1103401,"borrowmoney",1
1106602,1106602,1106102,"borrowmoney",1
1106801,1106801,1106501,"borrowmoney",1
1106802,1106802,1110101,"borrowmoney",1
1107301,1107301,1108701,"borrowmoney",1
1107302,1107302,1109602,"borrowmoney",1
1107801,1107801,1112701,"borrowmoney",1
1107802,1107802,1103601,"borrowmoney",1
1107901,1107901,1107701,"borrowmoney",1
1107902,1107902,1109301,"borrowmoney",1
1107903,1107903,1108705,"borrowmoney",1
1108001,1108001,1100701,"borrowmoney",1
1108002,1108002,1100702,"borrowmoney",1
1108101,1108101,1107701,"borrowmoney",1
1108102,1108102,1108001,"borrowmoney",1
1108103,1108103,1108702,"borrowmoney",1
1108104,1108104,1107701,"borrowmoney",1
1108501,1108501,1112201,"borrowmoney",1
1108502,1108502,1112201,"borrowmoney",1
1108503,1108503,1102103,"borrowmoney",1
1108504,1108504,1108103,"borrowmoney",1
1108901,1108901,1107601,"borrowmoney",1
1108902,1108902,1107602,"borrowmoney",1
1109101,1109101,1113301,"borrowmoney",1
1109102,1109102,1109302,"borrowmoney",1
1109201,1109201,1113301,"borrowmoney",1
1109202,1109202,1109301,"borrowmoney",1
1109801,1109801,1109901,"borrowmoney",1
1109802,1109802,1109902,"borrowmoney",1
1109804,1109804,1109904,"borrowmoney",1
1109901,1109901,1107601,"borrowmoney",1
1109902,1109902,1109802,"borrowmoney",1
1109904,1109904,1109804,"borrowmoney",1
1110001,1110001,1101801,"borrowmoney",1
1110002,1110002,1103901,"borrowmoney",1
1110301,1110301,1109701,"borrowmoney",1
1110302,1110302,1112604,"borrowmoney",1
1110303,1110303,1110402,"borrowmoney",1
1110401,1110401,1110703,"borrowmoney",1
1110402,1110402,1110001,"borrowmoney",1
1110403,1110403,1112005,"borrowmoney",1
1110702,1110702,1110302,"borrowmoney",1
1110703,1110703,1113301,"borrowmoney",1
1110704,1110704,1110302,"borrowmoney",1
1110901,1110901,1112301,"borrowmoney",1
1110902,1110902,1109701,"borrowmoney",1
1111102,1111102,1110203,"borrowmoney",1
1111103,1111103,1112301,"borrowmoney",1
1111601,1111601,1107701,"borrowmoney",1
1111801,1111801,1104401,"borrowmoney",1
1111802,1111802,1110303,"borrowmoney",1
1111901,1111901,1110201,"borrowmoney",1
1111902,1111902,1113501,"borrowmoney",1
1112002,1112002,1112301,"borrowmoney",1
1112004,1112004,1104401,"borrowmoney",1
1112005,1112005,1113002,"borrowmoney",1
1112301,1112301,1112401,"borrowmoney",1
1112302,1112302,1113501,"borrowmoney",1
1112501,1112501,1105101,"borrowmoney",1
1112502,1112502,1112402,"borrowmoney",1
1112602,1112602,1108502,"borrowmoney",1
1112603,1112603,1108504,"borrowmoney",1
1112701,1112701,1112303,"borrowmoney",1
1112702,1112702,1112902,"borrowmoney",1
1100302,1100302,1112803,"borrowmoney",1
1100303,1100303,1100701,"borrowmoney",1
