"respondent","i","j","type","weight"
5500201,5500201,5500302,"borrowmoney",1
5500202,5500202,5503908,"borrowmoney",1
5500301,5500301,5521701,"borrowmoney",1
5500302,5500302,5500402,"borrowmoney",1
5500303,5500303,5501511,"borrowmoney",1
5500901,5500901,5501001,"borrowmoney",1
5500902,5500902,5501804,"borrowmoney",1
5501001,5501001,5500901,"borrowmoney",1
5501002,5501002,5502202,"borrowmoney",1
5501201,5501201,5501601,"borrowmoney",1
5501202,5501202,5501601,"borrowmoney",1
5501203,5501203,5501601,"borrowmoney",1
5501204,5501204,5501606,"borrowmoney",1
5501301,5501301,5501203,"borrowmoney",1
5501302,5501302,5501204,"borrowmoney",1
5501401,5501401,5513601,"borrowmoney",1
5501402,5501402,5501502,"borrowmoney",1
5501501,5501501,5503001,"borrowmoney",1
5501502,5501502,5501402,"borrowmoney",1
5501509,5501509,5501402,"borrowmoney",1
5501511,5501511,5500303,"borrowmoney",1
5501601,5501601,5501203,"borrowmoney",1
5501602,5501602,5500402,"borrowmoney",1
5501605,5501605,5501203,"borrowmoney",1
5501606,5501606,5501202,"borrowmoney",1
5501901,5501901,5501501,"borrowmoney",1
5501902,5501902,5502602,"borrowmoney",1
5502101,5502101,5504002,"borrowmoney",1
5502102,5502102,5504003,"borrowmoney",1
5502103,5502103,5502903,"borrowmoney",1
5502104,5502104,5501902,"borrowmoney",1
5502301,5502301,5514801,"borrowmoney",1
5502302,5502302,5501804,"borrowmoney",1
5502801,5502801,5502601,"borrowmoney",1
5502802,5502802,5500302,"borrowmoney",1
5503001,5503001,5501501,"borrowmoney",1
5503002,5503002,5503102,"borrowmoney",1
5503101,5503101,5500102,"borrowmoney",1
5503102,5503102,5502702,"borrowmoney",1
5503301,5503301,5503101,"borrowmoney",1
5503302,5503302,5502702,"borrowmoney",1
5503501,5503501,5504301,"borrowmoney",1
5503502,5503502,5502702,"borrowmoney",1
5504001,5504001,5503001,"borrowmoney",1
5504002,5504002,5502601,"borrowmoney",1
5504003,5504003,5502102,"borrowmoney",1
5504201,5504201,5501601,"borrowmoney",1
5504202,5504202,5504302,"borrowmoney",1
5504401,5504401,5504601,"borrowmoney",1
5504403,5504403,5504707,"borrowmoney",1
5504404,5504404,5501804,"borrowmoney",1
5504701,5504701,5504801,"borrowmoney",1
5504702,5504702,5503302,"borrowmoney",1
5504703,5504703,5501803,"borrowmoney",1
5504704,5504704,5501502,"borrowmoney",1
5504707,5504707,5503301,"borrowmoney",1
5504708,5504708,5502702,"borrowmoney",1
5504801,5504801,5506501,"borrowmoney",1
5504802,5504802,5506502,"borrowmoney",1
5505001,5505001,5509008,"borrowmoney",1
5505002,5505002,5505802,"borrowmoney",1
5505003,5505003,5503702,"borrowmoney",1
5505004,5505004,5503701,"borrowmoney",1
5505007,5505007,5503702,"borrowmoney",1
5505101,5505101,5505902,"borrowmoney",1
5505401,5505401,5505601,"borrowmoney",1
5505402,5505402,5509401,"borrowmoney",1
5505501,5505501,5505601,"borrowmoney",1
5505502,5505502,5505602,"borrowmoney",1
5505601,5505601,5513001,"borrowmoney",1
5505602,5505602,5505402,"borrowmoney",1
5506101,5506101,5505402,"borrowmoney",1
5506102,5506102,5505601,"borrowmoney",1
5506103,5506103,5505602,"borrowmoney",1
5506301,5506301,5519901,"borrowmoney",1
5506302,5506302,5506202,"borrowmoney",1
5506303,5506303,5506202,"borrowmoney",1
5506304,5506304,5506202,"borrowmoney",1
5506306,5506306,5516201,"borrowmoney",1
5506307,5506307,5507301,"borrowmoney",1
5507001,5507001,5507601,"borrowmoney",1
5507002,5507002,5507602,"borrowmoney",1
5507003,5507003,5507601,"borrowmoney",1
5507004,5507004,5506202,"borrowmoney",1
5507201,5507201,5507003,"borrowmoney",1
5507202,5507202,5525302,"borrowmoney",1
5507401,5507401,5507701,"borrowmoney",1
5507402,5507402,5506802,"borrowmoney",1
5507501,5507501,5507401,"borrowmoney",1
5507502,5507502,5506802,"borrowmoney",1
5507601,5507601,5514301,"borrowmoney",1
5507602,5507602,5507702,"borrowmoney",1
5507701,5507701,5507601,"borrowmoney",1
5507702,5507702,5507602,"borrowmoney",1
5508401,5508401,5523103,"borrowmoney",1
5508402,5508402,5514802,"borrowmoney",1
5508407,5508407,5514802,"borrowmoney",1
5508501,5508501,5514802,"borrowmoney",1
5508801,5508801,5508901,"borrowmoney",1
5508802,5508802,5508902,"borrowmoney",1
5508901,5508901,5509501,"borrowmoney",1
5508902,5508902,5514302,"borrowmoney",1
5509101,5509101,5509501,"borrowmoney",1
5509102,5509102,5509502,"borrowmoney",1
5509501,5509501,5513906,"borrowmoney",1
5509502,5509502,5509302,"borrowmoney",1
5509701,5509701,5509606,"borrowmoney",1
5509702,5509702,5513315,"borrowmoney",1
5509703,5509703,5509501,"borrowmoney",1
5509704,5509704,5509004,"borrowmoney",1
5509708,5509708,5509501,"borrowmoney",1
5509709,5509709,5509804,"borrowmoney",1
5509901,5509901,5513315,"borrowmoney",1
5510301,5510301,5511801,"borrowmoney",1
5510302,5510302,5511802,"borrowmoney",1
5510303,5510303,5511802,"borrowmoney",1
5510401,5510401,5515903,"borrowmoney",1
5510402,5510402,5510303,"borrowmoney",1
5510501,5510501,5510301,"borrowmoney",1
5510502,5510502,5510602,"borrowmoney",1
5510601,5510601,5510501,"borrowmoney",1
