"respondent","i","j","type","weight"
5400101,5400101,5402501,"borrowmoney",1
5400102,5400102,5402602,"borrowmoney",1
5400103,5400103,5402501,"borrowmoney",1
5400104,5400104,5402502,"borrowmoney",1
5400201,5400201,5400504,"borrowmoney",1
5400202,5400202,5400502,"borrowmoney",1
5400601,5400601,5400701,"borrowmoney",1
5400602,5400602,5401402,"borrowmoney",1
5400605,5400605,5401102,"borrowmoney",1
5400901,5400901,5406001,"borrowmoney",1
5400902,5400902,5401102,"borrowmoney",1
5401001,5401001,5400801,"borrowmoney",1
5401002,5401002,5401202,"borrowmoney",1
5401101,5401101,5401201,"borrowmoney",1
5401102,5401102,5402602,"borrowmoney",1
5401103,5401103,5402601,"borrowmoney",1
5401104,5401104,5401002,"borrowmoney",1
5401106,5401106,5401201,"borrowmoney",1
5401501,5401501,5401901,"borrowmoney",1
5401601,5401601,5401901,"borrowmoney",1
5401602,5401602,5401005,"borrowmoney",1
5401801,5401801,5404701,"borrowmoney",1
5401802,5401802,5404701,"borrowmoney",1
5402001,5402001,5404701,"borrowmoney",1
5402002,5402002,5403202,"borrowmoney",1
5402101,5402101,5402601,"borrowmoney",1
5402102,5402102,5403001,"borrowmoney",1
5402301,5402301,5402101,"borrowmoney",1
5402302,5402302,5402802,"borrowmoney",1
5402601,5402601,5406001,"borrowmoney",1
5402602,5402602,5400203,"borrowmoney",1
5403001,5403001,5402101,"borrowmoney",1
5403002,5403002,5402102,"borrowmoney",1
5403101,5403101,5401001,"borrowmoney",1
5403401,5403401,5406101,"borrowmoney",1
5403402,5403402,5404813,"borrowmoney",1
5403501,5403501,5404303,"borrowmoney",1
5403502,5403502,5403607,"borrowmoney",1
5404001,5404001,5406002,"borrowmoney",1
5404101,5404101,5408601,"borrowmoney",1
5404201,5404201,5406001,"borrowmoney",1
5404202,5404202,5404302,"borrowmoney",1
5404203,5404203,5404902,"borrowmoney",1
5404401,5404401,5404901,"borrowmoney",1
5404402,5404402,5404702,"borrowmoney",1
5404701,5404701,5405301,"borrowmoney",1
5404702,5404702,5404813,"borrowmoney",1
5404703,5404703,5404902,"borrowmoney",1
5404704,5404704,5404304,"borrowmoney",1
5404801,5404801,5404201,"borrowmoney",1
5404802,5404802,5404103,"borrowmoney",1
5404803,5404803,5404303,"borrowmoney",1
5404804,5404804,5404302,"borrowmoney",1
5404812,5404812,5405403,"borrowmoney",1
5404813,5404813,5404302,"borrowmoney",1
5405001,5405001,5404202,"borrowmoney",1
5405002,5405002,5403801,"borrowmoney",1
5405201,5405201,5406701,"borrowmoney",1
5405202,5405202,5404202,"borrowmoney",1
5405401,5405401,5404803,"borrowmoney",1
5405402,5405402,5405302,"borrowmoney",1
5405403,5405403,5404303,"borrowmoney",1
5405407,5405407,5404812,"borrowmoney",1
5405408,5405408,5406002,"borrowmoney",1
5405601,5405601,5405901,"borrowmoney",1
5405602,5405602,5405704,"borrowmoney",1
5405606,5405606,5405101,"borrowmoney",1
5405607,5405607,5405102,"borrowmoney",1
5405612,5405612,5405502,"borrowmoney",1
5405801,5405801,5406002,"borrowmoney",1
5405901,5405901,5406001,"borrowmoney",1
5405902,5405902,5406002,"borrowmoney",1
5405903,5405903,5404901,"borrowmoney",1
5405904,5405904,5406002,"borrowmoney",1
5406101,5406101,5404502,"borrowmoney",1
5406102,5406102,5404502,"borrowmoney",1
5406301,5406301,5404304,"borrowmoney",1
5406501,5406501,5406601,"borrowmoney",1
5406502,5406502,5406406,"borrowmoney",1
5406503,5406503,5404803,"borrowmoney",1
5406504,5406504,5406402,"borrowmoney",1
5406507,5406507,5405606,"borrowmoney",1
5406508,5406508,5404802,"borrowmoney",1
5406512,5406512,5404704,"borrowmoney",1
5406901,5406901,5404803,"borrowmoney",1
5406902,5406902,5404803,"borrowmoney",1
5406905,5406905,5404803,"borrowmoney",1
5407201,5407201,5404812,"borrowmoney",1
5407202,5407202,5406508,"borrowmoney",1
5407401,5407401,5403801,"borrowmoney",1
5407402,5407402,5407102,"borrowmoney",1
5407701,5407701,5403801,"borrowmoney",1
5407702,5407702,5407502,"borrowmoney",1
5407901,5407901,5407502,"borrowmoney",1
5407905,5407905,5400703,"borrowmoney",1
5407906,5407906,5408001,"borrowmoney",1
5408001,5408001,5404701,"borrowmoney",1
5408005,5408005,5404701,"borrowmoney",1
5408006,5408006,5408402,"borrowmoney",1
5408101,5408101,5408401,"borrowmoney",1
5408102,5408102,5408006,"borrowmoney",1
5408103,5408103,5408001,"borrowmoney",1
5408301,5408301,5407401,"borrowmoney",1
5408302,5408302,5404402,"borrowmoney",1
5408303,5408303,5404303,"borrowmoney",1
5408304,5408304,5408402,"borrowmoney",1
5408501,5408501,5405701,"borrowmoney",1
5408502,5408502,5405701,"borrowmoney",1
5408701,5408701,5409301,"borrowmoney",1
5408702,5408702,5409102,"borrowmoney",1
5408901,5408901,5409101,"borrowmoney",1
5408902,5408902,5408502,"borrowmoney",1
5409001,5409001,5408701,"borrowmoney",1
5409002,5409002,5408702,"borrowmoney",1
5409101,5409101,5409301,"borrowmoney",1
5409102,5409102,5408601,"borrowmoney",1
5409104,5409104,5408601,"borrowmoney",1
5409501,5409501,5409601,"borrowmoney",1
5409502,5409502,5409701,"borrowmoney",1
5409701,5409701,5409501,"borrowmoney",1
5409702,5409702,5409602,"borrowmoney",1
5409801,5409801,5401101,"borrowmoney",1
5409802,5409802,5402002,"borrowmoney",1
5409901,5409901,5401802,"borrowmoney",1
5400101,5400101,5402601,"borrowmoney",1
5400102,5400102,5402402,"borrowmoney",1
5400201,5400201,5405802,"borrowmoney",1
5400202,5400202,5401001,"borrowmoney",1
5400601,5400601,5400901,"borrowmoney",1
5400602,5400602,5403202,"borrowmoney",1
5400605,5400605,5401503,"borrowmoney",1
5400901,5400901,5405901,"borrowmoney",1
5400902,5400902,5401202,"borrowmoney",1
5401001,5401001,5401201,"borrowmoney",1
5401002,5401002,5401901,"borrowmoney",1
5401101,5401101,5402601,"borrowmoney",1
5401102,5401102,5402802,"borrowmoney",1
5401103,5401103,5401001,"borrowmoney",1
5401104,5401104,5401202,"borrowmoney",1
5401106,5401106,5401001,"borrowmoney",1
5401501,5401501,5402402,"borrowmoney",1
5401601,5401601,5400801,"borrowmoney",1
5401602,5401602,5401302,"borrowmoney",1
5401802,5401802,5400701,"borrowmoney",1
5402001,5402001,5403001,"borrowmoney",1
5402002,5402002,5400702,"borrowmoney",1
5402101,5402101,5401101,"borrowmoney",1
5402102,5402102,5400702,"borrowmoney",1
5402301,5402301,5402601,"borrowmoney",1
5402302,5402302,5402102,"borrowmoney",1
5402601,5402601,5405901,"borrowmoney",1
5402602,5402602,5406001,"borrowmoney",1
5403001,5403001,5400201,"borrowmoney",1
5403002,5403002,5400202,"borrowmoney",1
5403101,5403101,5402603,"borrowmoney",1
5403401,5403401,5404802,"borrowmoney",1
5403402,5403402,5403607,"borrowmoney",1
5403501,5403501,5403606,"borrowmoney",1
5403502,5403502,5403401,"borrowmoney",1
5404001,5404001,5404802,"borrowmoney",1
5404101,5404101,5404701,"borrowmoney",1
5404201,5404201,5404303,"borrowmoney",1
5404202,5404202,5401202,"borrowmoney",1
5404203,5404203,5404402,"borrowmoney",1
5404401,5404401,5404101,"borrowmoney",1
5404402,5404402,5404602,"borrowmoney",1
5404701,5404701,5404101,"borrowmoney",1
5404702,5404702,5404804,"borrowmoney",1
5404704,5404704,5404203,"borrowmoney",1
5404801,5404801,5404301,"borrowmoney",1
5404802,5404802,5404302,"borrowmoney",1
5404803,5404803,5405101,"borrowmoney",1
5404804,5404804,5404103,"borrowmoney",1
5404813,5404813,5407302,"borrowmoney",1
5405001,5405001,5404802,"borrowmoney",1
5405002,5405002,5405103,"borrowmoney",1
5405201,5405201,5407101,"borrowmoney",1
5405202,5405202,5404813,"borrowmoney",1
5405401,5405401,5405901,"borrowmoney",1
5405402,5405402,5405802,"borrowmoney",1
5405403,5405403,5404101,"borrowmoney",1
5405407,5405407,5404701,"borrowmoney",1
5405408,5405408,5403502,"borrowmoney",1
5405601,5405601,5406001,"borrowmoney",1
5405602,5405602,5405801,"borrowmoney",1
5405606,5405606,5404303,"borrowmoney",1
5405607,5405607,5408002,"borrowmoney",1
5405612,5405612,5405704,"borrowmoney",1
5405801,5405801,5405902,"borrowmoney",1
5405901,5405901,5405401,"borrowmoney",1
5405902,5405902,5405402,"borrowmoney",1
5405903,5405903,5404303,"borrowmoney",1
5405904,5405904,5405801,"borrowmoney",1
5406101,5406101,5404201,"borrowmoney",1
5406102,5406102,5406201,"borrowmoney",1
5406501,5406501,5405601,"borrowmoney",1
5406502,5406502,5406902,"borrowmoney",1
5406503,5406503,5405611,"borrowmoney",1
5406504,5406504,5406602,"borrowmoney",1
5406507,5406507,5404301,"borrowmoney",1
5406508,5406508,5404302,"borrowmoney",1
5406512,5406512,5404807,"borrowmoney",1
5406901,5406901,5406501,"borrowmoney",1
5406902,5406902,5406502,"borrowmoney",1
5406905,5406905,5406512,"borrowmoney",1
5407201,5407201,5409301,"borrowmoney",1
5407202,5407202,5404813,"borrowmoney",1
5407401,5407401,5406801,"borrowmoney",1
5407402,5407402,5407302,"borrowmoney",1
5407701,5407701,5407401,"borrowmoney",1
5407702,5407702,5404304,"borrowmoney",1
5407901,5407901,5404702,"borrowmoney",1
5407905,5407905,5408303,"borrowmoney",1
5407906,5407906,5407802,"borrowmoney",1
5408001,5408001,5405903,"borrowmoney",1
5408005,5408005,5404803,"borrowmoney",1
5408006,5408006,5407901,"borrowmoney",1
5408101,5408101,5408005,"borrowmoney",1
5408102,5408102,5408402,"borrowmoney",1
5408103,5408103,5408201,"borrowmoney",1
5408301,5408301,5408201,"borrowmoney",1
5408302,5408302,5407402,"borrowmoney",1
5408303,5408303,5404812,"borrowmoney",1
5408304,5408304,5408202,"borrowmoney",1
