"respondent","i","j","type","weight"
6400101,6400101,6400201,"borrowmoney",1
6400102,6400102,6407801,"borrowmoney",1
6400105,6400105,6400204,"borrowmoney",1
6400106,6400106,6400201,"borrowmoney",1
6400107,6400107,6400201,"borrowmoney",1
6400201,6400201,6417101,"borrowmoney",1
6400202,6400202,6400302,"borrowmoney",1
6400204,6400204,6400101,"borrowmoney",1
6400501,6400501,6408001,"borrowmoney",1
6400502,6400502,6419102,"borrowmoney",1
6400901,6400901,6401701,"borrowmoney",1
6400902,6400902,6400602,"borrowmoney",1
6401301,6401301,6402201,"borrowmoney",1
6401302,6401302,6402101,"borrowmoney",1
6401601,6401601,6401101,"borrowmoney",1
6401602,6401602,6401102,"borrowmoney",1
6401603,6401603,6414808,"borrowmoney",1
6401604,6401604,6401102,"borrowmoney",1
6401901,6401901,6400801,"borrowmoney",1
6401902,6401902,6400802,"borrowmoney",1
6401903,6401903,6402706,"borrowmoney",1
6402401,6402401,6402301,"borrowmoney",1
6402402,6402402,6402202,"borrowmoney",1
6402404,6402404,6402301,"borrowmoney",1
6402501,6402501,6403103,"borrowmoney",1
6402502,6402502,6403104,"borrowmoney",1
6402601,6402601,6406501,"borrowmoney",1
6402602,6402602,6404802,"borrowmoney",1
6402902,6402902,6402702,"borrowmoney",1
6403101,6403101,6402501,"borrowmoney",1
6403102,6403102,6403601,"borrowmoney",1
6403103,6403103,6413601,"borrowmoney",1
6403104,6403104,6402602,"borrowmoney",1
6403201,6403201,6403103,"borrowmoney",1
6403202,6403202,6403104,"borrowmoney",1
6403402,6403402,6407001,"borrowmoney",1
6403601,6403601,6410504,"borrowmoney",1
6403602,6403602,6404202,"borrowmoney",1
6403801,6403801,6414701,"borrowmoney",1
6403802,6403802,6405301,"borrowmoney",1
6403803,6403803,6402702,"borrowmoney",1
6403901,6403901,6404202,"borrowmoney",1
6404101,6404101,6402502,"borrowmoney",1
6404201,6404201,6410504,"borrowmoney",1
6404202,6404202,6408001,"borrowmoney",1
6404401,6404401,6409201,"borrowmoney",1
6404402,6404402,6404602,"borrowmoney",1
6404403,6404403,6418103,"borrowmoney",1
6404404,6404404,6404604,"borrowmoney",1
6404501,6404501,6420801,"borrowmoney",1
6404502,6404502,6407402,"borrowmoney",1
6404701,6404701,6408001,"borrowmoney",1
6405101,6405101,6405002,"borrowmoney",1
6405102,6405102,6405001,"borrowmoney",1
6405103,6405103,6406601,"borrowmoney",1
6405104,6405104,6405002,"borrowmoney",1
6405106,6405106,6401503,"borrowmoney",1
6405301,6405301,6406301,"borrowmoney",1
6405302,6405302,6407302,"borrowmoney",1
6405401,6405401,6418901,"borrowmoney",1
6405402,6405402,6418902,"borrowmoney",1
6405501,6405501,6406607,"borrowmoney",1
6405502,6405502,6406608,"borrowmoney",1
6405601,6405601,6405801,"borrowmoney",1
6405602,6405602,6405702,"borrowmoney",1
6405701,6405701,6412701,"borrowmoney",1
6405702,6405702,6405801,"borrowmoney",1
6405704,6405704,6419401,"borrowmoney",1
6405801,6405801,6406501,"borrowmoney",1
6406001,6406001,6406101,"borrowmoney",1
6406002,6406002,6405902,"borrowmoney",1
6406201,6406201,6406301,"borrowmoney",1
6406202,6406202,6406302,"borrowmoney",1
6406501,6406501,6407101,"borrowmoney",1
6406502,6406502,6409405,"borrowmoney",1
6406701,6406701,6406501,"borrowmoney",1
6406702,6406702,6407302,"borrowmoney",1
6406901,6406901,6421801,"borrowmoney",1
6406902,6406902,6406402,"borrowmoney",1
6407201,6407201,6400103,"borrowmoney",1
6407202,6407202,6407102,"borrowmoney",1
6407301,6407301,6406701,"borrowmoney",1
6407302,6407302,6406702,"borrowmoney",1
6407401,6407401,6404503,"borrowmoney",1
6407402,6407402,6404502,"borrowmoney",1
6407801,6407801,6400101,"borrowmoney",1
6407901,6407901,6410504,"borrowmoney",1
6407902,6407902,6418301,"borrowmoney",1
6408101,6408101,6424101,"borrowmoney",1
6408102,6408102,6408002,"borrowmoney",1
6408105,6408105,6408902,"borrowmoney",1
6408106,6408106,6408202,"borrowmoney",1
6408201,6408201,6420703,"borrowmoney",1
6408202,6408202,6408106,"borrowmoney",1
6408701,6408701,6418201,"borrowmoney",1
6408702,6408702,6409802,"borrowmoney",1
6408704,6408704,6420704,"borrowmoney",1
6409201,6409201,6404401,"borrowmoney",1
6409202,6409202,6409402,"borrowmoney",1
6409501,6409501,6409601,"borrowmoney",1
6409502,6409502,6409602,"borrowmoney",1
6409801,6409801,6416101,"borrowmoney",1
6409802,6409802,6410002,"borrowmoney",1
6410001,6410001,6409601,"borrowmoney",1
6410002,6410002,6410202,"borrowmoney",1
6410101,6410101,6416801,"borrowmoney",1
6410102,6410102,6410202,"borrowmoney",1
6410103,6410103,6416801,"borrowmoney",1
6410104,6410104,6416802,"borrowmoney",1
6410201,6410201,6416901,"borrowmoney",1
6410202,6410202,6410002,"borrowmoney",1
6410401,6410401,6409501,"borrowmoney",1
6410402,6410402,6410302,"borrowmoney",1
6410403,6410403,6409602,"borrowmoney",1
6410504,6410504,6421801,"borrowmoney",1
6410701,6410701,6406601,"borrowmoney",1
6410702,6410702,6410202,"borrowmoney",1
6410801,6410801,6422501,"borrowmoney",1
6410802,6410802,6422501,"borrowmoney",1
6410803,6410803,6418802,"borrowmoney",1
6410804,6410804,6410902,"borrowmoney",1
6410808,6410808,6408101,"borrowmoney",1
6410809,6410809,6410902,"borrowmoney",1
6410812,6410812,6410901,"borrowmoney",1
6410813,6410813,6408402,"borrowmoney",1
6410901,6410901,6410803,"borrowmoney",1
6410902,6410902,6408302,"borrowmoney",1
6411001,6411001,6410803,"borrowmoney",1
6411002,6411002,6406402,"borrowmoney",1
6411101,6411101,6411306,"borrowmoney",1
6411102,6411102,6411306,"borrowmoney",1
6411401,6411401,6414804,"borrowmoney",1
6411402,6411402,6414804,"borrowmoney",1
6411801,6411801,6411501,"borrowmoney",1
6411802,6411802,6408501,"borrowmoney",1
6412201,6412201,6406501,"borrowmoney",1
6412202,6412202,6412001,"borrowmoney",1
6412203,6412203,6416401,"borrowmoney",1
6412204,6412204,6412804,"borrowmoney",1
6412401,6412401,6412502,"borrowmoney",1
6412801,6412801,6411904,"borrowmoney",1
6412803,6412803,6408501,"borrowmoney",1
6412804,6412804,6408501,"borrowmoney",1
6413101,6413101,6413201,"borrowmoney",1
6413102,6413102,6413202,"borrowmoney",1
6413110,6413110,6413202,"borrowmoney",1
6413201,6413201,6421801,"borrowmoney",1
6413202,6413202,6413502,"borrowmoney",1
6413204,6413204,6411902,"borrowmoney",1
6413601,6413601,6413301,"borrowmoney",1
6413602,6413602,6413811,"borrowmoney",1
6413701,6413701,6421801,"borrowmoney",1
6413702,6413702,6421801,"borrowmoney",1
6413801,6413801,6414302,"borrowmoney",1
6413802,6413802,6422102,"borrowmoney",1
6413803,6413803,6412801,"borrowmoney",1
6413804,6413804,6418502,"borrowmoney",1
