"respondent","i","j","type","weight"
3000201,3000201,3005801,"borrowmoney",1
3000202,3000202,3005801,"borrowmoney",1
3000203,3000203,3011406,"borrowmoney",1
3000204,3000204,3000102,"borrowmoney",1
3000208,3000208,3000306,"borrowmoney",1
3000209,3000209,3000204,"borrowmoney",1
3000301,3000301,3009003,"borrowmoney",1
3000302,3000302,3000204,"borrowmoney",1
3000306,3000306,3000601,"borrowmoney",1
3000307,3000307,3000302,"borrowmoney",1
3001101,3001101,3001203,"borrowmoney",1
3001102,3001102,3001301,"borrowmoney",1
3001103,3001103,3001301,"borrowmoney",1
3001105,3001105,3001302,"borrowmoney",1
3001201,3001201,3001503,"borrowmoney",1
3001202,3001202,3001201,"borrowmoney",1
3001203,3001203,3001002,"borrowmoney",1
3001301,3001301,3005601,"borrowmoney",1
3001302,3001302,3001102,"borrowmoney",1
3001501,3001501,3001503,"borrowmoney",1
3001502,3001502,3001701,"borrowmoney",1
3001601,3001601,3013101,"borrowmoney",1
3001602,3001602,3012201,"borrowmoney",1
3001701,3001701,3000301,"borrowmoney",1
3001702,3001702,3001401,"borrowmoney",1
3002001,3002001,3012701,"borrowmoney",1
3002002,3002002,3002602,"borrowmoney",1
3002004,3002004,3002101,"borrowmoney",1
3002401,3002401,3002101,"borrowmoney",1
3002402,3002402,3002102,"borrowmoney",1
3002406,3002406,3013815,"borrowmoney",1
3002801,3002801,3002306,"borrowmoney",1
3002802,3002802,3002902,"borrowmoney",1
3002901,3002901,3005802,"borrowmoney",1
3002902,3002902,3002802,"borrowmoney",1
3003401,3003401,3005001,"borrowmoney",1
3003402,3003402,3002602,"borrowmoney",1
3003601,3003601,3005001,"borrowmoney",1
3003602,3003602,3007401,"borrowmoney",1
3003603,3003603,3000102,"borrowmoney",1
3003701,3003701,3003602,"borrowmoney",1
3003702,3003702,3003802,"borrowmoney",1
3003902,3003902,3003603,"borrowmoney",1
3004001,3004001,3000101,"borrowmoney",1
3004002,3004002,3000102,"borrowmoney",1
3004101,3004101,3013002,"borrowmoney",1
3004102,3004102,3001002,"borrowmoney",1
3004301,3004301,3005605,"borrowmoney",1
3004302,3004302,3012302,"borrowmoney",1
3004401,3004401,3008603,"borrowmoney",1
3004701,3004701,3004801,"borrowmoney",1
3004702,3004702,3004802,"borrowmoney",1
3004704,3004704,3008205,"borrowmoney",1
3004801,3004801,3013201,"borrowmoney",1
3004802,3004802,3004002,"borrowmoney",1
3005101,3005101,3005001,"borrowmoney",1
3005103,3005103,3003102,"borrowmoney",1
3005302,3005302,3006002,"borrowmoney",1
3005304,3005304,3003102,"borrowmoney",1
3005601,3005601,3008201,"borrowmoney",1
3005602,3005602,3005703,"borrowmoney",1
3005605,3005605,3005301,"borrowmoney",1
3005606,3005606,3005703,"borrowmoney",1
3005701,3005701,3007102,"borrowmoney",1
3005702,3005702,3005003,"borrowmoney",1
3005703,3005703,3005602,"borrowmoney",1
3005901,3005901,3000301,"borrowmoney",1
3005902,3005902,3005103,"borrowmoney",1
3006301,3006301,3007501,"borrowmoney",1
3006302,3006302,3005703,"borrowmoney",1
3006303,3006303,3007502,"borrowmoney",1
3006501,3006501,3013201,"borrowmoney",1
3006502,3006502,3005002,"borrowmoney",1
3006701,3006701,3009003,"borrowmoney",1
3006703,3006703,3009004,"borrowmoney",1
3006704,3006704,3005902,"borrowmoney",1
3006706,3006706,3009004,"borrowmoney",1
3006801,3006801,3007001,"borrowmoney",1
3006802,3006802,3007002,"borrowmoney",1
3007101,3007101,3006501,"borrowmoney",1
3007102,3007102,3006502,"borrowmoney",1
3007103,3007103,3006502,"borrowmoney",1
3007104,3007104,3007002,"borrowmoney",1
3007301,3007301,3005301,"borrowmoney",1
3007302,3007302,3007502,"borrowmoney",1
3007303,3007303,3000301,"borrowmoney",1
3007304,3007304,3007302,"borrowmoney",1
3007501,3007501,3005605,"borrowmoney",1
3007502,3007502,3005302,"borrowmoney",1
3007505,3007505,3006803,"borrowmoney",1
3007701,3007701,3007601,"borrowmoney",1
3007702,3007702,3005202,"borrowmoney",1
3007801,3007801,3008502,"borrowmoney",1
3007802,3007802,3008501,"borrowmoney",1
3007803,3007803,3010102,"borrowmoney",1
3007804,3007804,3000301,"borrowmoney",1
3007902,3007902,3008702,"borrowmoney",1
3008001,3008001,3008201,"borrowmoney",1
3008002,3008002,3007902,"borrowmoney",1
3008101,3008101,3003703,"borrowmoney",1
3008102,3008102,3007802,"borrowmoney",1
3008201,3008201,3008001,"borrowmoney",1
3008202,3008202,3008002,"borrowmoney",1
3008206,3008206,3008407,"borrowmoney",1
3008501,3008501,3004301,"borrowmoney",1
3008502,3008502,3011602,"borrowmoney",1
3008503,3008503,3009402,"borrowmoney",1
3008601,3008601,3008701,"borrowmoney",1
3008602,3008602,3008702,"borrowmoney",1
3008603,3008603,3004401,"borrowmoney",1
3008604,3008604,3009202,"borrowmoney",1
3008605,3008605,3007903,"borrowmoney",1
3008606,3008606,3009202,"borrowmoney",1
3009101,3009101,3013001,"borrowmoney",1
3009102,3009102,3013001,"borrowmoney",1
3009103,3009103,3009003,"borrowmoney",1
