"respondent","i","j","type","weight"
300901,300901,312301,"borrowmoney",1
300904,300904,310301,"borrowmoney",1
301001,301001,301106,"borrowmoney",1
301002,301002,305502,"borrowmoney",1
301102,301102,300502,"borrowmoney",1
301601,301601,302501,"borrowmoney",1
302402,302402,313701,"borrowmoney",1
302403,302403,302402,"borrowmoney",1
302501,302501,307401,"borrowmoney",1
302502,302502,313202,"borrowmoney",1
302601,302601,301105,"borrowmoney",1
302602,302602,306004,"borrowmoney",1
302801,302801,327601,"borrowmoney",1
302802,302802,314101,"borrowmoney",1
302803,302803,303703,"borrowmoney",1
302901,302901,302801,"borrowmoney",1
302902,302902,308203,"borrowmoney",1
302905,302905,302804,"borrowmoney",1
302908,302908,302801,"borrowmoney",1
303001,303001,307201,"borrowmoney",1
303002,303002,320501,"borrowmoney",1
303301,303301,300601,"borrowmoney",1
303402,303402,303802,"borrowmoney",1
303403,303403,325201,"borrowmoney",1
303601,303601,303801,"borrowmoney",1
303602,303602,303302,"borrowmoney",1
303603,303603,304102,"borrowmoney",1
303702,303702,303602,"borrowmoney",1
303801,303801,303601,"borrowmoney",1
303802,303802,303402,"borrowmoney",1
303803,303803,303602,"borrowmoney",1
303901,303901,320801,"borrowmoney",1
304201,304201,304202,"borrowmoney",1
304202,304202,304901,"borrowmoney",1
304203,304203,304202,"borrowmoney",1
304204,304204,301505,"borrowmoney",1
304205,304205,304902,"borrowmoney",1
304303,304303,318401,"borrowmoney",1
304304,304304,303802,"borrowmoney",1
304501,304501,301106,"borrowmoney",1
304502,304502,305101,"borrowmoney",1
304503,304503,300502,"borrowmoney",1
304901,304901,305301,"borrowmoney",1
304902,304902,305302,"borrowmoney",1
305101,305101,305301,"borrowmoney",1
305102,305102,304501,"borrowmoney",1
305401,305401,305301,"borrowmoney",1
305501,305501,300601,"borrowmoney",1
305502,305502,305402,"borrowmoney",1
305701,305701,301301,"borrowmoney",1
305703,305703,326803,"borrowmoney",1
305901,305901,321301,"borrowmoney",1
305902,305902,303309,"borrowmoney",1
305903,305903,307104,"borrowmoney",1
305904,305904,321006,"borrowmoney",1
306101,306101,305901,"borrowmoney",1
306102,306102,306004,"borrowmoney",1
306104,306104,311201,"borrowmoney",1
306201,306201,304505,"borrowmoney",1
306202,306202,307602,"borrowmoney",1
306401,306401,306301,"borrowmoney",1
306402,306402,306302,"borrowmoney",1
306501,306501,303107,"borrowmoney",1
306502,306502,303103,"borrowmoney",1
306801,306801,306901,"borrowmoney",1
306802,306802,303107,"borrowmoney",1
306803,306803,303302,"borrowmoney",1
307201,307201,306502,"borrowmoney",1
