"respondent","i","j","type","weight"
5900201,5900201,5932701,"borrowmoney",1
5900202,5900202,5932701,"borrowmoney",1
5900203,5900203,5910302,"borrowmoney",1
5900301,5900301,5915302,"borrowmoney",1
5900302,5900302,5905607,"borrowmoney",1
5900601,5900601,5900501,"borrowmoney",1
5900602,5900602,5932302,"borrowmoney",1
5900701,5900701,5904701,"borrowmoney",1
5900702,5900702,5901301,"borrowmoney",1
5900704,5900704,5909201,"borrowmoney",1
5900705,5900705,5901302,"borrowmoney",1
5900708,5900708,5904701,"borrowmoney",1
5900709,5900709,5903501,"borrowmoney",1
5900801,5900801,5900901,"borrowmoney",1
5900802,5900802,5900901,"borrowmoney",1
5901001,5901001,5902801,"borrowmoney",1
5901002,5901002,5900802,"borrowmoney",1
5901501,5901501,5906701,"borrowmoney",1
5901502,5901502,5904001,"borrowmoney",1
5901801,5901801,5916001,"borrowmoney",1
5901802,5901802,5903902,"borrowmoney",1
5902001,5902001,5902506,"borrowmoney",1
5902002,5902002,5902506,"borrowmoney",1
5902401,5902401,5916001,"borrowmoney",1
5902402,5902402,5903702,"borrowmoney",1
5902404,5902404,5916001,"borrowmoney",1
5902701,5902701,5930201,"borrowmoney",1
5902702,5902702,5902402,"borrowmoney",1
5902704,5902704,5902404,"borrowmoney",1
5902801,5902801,5901001,"borrowmoney",1
5903301,5903301,5903601,"borrowmoney",1
5903302,5903302,5903402,"borrowmoney",1
5903401,5903401,5905401,"borrowmoney",1
5903402,5903402,5903302,"borrowmoney",1
5903501,5903501,5903301,"borrowmoney",1
5903502,5903502,5903402,"borrowmoney",1
5903801,5903801,5912601,"borrowmoney",1
5903802,5903802,5902002,"borrowmoney",1
5903901,5903901,5901801,"borrowmoney",1
5903902,5903902,5902002,"borrowmoney",1
5903904,5903904,5903702,"borrowmoney",1
5904101,5904101,5904302,"borrowmoney",1
5904201,5904201,5904802,"borrowmoney",1
5904401,5904401,5912408,"borrowmoney",1
5904402,5904402,5904302,"borrowmoney",1
5904403,5904403,5904102,"borrowmoney",1
5904404,5904404,5906702,"borrowmoney",1
5904501,5904501,5900305,"borrowmoney",1
5904502,5904502,5925602,"borrowmoney",1
5904601,5904601,5905201,"borrowmoney",1
5904901,5904901,5904701,"borrowmoney",1
5904902,5904902,5904705,"borrowmoney",1
5905401,5905401,5928301,"borrowmoney",1
5905402,5905402,5928305,"borrowmoney",1
5905403,5905403,5928301,"borrowmoney",1
5905404,5905404,5928305,"borrowmoney",1
5905501,5905501,5931001,"borrowmoney",1
5905502,5905502,5905404,"borrowmoney",1
5905508,5905508,5905402,"borrowmoney",1
5905601,5905601,5926501,"borrowmoney",1
5905602,5905602,5910402,"borrowmoney",1
5905603,5905603,5910201,"borrowmoney",1
5905606,5905606,5902205,"borrowmoney",1
5905607,5905607,5910202,"borrowmoney",1
5905901,5905901,5914101,"borrowmoney",1
5905902,5905902,5906002,"borrowmoney",1
5905903,5905903,5906002,"borrowmoney",1
5906101,5906101,5912801,"borrowmoney",1
5906102,5906102,5906002,"borrowmoney",1
5906301,5906301,5904804,"borrowmoney",1
5906302,5906302,5906802,"borrowmoney",1
5906401,5906401,5904804,"borrowmoney",1
5906402,5906402,5906901,"borrowmoney",1
5906601,5906601,5906001,"borrowmoney",1
5906602,5906602,5906002,"borrowmoney",1
5907102,5907102,5908102,"borrowmoney",1
5907201,5907201,5926001,"borrowmoney",1
5907202,5907202,5908102,"borrowmoney",1
5907203,5907203,5916306,"borrowmoney",1
5907301,5907301,5906001,"borrowmoney",1
5907302,5907302,5908002,"borrowmoney",1
5907401,5907401,5907201,"borrowmoney",1
5907402,5907402,5907502,"borrowmoney",1
5907501,5907501,5908801,"borrowmoney",1
5907502,5907502,5908302,"borrowmoney",1
5907801,5907801,5913607,"borrowmoney",1
5907902,5907902,5907801,"borrowmoney",1
5908101,5908101,5908601,"borrowmoney",1
5908102,5908102,5925802,"borrowmoney",1
5908105,5908105,5908302,"borrowmoney",1
5908301,5908301,5908401,"borrowmoney",1
5908302,5908302,5907502,"borrowmoney",1
5908501,5908501,5908206,"borrowmoney",1
5908502,5908502,5906006,"borrowmoney",1
5908901,5908901,5907501,"borrowmoney",1
5908902,5908902,5907502,"borrowmoney",1
5909101,5909101,5912401,"borrowmoney",1
5909102,5909102,5912401,"borrowmoney",1
5909103,5909103,5925404,"borrowmoney",1
5909301,5909301,5908301,"borrowmoney",1
5909302,5909302,5908802,"borrowmoney",1
5909303,5909303,5909501,"borrowmoney",1
5909401,5909401,5909502,"borrowmoney",1
5909501,5909501,5915801,"borrowmoney",1
5909502,5909502,5909601,"borrowmoney",1
5909601,5909601,5909501,"borrowmoney",1
5909602,5909602,5909502,"borrowmoney",1
5910301,5910301,5903301,"borrowmoney",1
5910302,5910302,5909202,"borrowmoney",1
5910304,5910304,5905606,"borrowmoney",1
5910401,5910401,5926308,"borrowmoney",1
