"respondent","i","j","type","weight"
1600101,1600101,1610601,"borrowmoney",1
1600102,1600102,1605802,"borrowmoney",1
1600103,1600103,1605701,"borrowmoney",1
1600104,1600104,1600202,"borrowmoney",1
1600401,1600401,1608801,"borrowmoney",1
1600402,1600402,1600401,"borrowmoney",1
1600403,1600403,1609505,"borrowmoney",1
1600404,1600404,1602905,"borrowmoney",1
1600407,1600407,1600503,"borrowmoney",1
1600408,1600408,1600407,"borrowmoney",1
1600411,1600411,1600702,"borrowmoney",1
1600501,1600501,1603301,"borrowmoney",1
1600502,1600502,1600802,"borrowmoney",1
1600504,1600504,1603301,"borrowmoney",1
1600801,1600801,1603001,"borrowmoney",1
1600802,1600802,1605302,"borrowmoney",1
1600901,1600901,1601101,"borrowmoney",1
1600902,1600902,1611402,"borrowmoney",1
1600903,1600903,1601003,"borrowmoney",1
1601301,1601301,1601202,"borrowmoney",1
1601302,1601302,1602303,"borrowmoney",1
1601701,1601701,1602401,"borrowmoney",1
1601702,1601702,1602405,"borrowmoney",1
1601801,1601801,1602302,"borrowmoney",1
1601802,1601802,1602302,"borrowmoney",1
1602101,1602101,1610603,"borrowmoney",1
1602301,1602301,1608801,"borrowmoney",1
1602302,1602302,1600802,"borrowmoney",1
1602303,1602303,1600802,"borrowmoney",1
1602401,1602401,1604501,"borrowmoney",1
1602402,1602402,1602702,"borrowmoney",1
1602501,1602501,1614201,"borrowmoney",1
1602502,1602502,1602702,"borrowmoney",1
1602701,1602701,1600503,"borrowmoney",1
1602702,1602702,1602501,"borrowmoney",1
1602801,1602801,1608803,"borrowmoney",1
1602802,1602802,1602202,"borrowmoney",1
1602901,1602901,1600301,"borrowmoney",1
1602902,1602902,1600902,"borrowmoney",1
1602903,1602903,1600502,"borrowmoney",1
1602904,1602904,1600301,"borrowmoney",1
1602905,1602905,1600302,"borrowmoney",1
1603101,1603101,1605403,"borrowmoney",1
1603301,1603301,1602902,"borrowmoney",1
1603501,1603501,1605403,"borrowmoney",1
1603502,1603502,1602904,"borrowmoney",1
1603503,1603503,1602904,"borrowmoney",1
1603601,1603601,1603701,"borrowmoney",1
1603602,1603602,1603702,"borrowmoney",1
1603603,1603603,1603702,"borrowmoney",1
1603701,1603701,1602201,"borrowmoney",1
1603702,1603702,1601102,"borrowmoney",1
1603801,1603801,1608801,"borrowmoney",1
1603802,1603802,1602201,"borrowmoney",1
1604001,1604001,1609201,"borrowmoney",1
1604002,1604002,1605402,"borrowmoney",1
1604701,1604701,1610501,"borrowmoney",1
1604702,1604702,1604502,"borrowmoney",1
1604703,1604703,1602102,"borrowmoney",1
1605401,1605401,1608801,"borrowmoney",1
1605402,1605402,1605506,"borrowmoney",1
1605403,1605403,1608801,"borrowmoney",1
1605501,1605501,1602901,"borrowmoney",1
1605506,1605506,1602602,"borrowmoney",1
1605801,1605801,1608801,"borrowmoney",1
1605802,1605802,1608801,"borrowmoney",1
1606201,1606201,1606801,"borrowmoney",1
1606202,1606202,1606801,"borrowmoney",1
1606203,1606203,1606801,"borrowmoney",1
1606501,1606501,1606601,"borrowmoney",1
1606502,1606502,1606601,"borrowmoney",1
1606601,1606601,1606201,"borrowmoney",1
1606602,1606602,1606201,"borrowmoney",1
1606603,1606603,1606203,"borrowmoney",1
1606701,1606701,1608801,"borrowmoney",1
1606702,1606702,1606501,"borrowmoney",1
1606703,1606703,1606501,"borrowmoney",1
1607001,1607001,1602101,"borrowmoney",1
1607002,1607002,1607001,"borrowmoney",1
1607005,1607005,1607001,"borrowmoney",1
1607006,1607006,1607001,"borrowmoney",1
1607009,1607009,1600105,"borrowmoney",1
1607010,1607010,1608503,"borrowmoney",1
1607011,1607011,1609302,"borrowmoney",1
1607101,1607101,1608101,"borrowmoney",1
1607102,1607102,1610702,"borrowmoney",1
1607201,1607201,1607307,"borrowmoney",1
1607202,1607202,1607307,"borrowmoney",1
1607501,1607501,1607201,"borrowmoney",1
1607502,1607502,1607602,"borrowmoney",1
1607503,1607503,1602101,"borrowmoney",1
1607601,1607601,1605301,"borrowmoney",1
1607602,1607602,1610501,"borrowmoney",1
1607603,1607603,1600701,"borrowmoney",1
1607604,1607604,1608402,"borrowmoney",1
1607608,1607608,1606801,"borrowmoney",1
1608101,1608101,1601901,"borrowmoney",1
1608102,1608102,1607502,"borrowmoney",1
1608201,1608201,1605302,"borrowmoney",1
1608202,1608202,1603601,"borrowmoney",1
1608203,1608203,1612201,"borrowmoney",1
1608204,1608204,1608302,"borrowmoney",1
1608301,1608301,1608203,"borrowmoney",1
1608302,1608302,1608402,"borrowmoney",1
1608401,1608401,1608803,"borrowmoney",1
1608402,1608402,1607604,"borrowmoney",1
1608801,1608801,1609201,"borrowmoney",1
1609001,1609001,1606701,"borrowmoney",1
1609101,1609101,1606702,"borrowmoney",1
1609102,1609102,1608605,"borrowmoney",1
1609501,1609501,1609503,"borrowmoney",1
1609503,1609503,1608801,"borrowmoney",1
1609504,1609504,1608801,"borrowmoney",1
1609505,1609505,1608803,"borrowmoney",1
1609801,1609801,1609701,"borrowmoney",1
1609802,1609802,1609701,"borrowmoney",1
1609803,1609803,1609701,"borrowmoney",1
1609804,1609804,1609702,"borrowmoney",1
1610101,1610101,1610501,"borrowmoney",1
1610102,1610102,1610501,"borrowmoney",1
1610103,1610103,1609802,"borrowmoney",1
1610104,1610104,1610202,"borrowmoney",1
1610301,1610301,1610501,"borrowmoney",1
1610501,1610501,1613001,"borrowmoney",1
1610502,1610502,1610402,"borrowmoney",1
1610506,1610506,1610601,"borrowmoney",1
1610507,1610507,1610301,"borrowmoney",1
1610511,1610511,1600407,"borrowmoney",1
1610512,1610512,1608402,"borrowmoney",1
1610515,1610515,1608401,"borrowmoney",1
1610516,1610516,1608402,"borrowmoney",1
1610701,1610701,1608801,"borrowmoney",1
1610702,1610702,1608802,"borrowmoney",1
1610703,1610703,1608802,"borrowmoney",1
1610704,1610704,1610602,"borrowmoney",1
1610901,1610901,1608801,"borrowmoney",1
1610902,1610902,1611402,"borrowmoney",1
1611101,1611101,1608901,"borrowmoney",1
1611102,1611102,1611302,"borrowmoney",1
1611301,1611301,1602001,"borrowmoney",1
1611302,1611302,1611602,"borrowmoney",1
1611501,1611501,1609902,"borrowmoney",1
1611502,1611502,1609902,"borrowmoney",1
1611601,1611601,1611701,"borrowmoney",1
1611602,1611602,1611702,"borrowmoney",1
1611603,1611603,1612804,"borrowmoney",1
1611801,1611801,1611701,"borrowmoney",1
1611802,1611802,1612202,"borrowmoney",1
1611803,1611803,1611905,"borrowmoney",1
1611805,1611805,1608801,"borrowmoney",1
1611806,1611806,1611501,"borrowmoney",1
1611901,1611901,1611501,"borrowmoney",1
1612201,1612201,1612303,"borrowmoney",1
1612202,1612202,1611902,"borrowmoney",1
1612401,1612401,1610201,"borrowmoney",1
1612501,1612501,1610201,"borrowmoney",1
1612502,1612502,1610201,"borrowmoney",1
1612503,1612503,1608105,"borrowmoney",1
