"respondent","i","j","type","weight"
4100401,4100401,4100501,"borrowmoney",1
4100402,4100402,4115606,"borrowmoney",1
4100501,4100501,4100607,"borrowmoney",1
4100502,4100502,4100402,"borrowmoney",1
4100701,4100701,4100301,"borrowmoney",1
4100702,4100702,4100402,"borrowmoney",1
4100901,4100901,4101001,"borrowmoney",1
4100902,4100902,4100702,"borrowmoney",1
4101001,4101001,4100901,"borrowmoney",1
4101002,4101002,4100902,"borrowmoney",1
4101201,4101201,4101001,"borrowmoney",1
4101202,4101202,4101301,"borrowmoney",1
4101301,4101301,4101001,"borrowmoney",1
4101302,4101302,4101002,"borrowmoney",1
4101601,4101601,4101701,"borrowmoney",1
4101602,4101602,4102302,"borrowmoney",1
4101701,4101701,4100901,"borrowmoney",1
4101702,4101702,4101601,"borrowmoney",1
4101703,4101703,4109003,"borrowmoney",1
4101704,4101704,4101802,"borrowmoney",1
4101901,4101901,4101801,"borrowmoney",1
4101902,4101902,4100902,"borrowmoney",1
4102101,4102101,4102201,"borrowmoney",1
4102102,4102102,4102201,"borrowmoney",1
4102201,4102201,4102101,"borrowmoney",1
4102202,4102202,4101801,"borrowmoney",1
4102501,4102501,4109402,"borrowmoney",1
4102601,4102601,4102701,"borrowmoney",1
4102602,4102602,4102702,"borrowmoney",1
4102701,4102701,4101001,"borrowmoney",1
4102702,4102702,4102602,"borrowmoney",1
4102801,4102801,4102701,"borrowmoney",1
4102802,4102802,4102902,"borrowmoney",1
4102804,4102804,4102902,"borrowmoney",1
4102901,4102901,4103001,"borrowmoney",1
4102902,4102902,4102102,"borrowmoney",1
4103001,4103001,4102901,"borrowmoney",1
4103002,4103002,4102902,"borrowmoney",1
4103101,4103101,4103001,"borrowmoney",1
4103102,4103102,4102802,"borrowmoney",1
4103601,4103601,4103902,"borrowmoney",1
4103602,4103602,4103907,"borrowmoney",1
4103801,4103801,4103302,"borrowmoney",1
4103901,4103901,4103902,"borrowmoney",1
4103902,4103902,4109201,"borrowmoney",1
4103903,4103903,4102702,"borrowmoney",1
4103907,4103907,4103602,"borrowmoney",1
4104002,4104002,4104302,"borrowmoney",1
4104003,4104003,4104302,"borrowmoney",1
4104401,4104401,4107903,"borrowmoney",1
4104402,4104402,4107903,"borrowmoney",1
4104403,4104403,4103907,"borrowmoney",1
4104901,4104901,4104801,"borrowmoney",1
4104902,4104902,4101402,"borrowmoney",1
4104903,4104903,4108004,"borrowmoney",1
4105001,4105001,4107701,"borrowmoney",1
4105002,4105002,4105802,"borrowmoney",1
4105201,4105201,4105301,"borrowmoney",1
4105202,4105202,4105302,"borrowmoney",1
4105301,4105301,4107903,"borrowmoney",1
4105302,4105302,4106602,"borrowmoney",1
4105601,4105601,4100601,"borrowmoney",1
4105602,4105602,4106802,"borrowmoney",1
4105701,4105701,4115701,"borrowmoney",1
4105702,4105702,4105302,"borrowmoney",1
4105901,4105901,4113902,"borrowmoney",1
4105902,4105902,4100402,"borrowmoney",1
4105903,4105903,4107402,"borrowmoney",1
4106101,4106101,4101801,"borrowmoney",1
4106102,4106102,4106202,"borrowmoney",1
4106701,4106701,4102301,"borrowmoney",1
4106801,4106801,4104508,"borrowmoney",1
4106802,4106802,4105902,"borrowmoney",1
4107101,4107101,4111301,"borrowmoney",1
4107102,4107102,4107402,"borrowmoney",1
4107401,4107401,4111201,"borrowmoney",1
4107402,4107402,4111202,"borrowmoney",1
4107501,4107501,4101301,"borrowmoney",1
4107701,4107701,4102902,"borrowmoney",1
4107702,4107702,4102902,"borrowmoney",1
4108101,4108101,4104801,"borrowmoney",1
4108102,4108102,4104202,"borrowmoney",1
4108401,4108401,4102301,"borrowmoney",1
