"respondent","i","j","type","weight"
4300201,4300201,4300301,"borrowmoney",1
4300202,4300202,4300302,"borrowmoney",1
4300401,4300401,4318901,"borrowmoney",1
4300402,4300402,4318901,"borrowmoney",1
4300501,4300501,4301501,"borrowmoney",1
4300502,4300502,4306001,"borrowmoney",1
4300601,4300601,4301101,"borrowmoney",1
4300602,4300602,4300902,"borrowmoney",1
4300801,4300801,4300401,"borrowmoney",1
4300802,4300802,4300402,"borrowmoney",1
4301301,4301301,4301101,"borrowmoney",1
4301302,4301302,4300902,"borrowmoney",1
4301401,4301401,4301101,"borrowmoney",1
4301402,4301402,4301102,"borrowmoney",1
4301501,4301501,4301901,"borrowmoney",1
4301502,4301502,4301602,"borrowmoney",1
4301601,4301601,4301201,"borrowmoney",1
4301602,4301602,4301902,"borrowmoney",1
4301801,4301801,4301901,"borrowmoney",1
4301802,4301802,4301902,"borrowmoney",1
4301901,4301901,4302001,"borrowmoney",1
4301902,4301902,4319602,"borrowmoney",1
4302001,4302001,4301901,"borrowmoney",1
4302002,4302002,4301902,"borrowmoney",1
4302201,4302201,4302301,"borrowmoney",1
4302205,4302205,4314802,"borrowmoney",1
4302301,4302301,4318803,"borrowmoney",1
4302302,4302302,4318804,"borrowmoney",1
4302501,4302501,4302601,"borrowmoney",1
4302502,4302502,4302302,"borrowmoney",1
4302503,4302503,4303701,"borrowmoney",1
4302504,4302504,4303702,"borrowmoney",1
4302601,4302601,4302301,"borrowmoney",1
4302602,4302602,4302302,"borrowmoney",1
4302701,4302701,4308501,"borrowmoney",1
4302702,4302702,4302504,"borrowmoney",1
4303001,4303001,4305201,"borrowmoney",1
4303002,4303002,4305202,"borrowmoney",1
4303101,4303101,4303701,"borrowmoney",1
4303102,4303102,4304202,"borrowmoney",1
4303401,4303401,4303101,"borrowmoney",1
4303402,4303402,4303502,"borrowmoney",1
4303502,4303502,4304802,"borrowmoney",1
4303701,4303701,4303601,"borrowmoney",1
4303702,4303702,4304102,"borrowmoney",1
4304101,4304101,4303801,"borrowmoney",1
4304102,4304102,4303802,"borrowmoney",1
4304401,4304401,4305801,"borrowmoney",1
4304402,4304402,4302504,"borrowmoney",1
4304601,4304601,4318501,"borrowmoney",1
4304602,4304602,4311402,"borrowmoney",1
4304901,4304901,4305001,"borrowmoney",1
4304902,4304902,4305601,"borrowmoney",1
4304903,4304903,4302401,"borrowmoney",1
4304904,4304904,4305002,"borrowmoney",1
4305201,4305201,4302701,"borrowmoney",1
4305202,4305202,4303002,"borrowmoney",1
4305204,4305204,4301703,"borrowmoney",1
4305205,4305205,4303001,"borrowmoney",1
4305208,4305208,4305101,"borrowmoney",1
4305209,4305209,4303002,"borrowmoney",1
4305210,4305210,4306205,"borrowmoney",1
4305211,4305211,4302901,"borrowmoney",1
4305301,4305301,4305202,"borrowmoney",1
4305303,4305303,4302702,"borrowmoney",1
4305601,4305601,4313601,"borrowmoney",1
4305602,4305602,4302002,"borrowmoney",1
4305603,4305603,4303401,"borrowmoney",1
4305604,4305604,4305602,"borrowmoney",1
4305901,4305901,4306701,"borrowmoney",1
4306001,4306001,4314103,"borrowmoney",1
4306301,4306301,4306502,"borrowmoney",1
4306302,4306302,4308002,"borrowmoney",1
4306401,4306401,4305702,"borrowmoney",1
4306501,4306501,4311001,"borrowmoney",1
4306502,4306502,4305702,"borrowmoney",1
4306504,4306504,4306602,"borrowmoney",1
4306601,4306601,4308501,"borrowmoney",1
4306602,4306602,4315402,"borrowmoney",1
4306605,4306605,4306601,"borrowmoney",1
4307301,4307301,4305901,"borrowmoney",1
4307302,4307302,4305901,"borrowmoney",1
4307701,4307701,4315701,"borrowmoney",1
4307702,4307702,4300802,"borrowmoney",1
4307703,4307703,4306701,"borrowmoney",1
4307704,4307704,4312804,"borrowmoney",1
4308001,4308001,4308102,"borrowmoney",1
4308101,4308101,4314103,"borrowmoney",1
4308102,4308102,4304702,"borrowmoney",1
4308501,4308501,4306601,"borrowmoney",1
4308502,4308502,4304101,"borrowmoney",1
4308601,4308601,4310201,"borrowmoney",1
4308602,4308602,4308502,"borrowmoney",1
4308701,4308701,4309301,"borrowmoney",1
4308702,4308702,4309405,"borrowmoney",1
4308706,4308706,4309301,"borrowmoney",1
4308707,4308707,4309405,"borrowmoney",1
4308901,4308901,4308802,"borrowmoney",1
4308902,4308902,4308802,"borrowmoney",1
4309001,4309001,4309405,"borrowmoney",1
4309002,4309002,4309405,"borrowmoney",1
4309003,4309003,4314103,"borrowmoney",1
4309102,4309102,4309405,"borrowmoney",1
4309801,4309801,4312201,"borrowmoney",1
4309802,4309802,4310002,"borrowmoney",1
4310001,4310001,4310002,"borrowmoney",1
4310002,4310002,4309802,"borrowmoney",1
4310007,4310007,4309802,"borrowmoney",1
4310008,4310008,4317101,"borrowmoney",1
4310101,4310101,4308801,"borrowmoney",1
4310102,4310102,4305901,"borrowmoney",1
4310301,4310301,4307701,"borrowmoney",1
4310302,4310302,4307702,"borrowmoney",1
4310401,4310401,4307702,"borrowmoney",1
4310602,4310602,4302501,"borrowmoney",1
4310603,4310603,4302503,"borrowmoney",1
4310604,4310604,4307702,"borrowmoney",1
4310607,4310607,4308706,"borrowmoney",1
4310901,4310901,4311101,"borrowmoney",1
4310902,4310902,4306801,"borrowmoney",1
4311201,4311201,4312201,"borrowmoney",1
4311202,4311202,4312202,"borrowmoney",1
4311301,4311301,4311401,"borrowmoney",1
4311302,4311302,4311402,"borrowmoney",1
4311303,4311303,4311601,"borrowmoney",1
4311304,4311304,4300101,"borrowmoney",1
4311401,4311401,4311502,"borrowmoney",1
4311402,4311402,4311502,"borrowmoney",1
4311601,4311601,4314103,"borrowmoney",1
4311602,4311602,4312902,"borrowmoney",1
4311701,4311701,4313201,"borrowmoney",1
4311702,4311702,4313202,"borrowmoney",1
4311704,4311704,4313302,"borrowmoney",1
4311801,4311801,4308201,"borrowmoney",1
4311802,4311802,4312402,"borrowmoney",1
4311901,4311901,4314103,"borrowmoney",1
4311902,4311902,4305702,"borrowmoney",1
4312201,4312201,4312301,"borrowmoney",1
4312202,4312202,4312402,"borrowmoney",1
4312601,4312601,4313301,"borrowmoney",1
4312602,4312602,4313302,"borrowmoney",1
4312901,4312901,4311404,"borrowmoney",1
4313101,4313101,4311706,"borrowmoney",1
4313102,4313102,4314104,"borrowmoney",1
4313104,4313104,4313001,"borrowmoney",1
4313105,4313105,4311404,"borrowmoney",1
4313108,4313108,4311501,"borrowmoney",1
4313109,4313109,4313302,"borrowmoney",1
4313201,4313201,4313701,"borrowmoney",1
4313202,4313202,4311702,"borrowmoney",1
4313501,4313501,4313701,"borrowmoney",1
4313502,4313502,4313102,"borrowmoney",1
4313701,4313701,4313601,"borrowmoney",1
4313702,4313702,4313602,"borrowmoney",1
4314101,4314101,4304101,"borrowmoney",1
4314102,4314102,4314403,"borrowmoney",1
4314103,4314103,4312301,"borrowmoney",1
4314104,4314104,4314402,"borrowmoney",1
4314107,4314107,4301001,"borrowmoney",1
4314108,4314108,4314402,"borrowmoney",1
4314301,4314301,4301603,"borrowmoney",1
4314302,4314302,4314402,"borrowmoney",1
4314401,4314401,4306903,"borrowmoney",1
4314402,4314402,4314104,"borrowmoney",1
4314501,4314501,4312301,"borrowmoney",1
4314502,4314502,4314102,"borrowmoney",1
4314503,4314503,4303401,"borrowmoney",1
4314701,4314701,4311901,"borrowmoney",1
4314702,4314702,4311902,"borrowmoney",1
4315201,4315201,4303001,"borrowmoney",1
4315202,4315202,4315302,"borrowmoney",1
4315301,4315301,4307401,"borrowmoney",1
4315302,4315302,4315202,"borrowmoney",1
4315401,4315401,4315001,"borrowmoney",1
4315402,4315402,4315102,"borrowmoney",1
4315403,4315403,4304903,"borrowmoney",1
4315404,4315404,4316002,"borrowmoney",1
4315501,4315501,4315701,"borrowmoney",1
4315502,4315502,4315702,"borrowmoney",1
