"respondent","i","j","type","weight"
3800101,3800101,3812501,"borrowmoney",1
3800102,3800102,3805401,"borrowmoney",1
3800103,3800103,3812501,"borrowmoney",1
3800104,3800104,3805401,"borrowmoney",1
3800501,3800501,3810302,"borrowmoney",1
3800502,3800502,3810302,"borrowmoney",1
3800601,3800601,3813002,"borrowmoney",1
3800901,3800901,3814801,"borrowmoney",1
3800902,3800902,3800802,"borrowmoney",1
3800903,3800903,3802502,"borrowmoney",1
3800904,3800904,3800802,"borrowmoney",1
3801101,3801101,3801001,"borrowmoney",1
3801301,3801301,3801601,"borrowmoney",1
3801302,3801302,3801402,"borrowmoney",1
3801401,3801401,3809703,"borrowmoney",1
3801402,3801402,3809703,"borrowmoney",1
3801601,3801601,3801701,"borrowmoney",1
3801602,3801602,3801701,"borrowmoney",1
3801701,3801701,3801001,"borrowmoney",1
3801702,3801702,3801601,"borrowmoney",1
3801704,3801704,3801701,"borrowmoney",1
3801901,3801901,3802601,"borrowmoney",1
3801902,3801902,3809402,"borrowmoney",1
3802001,3802001,3808501,"borrowmoney",1
3802002,3802002,3806201,"borrowmoney",1
3802003,3802003,3802001,"borrowmoney",1
3802301,3802301,3806101,"borrowmoney",1
3802302,3802302,3806401,"borrowmoney",1
3802801,3802801,3809703,"borrowmoney",1
3802802,3802802,3802702,"borrowmoney",1
3802902,3802902,3802908,"borrowmoney",1
3802903,3802903,3803701,"borrowmoney",1
3802904,3802904,3803702,"borrowmoney",1
3803002,3803002,3809402,"borrowmoney",1
3803201,3803201,3803103,"borrowmoney",1
3803301,3803301,3803901,"borrowmoney",1
3803302,3803302,3803502,"borrowmoney",1
3803306,3803306,3811802,"borrowmoney",1
3803307,3803307,3803502,"borrowmoney",1
3803501,3803501,3803301,"borrowmoney",1
3803502,3803502,3803307,"borrowmoney",1
3803601,3803601,3803501,"borrowmoney",1
3803602,3803602,3803501,"borrowmoney",1
3803701,3803701,3812801,"borrowmoney",1
3803702,3803702,3814703,"borrowmoney",1
3804001,3804001,3804101,"borrowmoney",1
3804003,3804003,3812802,"borrowmoney",1
3804101,3804101,3809601,"borrowmoney",1
3804102,3804102,3809601,"borrowmoney",1
3804201,3804201,3804401,"borrowmoney",1
3804202,3804202,3804102,"borrowmoney",1
3804203,3804203,3815203,"borrowmoney",1
3804301,3804301,3801001,"borrowmoney",1
3804302,3804302,3802403,"borrowmoney",1
3804304,3804304,3802402,"borrowmoney",1
3804501,3804501,3800501,"borrowmoney",1
