"respondent","i","j","type","weight"
3600101,3600101,3600501,"borrowmoney",1
3600102,3600102,3600502,"borrowmoney",1
3600103,3600103,3611203,"borrowmoney",1
3600104,3600104,3600502,"borrowmoney",1
3600201,3600201,3609701,"borrowmoney",1
3600202,3600202,3600402,"borrowmoney",1
3600204,3600204,3600303,"borrowmoney",1
3600401,3600401,3627401,"borrowmoney",1
3600402,3600402,3627401,"borrowmoney",1
3600602,3600602,3600201,"borrowmoney",1
3600801,3600801,3627401,"borrowmoney",1
3600802,3600802,3600502,"borrowmoney",1
3600806,3600806,3627401,"borrowmoney",1
3600807,3600807,3627401,"borrowmoney",1
3600808,3600808,3627401,"borrowmoney",1
3600809,3600809,3600201,"borrowmoney",1
3600810,3600810,3627401,"borrowmoney",1
3601001,3601001,3600201,"borrowmoney",1
3601002,3601002,3600201,"borrowmoney",1
3601201,3601201,3627701,"borrowmoney",1
3601202,3601202,3600807,"borrowmoney",1
3601401,3601401,3606302,"borrowmoney",1
3601402,3601402,3600201,"borrowmoney",1
3601501,3601501,3600201,"borrowmoney",1
3601502,3601502,3600201,"borrowmoney",1
3602101,3602101,3627401,"borrowmoney",1
3602102,3602102,3601702,"borrowmoney",1
3602201,3602201,3601104,"borrowmoney",1
3602701,3602701,3602601,"borrowmoney",1
3602702,3602702,3627602,"borrowmoney",1
3602703,3602703,3600201,"borrowmoney",1
3602704,3602704,3602802,"borrowmoney",1
3602801,3602801,3602603,"borrowmoney",1
3602802,3602802,3600201,"borrowmoney",1
3603001,3603001,3600201,"borrowmoney",1
3603201,3603201,3626301,"borrowmoney",1
3603202,3603202,3626301,"borrowmoney",1
3603401,3603401,3604201,"borrowmoney",1
3603402,3603402,3604201,"borrowmoney",1
3603601,3603601,3610302,"borrowmoney",1
3603602,3603602,3603402,"borrowmoney",1
3603901,3603901,3605001,"borrowmoney",1
3603902,3603902,3605002,"borrowmoney",1
3604301,3604301,3604201,"borrowmoney",1
3604302,3604302,3604202,"borrowmoney",1
3604501,3604501,3601701,"borrowmoney",1
3604502,3604502,3604302,"borrowmoney",1
3604801,3604801,3607001,"borrowmoney",1
3604802,3604802,3604702,"borrowmoney",1
3605101,3605101,3605001,"borrowmoney",1
3605102,3605102,3604202,"borrowmoney",1
3605103,3605103,3604202,"borrowmoney",1
3605301,3605301,3600201,"borrowmoney",1
3605302,3605302,3602502,"borrowmoney",1
3605303,3605303,3607603,"borrowmoney",1
3605501,3605501,3610302,"borrowmoney",1
3605502,3605502,3610302,"borrowmoney",1
3605701,3605701,3605901,"borrowmoney",1
3605702,3605702,3608002,"borrowmoney",1
3605703,3605703,3605902,"borrowmoney",1
3605901,3605901,3627701,"borrowmoney",1
3605902,3605902,3606002,"borrowmoney",1
3606101,3606101,3601801,"borrowmoney",1
3606102,3606102,3601801,"borrowmoney",1
3606301,3606301,3605901,"borrowmoney",1
3606302,3606302,3606502,"borrowmoney",1
3606401,3606401,3611401,"borrowmoney",1
3606402,3606402,3606501,"borrowmoney",1
3606501,3606501,3606001,"borrowmoney",1
3606502,3606502,3606402,"borrowmoney",1
3606601,3606601,3607001,"borrowmoney",1
3606602,3606602,3603305,"borrowmoney",1
3606801,3606801,3611401,"borrowmoney",1
3606802,3606802,3607702,"borrowmoney",1
3607001,3607001,3607801,"borrowmoney",1
3607002,3607002,3607103,"borrowmoney",1
3607301,3607301,3600201,"borrowmoney",1
3607601,3607601,3607701,"borrowmoney",1
3607602,3607602,3624901,"borrowmoney",1
3607603,3607603,3607702,"borrowmoney",1
3607701,3607701,3607601,"borrowmoney",1
3607702,3607702,3607602,"borrowmoney",1
3607801,3607801,3607701,"borrowmoney",1
3607802,3607802,3607702,"borrowmoney",1
3607803,3607803,3607602,"borrowmoney",1
3607901,3607901,3607702,"borrowmoney",1
3608001,3608001,3608701,"borrowmoney",1
3608002,3608002,3608102,"borrowmoney",1
3608101,3608101,3608001,"borrowmoney",1
3608102,3608102,3608002,"borrowmoney",1
3608201,3608201,3608701,"borrowmoney",1
3608202,3608202,3608602,"borrowmoney",1
3608501,3608501,3607701,"borrowmoney",1
3608502,3608502,3608702,"borrowmoney",1
3608601,3608601,3607701,"borrowmoney",1
3608602,3608602,3608702,"borrowmoney",1
3608701,3608701,3628901,"borrowmoney",1
3608702,3608702,3607702,"borrowmoney",1
3608703,3608703,3600201,"borrowmoney",1
3608704,3608704,3608602,"borrowmoney",1
3609101,3609101,3610201,"borrowmoney",1
3609102,3609102,3608102,"borrowmoney",1
3609501,3609501,3609601,"borrowmoney",1
3609502,3609502,3609701,"borrowmoney",1
3609601,3609601,3609402,"borrowmoney",1
3609602,3609602,3609702,"borrowmoney",1
3609801,3609801,3600703,"borrowmoney",1
3609802,3609802,3610401,"borrowmoney",1
3610201,3610201,3608601,"borrowmoney",1
3610202,3610202,3600202,"borrowmoney",1
3610601,3610601,3600201,"borrowmoney",1
3610602,3610602,3610902,"borrowmoney",1
3610603,3610603,3609602,"borrowmoney",1
3610901,3610901,3600201,"borrowmoney",1
3610902,3610902,3611302,"borrowmoney",1
3611001,3611001,3600201,"borrowmoney",1
3611002,3611002,3608001,"borrowmoney",1
3611501,3611501,3608001,"borrowmoney",1
3611502,3611502,3611402,"borrowmoney",1
3611801,3611801,3611301,"borrowmoney",1
3611802,3611802,3611402,"borrowmoney",1
3611901,3611901,3605901,"borrowmoney",1
3611902,3611902,3611802,"borrowmoney",1
3612901,3612901,3614302,"borrowmoney",1
3612902,3612902,3612801,"borrowmoney",1
3613001,3613001,3614001,"borrowmoney",1
3613002,3613002,3614002,"borrowmoney",1
3613201,3613201,3615601,"borrowmoney",1
3613202,3613202,3614001,"borrowmoney",1
3613401,3613401,3613802,"borrowmoney",1
3613402,3613402,3613802,"borrowmoney",1
3613701,3613701,3614101,"borrowmoney",1
3613702,3613702,3613002,"borrowmoney",1
3613901,3613901,3613401,"borrowmoney",1
3613902,3613902,3614902,"borrowmoney",1
3614001,3614001,3615101,"borrowmoney",1
3614002,3614002,3613902,"borrowmoney",1
3614101,3614101,3600201,"borrowmoney",1
3614201,3614201,3613901,"borrowmoney",1
3614202,3614202,3613701,"borrowmoney",1
3614301,3614301,3614002,"borrowmoney",1
3614302,3614302,3614002,"borrowmoney",1
3614401,3614401,3614002,"borrowmoney",1
3614601,3614601,3609701,"borrowmoney",1
3614602,3614602,3614902,"borrowmoney",1
3614901,3614901,3614001,"borrowmoney",1
3614902,3614902,3613902,"borrowmoney",1
3615101,3615101,3614301,"borrowmoney",1
3615102,3615102,3614602,"borrowmoney",1
3615201,3615201,3600201,"borrowmoney",1
3615202,3615202,3614002,"borrowmoney",1
3615401,3615401,3613001,"borrowmoney",1
3615402,3615402,3613702,"borrowmoney",1
3615501,3615501,3614001,"borrowmoney",1
3615502,3615502,3614002,"borrowmoney",1
3615601,3615601,3611203,"borrowmoney",1
3615602,3615602,3611203,"borrowmoney",1
3616301,3616301,3616701,"borrowmoney",1
