"respondent","i","j","type","weight"
1000101,1000101,1000201,"borrowmoney",1
1000102,1000102,1000402,"borrowmoney",1
1000103,1000103,1002003,"borrowmoney",1
1000104,1000104,1002004,"borrowmoney",1
1000301,1000301,1000601,"borrowmoney",1
1000302,1000302,1000402,"borrowmoney",1
1000304,1000304,1000402,"borrowmoney",1
1000601,1000601,1001201,"borrowmoney",1
1000602,1000602,1001202,"borrowmoney",1
1000603,1000603,1000902,"borrowmoney",1
1000604,1000604,1007501,"borrowmoney",1
1000605,1000605,1002307,"borrowmoney",1
1000701,1000701,1000901,"borrowmoney",1
1000702,1000702,1000902,"borrowmoney",1
1000901,1000901,1000701,"borrowmoney",1
1000902,1000902,1000702,"borrowmoney",1
1001601,1001601,1006803,"borrowmoney",1
1001602,1001602,1000902,"borrowmoney",1
1001604,1001604,1006804,"borrowmoney",1
1001701,1001701,1006803,"borrowmoney",1
1001702,1001702,1006803,"borrowmoney",1
1001703,1001703,1001701,"borrowmoney",1
1001901,1001901,1001201,"borrowmoney",1
1002001,1002001,1001401,"borrowmoney",1
1002002,1002002,1001401,"borrowmoney",1
1002003,1002003,1001203,"borrowmoney",1
1002004,1002004,1002101,"borrowmoney",1
1002007,1002007,1003501,"borrowmoney",1
1002008,1002008,1002101,"borrowmoney",1
1002101,1002101,1002002,"borrowmoney",1
1002901,1002901,1003102,"borrowmoney",1
1002902,1002902,1003101,"borrowmoney",1
1002903,1002903,1003101,"borrowmoney",1
1002904,1002904,1003102,"borrowmoney",1
1003001,1003001,1005301,"borrowmoney",1
1003002,1003002,1005301,"borrowmoney",1
1003003,1003003,1005702,"borrowmoney",1
1003101,1003101,1003301,"borrowmoney",1
1003102,1003102,1003202,"borrowmoney",1
1003301,1003301,1000301,"borrowmoney",1
1003302,1003302,1003102,"borrowmoney",1
1003303,1003303,1003102,"borrowmoney",1
1003501,1003501,1003701,"borrowmoney",1
1003502,1003502,1003702,"borrowmoney",1
1003503,1003503,1001703,"borrowmoney",1
1003601,1003601,1004401,"borrowmoney",1
1003602,1003602,1004202,"borrowmoney",1
1003702,1003702,1003602,"borrowmoney",1
1004001,1004001,1001901,"borrowmoney",1
1004002,1004002,1001901,"borrowmoney",1
1004301,1004301,1006501,"borrowmoney",1
1004302,1004302,1004401,"borrowmoney",1
1004401,1004401,1007101,"borrowmoney",1
1004402,1004402,1001002,"borrowmoney",1
1004403,1004403,1004401,"borrowmoney",1
1004404,1004404,1003502,"borrowmoney",1
1004801,1004801,1003602,"borrowmoney",1
1004802,1004802,1004902,"borrowmoney",1
1004805,1004805,1006201,"borrowmoney",1
1005001,1005001,1002501,"borrowmoney",1
1005002,1005002,1005302,"borrowmoney",1
1005202,1005202,1002101,"borrowmoney",1
1005203,1005203,1007601,"borrowmoney",1
1005701,1005701,1001401,"borrowmoney",1
1005702,1005702,1002508,"borrowmoney",1
1005902,1005902,1002508,"borrowmoney",1
1006101,1006101,1001401,"borrowmoney",1
1006102,1006102,1004907,"borrowmoney",1
1006103,1006103,1006201,"borrowmoney",1
1006104,1006104,1004906,"borrowmoney",1
1006301,1006301,1006901,"borrowmoney",1
1006302,1006302,1006201,"borrowmoney",1
1006303,1006303,1000303,"borrowmoney",1
1006501,1006501,1006201,"borrowmoney",1
1006602,1006602,1006702,"borrowmoney",1
1006801,1006801,1001701,"borrowmoney",1
1006802,1006802,1006803,"borrowmoney",1
1006803,1006803,1006901,"borrowmoney",1
1006804,1006804,1006902,"borrowmoney",1
1007001,1007001,1006801,"borrowmoney",1
1007002,1007002,1006602,"borrowmoney",1
1007402,1007402,1007502,"borrowmoney",1
1000101,1000101,1003101,"borrowmoney",1
1000102,1000102,1000702,"borrowmoney",1
1000103,1000103,1002007,"borrowmoney",1
1000104,1000104,1000302,"borrowmoney",1
1000301,1000301,1000701,"borrowmoney",1
1000302,1000302,1000702,"borrowmoney",1
1000304,1000304,1001502,"borrowmoney",1
1000601,1000601,1007501,"borrowmoney",1
1000602,1000602,1007502,"borrowmoney",1
1000603,1000603,1001802,"borrowmoney",1
1000604,1000604,1002402,"borrowmoney",1
1000605,1000605,1000702,"borrowmoney",1
1001604,1001604,1001401,"borrowmoney",1
1001901,1001901,1006201,"borrowmoney",1
1002001,1002001,1003101,"borrowmoney",1
1002004,1002004,1000703,"borrowmoney",1
1002007,1002007,1003901,"borrowmoney",1
1002008,1002008,1000402,"borrowmoney",1
1002101,1002101,1005202,"borrowmoney",1
1003102,1003102,1005302,"borrowmoney",1
1003301,1003301,1003101,"borrowmoney",1
1003302,1003302,1005104,"borrowmoney",1
1003303,1003303,1005104,"borrowmoney",1
1003502,1003502,1004602,"borrowmoney",1
1003602,1003602,1004802,"borrowmoney",1
1004001,1004001,1001401,"borrowmoney",1
1004002,1004002,1004401,"borrowmoney",1
1004401,1004401,1000301,"borrowmoney",1
1004402,1004402,1004404,"borrowmoney",1
1004403,1004403,1004402,"borrowmoney",1
1004404,1004404,1004602,"borrowmoney",1
1004801,1004801,1004902,"borrowmoney",1
1005001,1005001,1001401,"borrowmoney",1
1005002,1005002,1003202,"borrowmoney",1
1005103,1005103,1007401,"borrowmoney",1
1005203,1005203,1005801,"borrowmoney",1
1005701,1005701,1002507,"borrowmoney",1
1005702,1005702,1002504,"borrowmoney",1
1005801,1005801,1005902,"borrowmoney",1
1005802,1005802,1005902,"borrowmoney",1
1005902,1005902,1002504,"borrowmoney",1
1006101,1006101,1004906,"borrowmoney",1
1006102,1006102,1006202,"borrowmoney",1
1006103,1006103,1004908,"borrowmoney",1
1006104,1006104,1006301,"borrowmoney",1
1006301,1006301,1005801,"borrowmoney",1
1006303,1006303,1002503,"borrowmoney",1
1006501,1006501,1004906,"borrowmoney",1
1006601,1006601,1005601,"borrowmoney",1
1006602,1006602,1002502,"borrowmoney",1
1006803,1006803,1002306,"borrowmoney",1
1007002,1007002,1005702,"borrowmoney",1
1007401,1007401,1005103,"borrowmoney",1
1000304,1000304,1000205,"borrowmoney",1
1001604,1001604,1001502,"borrowmoney",1
1003602,1003602,1002802,"borrowmoney",1
1004001,1004001,1002401,"borrowmoney",1
1004002,1004002,1006801,"borrowmoney",1
1004801,1004801,1004702,"borrowmoney",1
1005103,1005103,1003301,"borrowmoney",1
1005701,1005701,1002503,"borrowmoney",1
1005702,1005702,1006902,"borrowmoney",1
1005801,1005801,1006002,"borrowmoney",1
1005802,1005802,1005502,"borrowmoney",1
1005901,1005901,1002503,"borrowmoney",1
1005902,1005902,1005802,"borrowmoney",1
1006101,1006101,1003401,"borrowmoney",1
1006103,1006103,1004906,"borrowmoney",1
1006104,1006104,1006303,"borrowmoney",1
1006501,1006501,1006803,"borrowmoney",1
1006601,1006601,1000203,"borrowmoney",1
1006803,1006803,1006501,"borrowmoney",1
1007002,1007002,1003302,"borrowmoney",1
1007401,1007401,1002801,"borrowmoney",1
1000304,1000304,1001201,"borrowmoney",1
1001604,1001604,1003503,"borrowmoney",1
1003602,1003602,1003202,"borrowmoney",1
1005702,1005702,1005802,"borrowmoney",1
1005901,1005901,1002507,"borrowmoney",1
1005902,1005902,1007502,"borrowmoney",1
1006102,1006102,1004702,"borrowmoney",1
1006103,1006103,1006803,"borrowmoney",1
1006104,1006104,1004902,"borrowmoney",1
1006803,1006803,1004401,"borrowmoney",1
1007401,1007401,1007701,"borrowmoney",1
1000101,1000201,1000101,"receivemoney",1
1000102,1000402,1000102,"receivemoney",1
1000103,1002003,1000103,"receivemoney",1
1000104,1000302,1000104,"receivemoney",1
1000301,1000601,1000301,"receivemoney",1
1000302,1000402,1000302,"receivemoney",1
1000304,1000204,1000304,"receivemoney",1
1000601,1001201,1000601,"receivemoney",1
1000602,1001202,1000602,"receivemoney",1
1000603,1000902,1000603,"receivemoney",1
1000604,1007501,1000604,"receivemoney",1
1000605,1002307,1000605,"receivemoney",1
1000701,1000902,1000701,"receivemoney",1
1000702,1000901,1000702,"receivemoney",1
1000901,1000801,1000901,"receivemoney",1
1000902,1000702,1000902,"receivemoney",1
1001601,1001401,1001601,"receivemoney",1
1001602,1002302,1001602,"receivemoney",1
1001604,1003503,1001604,"receivemoney",1
1001701,1006801,1001701,"receivemoney",1
1001702,1001502,1001702,"receivemoney",1
1001901,1001201,1001901,"receivemoney",1
1002001,1000701,1002001,"receivemoney",1
1002002,1006801,1002002,"receivemoney",1
1002003,1001501,1002003,"receivemoney",1
1002004,1000703,1002004,"receivemoney",1
1002007,1003901,1002007,"receivemoney",1
1002008,1002101,1002008,"receivemoney",1
1002101,1002002,1002101,"receivemoney",1
1002901,1005502,1002901,"receivemoney",1
1002902,1002801,1002902,"receivemoney",1
1002903,1002802,1002903,"receivemoney",1
1002904,1005502,1002904,"receivemoney",1
1003001,1005301,1003001,"receivemoney",1
1003002,1005301,1003002,"receivemoney",1
1003003,1005702,1003003,"receivemoney",1
1003101,1003701,1003101,"receivemoney",1
1003102,1002003,1003102,"receivemoney",1
1003301,1006201,1003301,"receivemoney",1
1003302,1003102,1003302,"receivemoney",1
1003303,1005104,1003303,"receivemoney",1
1003501,1003701,1003501,"receivemoney",1
1003502,1003702,1003502,"receivemoney",1
1003503,1001703,1003503,"receivemoney",1
1003602,1004202,1003602,"receivemoney",1
1003702,1003602,1003702,"receivemoney",1
1004001,1001302,1004001,"receivemoney",1
1004402,1004403,1004402,"receivemoney",1
1004403,1001303,1004403,"receivemoney",1
1004801,1003602,1004801,"receivemoney",1
1004802,1004902,1004802,"receivemoney",1
1005002,1003202,1005002,"receivemoney",1
1005102,1003202,1005102,"receivemoney",1
1005103,1003301,1005103,"receivemoney",1
1005202,1003701,1005202,"receivemoney",1
1005203,1006003,1005203,"receivemoney",1
1005701,1002503,1005701,"receivemoney",1
1005702,1002508,1005702,"receivemoney",1
1005801,1005902,1005801,"receivemoney",1
1005802,1005902,1005802,"receivemoney",1
1005901,1002503,1005901,"receivemoney",1
1005902,1002507,1005902,"receivemoney",1
1006101,1004902,1006101,"receivemoney",1
1006102,1004902,1006102,"receivemoney",1
1006103,1005901,1006103,"receivemoney",1
1006104,1004906,1006104,"receivemoney",1
1006301,1006901,1006301,"receivemoney",1
1006302,1006201,1006302,"receivemoney",1
1006303,1000303,1006303,"receivemoney",1
1006401,1006301,1006401,"receivemoney",1
1006501,1006201,1006501,"receivemoney",1
1006502,1004801,1006502,"receivemoney",1
1006601,1005601,1006601,"receivemoney",1
1006801,1006501,1006801,"receivemoney",1
1006802,1001602,1006802,"receivemoney",1
1006803,1004907,1006803,"receivemoney",1
1006804,1006901,1006804,"receivemoney",1
1007001,1006803,1007001,"receivemoney",1
1007401,1007501,1007401,"receivemoney",1
1007402,1002802,1007402,"receivemoney",1
1000101,1003101,1000101,"receivemoney",1
1000102,1000702,1000102,"receivemoney",1
1000103,1002007,1000103,"receivemoney",1
1000104,1002004,1000104,"receivemoney",1
1000301,1000701,1000301,"receivemoney",1
1000302,1000702,1000302,"receivemoney",1
1000304,1001502,1000304,"receivemoney",1
1000601,1007501,1000601,"receivemoney",1
1000602,1007502,1000602,"receivemoney",1
1000603,1001802,1000603,"receivemoney",1
1000604,1002402,1000604,"receivemoney",1
1000605,1000702,1000605,"receivemoney",1
1001604,1004604,1001604,"receivemoney",1
1001702,1006804,1001702,"receivemoney",1
1001901,1006201,1001901,"receivemoney",1
1002001,1001401,1002001,"receivemoney",1
1002003,1001203,1002003,"receivemoney",1
1002007,1002306,1002007,"receivemoney",1
1002008,1002307,1002008,"receivemoney",1
1002101,1005202,1002101,"receivemoney",1
1002903,1005502,1002903,"receivemoney",1
1003101,1003301,1003101,"receivemoney",1
1003102,1003302,1003102,"receivemoney",1
1003301,1003101,1003301,"receivemoney",1
1003302,1003502,1003302,"receivemoney",1
1003502,1004602,1003502,"receivemoney",1
1003602,1002802,1003602,"receivemoney",1
1004001,1004401,1004001,"receivemoney",1
1004402,1004404,1004402,"receivemoney",1
1004403,1001501,1004403,"receivemoney",1
1004801,1004902,1004801,"receivemoney",1
1004802,1006201,1004802,"receivemoney",1
1005002,1004202,1005002,"receivemoney",1
1005103,1005401,1005103,"receivemoney",1
1005202,1002101,1005202,"receivemoney",1
1005701,1005801,1005701,"receivemoney",1
1005702,1005902,1005702,"receivemoney",1
1005801,1005502,1005801,"receivemoney",1
1005802,1005502,1005802,"receivemoney",1
1005901,1002507,1005901,"receivemoney",1
1005902,1002504,1005902,"receivemoney",1
1006101,1003402,1006101,"receivemoney",1
