"respondent","i","j","type","weight"
1800101,1800101,1810201,"borrowmoney",1
1800102,1800102,1802403,"borrowmoney",1
1800103,1800103,1810202,"borrowmoney",1
1800401,1800401,1822401,"borrowmoney",1
1800402,1800402,1800302,"borrowmoney",1
1800701,1800701,1807708,"borrowmoney",1
1800702,1800702,1806708,"borrowmoney",1
1800901,1800901,1808303,"borrowmoney",1
1800902,1800902,1808402,"borrowmoney",1
1801001,1801001,1804007,"borrowmoney",1
1801101,1801101,1801004,"borrowmoney",1
1801102,1801102,1801104,"borrowmoney",1
1801103,1801103,1810001,"borrowmoney",1
1801104,1801104,1810002,"borrowmoney",1
1801105,1801105,1801103,"borrowmoney",1
1801110,1801110,1810001,"borrowmoney",1
1801111,1801111,1808604,"borrowmoney",1
1801201,1801201,1816403,"borrowmoney",1
1801202,1801202,1801302,"borrowmoney",1
1801203,1801203,1807605,"borrowmoney",1
1801301,1801301,1804007,"borrowmoney",1
1801302,1801302,1801202,"borrowmoney",1
1801501,1801501,1810001,"borrowmoney",1
1801502,1801502,1810002,"borrowmoney",1
1801701,1801701,1811201,"borrowmoney",1
1801702,1801702,1801701,"borrowmoney",1
1801703,1801703,1811202,"borrowmoney",1
1801704,1801704,1801601,"borrowmoney",1
1801705,1801705,1811202,"borrowmoney",1
1802001,1802001,1805403,"borrowmoney",1
1802002,1802002,1805404,"borrowmoney",1
1802401,1802401,1804007,"borrowmoney",1
1802402,1802402,1801103,"borrowmoney",1
1802701,1802701,1803203,"borrowmoney",1
1802702,1802702,1802701,"borrowmoney",1
1802901,1802901,1802601,"borrowmoney",1
1802902,1802902,1802801,"borrowmoney",1
1802903,1802903,1807708,"borrowmoney",1
1803001,1803001,1815901,"borrowmoney",1
1803002,1803002,1802702,"borrowmoney",1
1803101,1803101,1800803,"borrowmoney",1
1803301,1803301,1809501,"borrowmoney",1
1803304,1803304,1802902,"borrowmoney",1
1803901,1803901,1803701,"borrowmoney",1
1803902,1803902,1803702,"borrowmoney",1
1804101,1804101,1803201,"borrowmoney",1
1804102,1804102,1804202,"borrowmoney",1
1804301,1804301,1804007,"borrowmoney",1
1804302,1804302,1804008,"borrowmoney",1
1804306,1804306,1820601,"borrowmoney",1
1804401,1804401,1804301,"borrowmoney",1
1804402,1804402,1804505,"borrowmoney",1
1804501,1804501,1808101,"borrowmoney",1
1804502,1804502,1805301,"borrowmoney",1
1804503,1804503,1804103,"borrowmoney",1
1804505,1804505,1801201,"borrowmoney",1
1804901,1804901,1810001,"borrowmoney",1
1804902,1804902,1805302,"borrowmoney",1
1804904,1804904,1804901,"borrowmoney",1
1804905,1804905,1804901,"borrowmoney",1
1804908,1804908,1804901,"borrowmoney",1
1804909,1804909,1805302,"borrowmoney",1
1805002,1805002,1811702,"borrowmoney",1
1805501,1805501,1811101,"borrowmoney",1
1805502,1805502,1805404,"borrowmoney",1
1805601,1805601,1805901,"borrowmoney",1
1805602,1805602,1804804,"borrowmoney",1
1805801,1805801,1809201,"borrowmoney",1
1805802,1805802,1809202,"borrowmoney",1
1805805,1805805,1809201,"borrowmoney",1
1805806,1805806,1809202,"borrowmoney",1
1805901,1805901,1805601,"borrowmoney",1
1805902,1805902,1806001,"borrowmoney",1
1806001,1806001,1801501,"borrowmoney",1
1806002,1806002,1805902,"borrowmoney",1
1806004,1806004,1801502,"borrowmoney",1
1806101,1806101,1800901,"borrowmoney",1
1806102,1806102,1808702,"borrowmoney",1
1806201,1806201,1811101,"borrowmoney",1
1806202,1806202,1808604,"borrowmoney",1
1806403,1806403,1808201,"borrowmoney",1
1806407,1806407,1810202,"borrowmoney",1
1806410,1806410,1806601,"borrowmoney",1
1806413,1806413,1808101,"borrowmoney",1
1806601,1806601,1806407,"borrowmoney",1
1806602,1806602,1807702,"borrowmoney",1
1806603,1806603,1806401,"borrowmoney",1
1806604,1806604,1806501,"borrowmoney",1
1806801,1806801,1806707,"borrowmoney",1
1807101,1807101,1823203,"borrowmoney",1
1807102,1807102,1804007,"borrowmoney",1
1807201,1807201,1804007,"borrowmoney",1
1807202,1807202,1812901,"borrowmoney",1
1807401,1807401,1819301,"borrowmoney",1
1807402,1807402,1807605,"borrowmoney",1
1807601,1807601,1801201,"borrowmoney",1
1807602,1807602,1806413,"borrowmoney",1
1807701,1807701,1820303,"borrowmoney",1
1807702,1807702,1812102,"borrowmoney",1
1807706,1807706,1823002,"borrowmoney",1
1807901,1807901,1807804,"borrowmoney",1
1807906,1807906,1813701,"borrowmoney",1
1807907,1807907,1807706,"borrowmoney",1
1808001,1808001,1810201,"borrowmoney",1
1808002,1808002,1810302,"borrowmoney",1
1808501,1808501,1808609,"borrowmoney",1
1808502,1808502,1808609,"borrowmoney",1
1808503,1808503,1808604,"borrowmoney",1
1808601,1808601,1808501,"borrowmoney",1
1808602,1808602,1808501,"borrowmoney",1
1808603,1808603,1808501,"borrowmoney",1
1808604,1808604,1808501,"borrowmoney",1
1808901,1808901,1808609,"borrowmoney",1
1808902,1808902,1803801,"borrowmoney",1
1808903,1808903,1822303,"borrowmoney",1
1808904,1808904,1808802,"borrowmoney",1
1809001,1809001,1804007,"borrowmoney",1
1809002,1809002,1809202,"borrowmoney",1
1809003,1809003,1808802,"borrowmoney",1
1809101,1809101,1803903,"borrowmoney",1
1809102,1809102,1809502,"borrowmoney",1
1809104,1809104,1806201,"borrowmoney",1
1809105,1809105,1805809,"borrowmoney",1
1809401,1809401,1804901,"borrowmoney",1
1809402,1809402,1813105,"borrowmoney",1
1809404,1809404,1809102,"borrowmoney",1
1809405,1809405,1809003,"borrowmoney",1
1809406,1809406,1809001,"borrowmoney",1
1809407,1809407,1804104,"borrowmoney",1
1809801,1809801,1801001,"borrowmoney",1
1809802,1809802,1801001,"borrowmoney",1
1809805,1809805,1808903,"borrowmoney",1
1809806,1809806,1808802,"borrowmoney",1
1810001,1810001,1804901,"borrowmoney",1
1810501,1810501,1810003,"borrowmoney",1
1810502,1810502,1812102,"borrowmoney",1
1810505,1810505,1802501,"borrowmoney",1
1810506,1810506,1805101,"borrowmoney",1
1810701,1810701,1821103,"borrowmoney",1
1810702,1810702,1810607,"borrowmoney",1
1810801,1810801,1804007,"borrowmoney",1
1810802,1810802,1812102,"borrowmoney",1
1810901,1810901,1809701,"borrowmoney",1
1810902,1810902,1809701,"borrowmoney",1
1811101,1811101,1805501,"borrowmoney",1
1811102,1811102,1805502,"borrowmoney",1
1811401,1811401,1811701,"borrowmoney",1
1811402,1811402,1811401,"borrowmoney",1
1811403,1811403,1822603,"borrowmoney",1
1811404,1811404,1811702,"borrowmoney",1
1811701,1811701,1804007,"borrowmoney",1
1811702,1811702,1806708,"borrowmoney",1
1811703,1811703,1805002,"borrowmoney",1
1811801,1811801,1809807,"borrowmoney",1
1811802,1811802,1811002,"borrowmoney",1
1811902,1811902,1809702,"borrowmoney",1
1812101,1812101,1804007,"borrowmoney",1
1812102,1812102,1803102,"borrowmoney",1
1812301,1812301,1804007,"borrowmoney",1
1812302,1812302,1812304,"borrowmoney",1
1812304,1812304,1804007,"borrowmoney",1
1812305,1812305,1812305,"borrowmoney",1
1812501,1812501,1812602,"borrowmoney",1
1812502,1812502,1812602,"borrowmoney",1
1812701,1812701,1804007,"borrowmoney",1
1812702,1812702,1804007,"borrowmoney",1
1812703,1812703,1804007,"borrowmoney",1
1812901,1812901,1804007,"borrowmoney",1
1812902,1812902,1804008,"borrowmoney",1
1813201,1813201,1813208,"borrowmoney",1
1813202,1813202,1813204,"borrowmoney",1
