"respondent","i","j","type","weight"
7100201,7100201,7115801,"borrowmoney",1
7100202,7100202,7118002,"borrowmoney",1
7100301,7100301,7126601,"borrowmoney",1
7100302,7100302,7126602,"borrowmoney",1
7100303,7100303,7126103,"borrowmoney",1
7100501,7100501,7104101,"borrowmoney",1
7100502,7100502,7100802,"borrowmoney",1
7100503,7100503,7100801,"borrowmoney",1
7100504,7100504,7100802,"borrowmoney",1
7100901,7100901,7103101,"borrowmoney",1
7100902,7100902,7118802,"borrowmoney",1
7101001,7101001,7101601,"borrowmoney",1
7101002,7101002,7101602,"borrowmoney",1
7101003,7101003,7101105,"borrowmoney",1
7101004,7101004,7128702,"borrowmoney",1
7101401,7101401,7114401,"borrowmoney",1
7101402,7101402,7101302,"borrowmoney",1
7101501,7101501,7101401,"borrowmoney",1
7101502,7101502,7101402,"borrowmoney",1
7101601,7101601,7126410,"borrowmoney",1
7101602,7101602,7101402,"borrowmoney",1
7101701,7101701,7115101,"borrowmoney",1
7101702,7101702,7103902,"borrowmoney",1
7101901,7101901,7117701,"borrowmoney",1
7101902,7101902,7117702,"borrowmoney",1
7102001,7102001,7101601,"borrowmoney",1
7102002,7102002,7101902,"borrowmoney",1
7102301,7102301,7107201,"borrowmoney",1
7102302,7102302,7127102,"borrowmoney",1
7102401,7102401,7104101,"borrowmoney",1
7102402,7102402,7104101,"borrowmoney",1
7102403,7102403,7101302,"borrowmoney",1
7102901,7102901,7117501,"borrowmoney",1
7102902,7102902,7129002,"borrowmoney",1
7103001,7103001,7115001,"borrowmoney",1
7103002,7103002,7115002,"borrowmoney",1
7103101,7103101,7109703,"borrowmoney",1
7103102,7103102,7112101,"borrowmoney",1
7103201,7103201,7126501,"borrowmoney",1
7103202,7103202,7102902,"borrowmoney",1
7103401,7103401,7108501,"borrowmoney",1
7103402,7103402,7108502,"borrowmoney",1
7103501,7103501,7123401,"borrowmoney",1
7103502,7103502,7103802,"borrowmoney",1
7103701,7103701,7114403,"borrowmoney",1
7103702,7103702,7103502,"borrowmoney",1
7103901,7103901,7127201,"borrowmoney",1
7103902,7103902,7117404,"borrowmoney",1
7104201,7104201,7100802,"borrowmoney",1
7104203,7104203,7104301,"borrowmoney",1
7104301,7104301,7107001,"borrowmoney",1
7104501,7104501,7105002,"borrowmoney",1
7104901,7104901,7109601,"borrowmoney",1
7104902,7104902,7123301,"borrowmoney",1
7104905,7104905,7107303,"borrowmoney",1
7105101,7105101,7107805,"borrowmoney",1
7105102,7105102,7105502,"borrowmoney",1
7105201,7105201,7109103,"borrowmoney",1
7105301,7105301,7108301,"borrowmoney",1
7105302,7105302,7108902,"borrowmoney",1
7105304,7105304,7108002,"borrowmoney",1
7105501,7105501,7106001,"borrowmoney",1
7105502,7105502,7105803,"borrowmoney",1
7105601,7105601,7105201,"borrowmoney",1
7105602,7105602,7108102,"borrowmoney",1
7105701,7105701,7105601,"borrowmoney",1
7105702,7105702,7105602,"borrowmoney",1
7105901,7105901,7105105,"borrowmoney",1
7105902,7105902,7109006,"borrowmoney",1
7106501,7106501,7103501,"borrowmoney",1
7106502,7106502,7105105,"borrowmoney",1
7107001,7107001,7123301,"borrowmoney",1
7107002,7107002,7104102,"borrowmoney",1
7107201,7107201,7107001,"borrowmoney",1
7107202,7107202,7107302,"borrowmoney",1
7107301,7107301,7106801,"borrowmoney",1
7107302,7107302,7104802,"borrowmoney",1
7107303,7107303,7104202,"borrowmoney",1
7107601,7107601,7116001,"borrowmoney",1
7107602,7107602,7107502,"borrowmoney",1
7107701,7107701,7105101,"borrowmoney",1
7108101,7108101,7106301,"borrowmoney",1
7108301,7108301,7109007,"borrowmoney",1
7108302,7108302,7108902,"borrowmoney",1
7108303,7108303,7109007,"borrowmoney",1
7108304,7108304,7108902,"borrowmoney",1
7108401,7108401,7106301,"borrowmoney",1
7108402,7108402,7106302,"borrowmoney",1
7108407,7108407,7129502,"borrowmoney",1
7108501,7108501,7107001,"borrowmoney",1
7108502,7108502,7106703,"borrowmoney",1
7108901,7108901,7109001,"borrowmoney",1
7108902,7108902,7105106,"borrowmoney",1
7109001,7109001,7108901,"borrowmoney",1
7109002,7109002,7108902,"borrowmoney",1
7109006,7109006,7107602,"borrowmoney",1
7109007,7109007,7108901,"borrowmoney",1
7109008,7109008,7106502,"borrowmoney",1
7109201,7109201,7108702,"borrowmoney",1
7109203,7109203,7108702,"borrowmoney",1
7109301,7109301,7112601,"borrowmoney",1
7109302,7109302,7123401,"borrowmoney",1
7109401,7109401,7112301,"borrowmoney",1
7109402,7109402,7123302,"borrowmoney",1
7109406,7109406,7109702,"borrowmoney",1
7109701,7109701,7110701,"borrowmoney",1
7109702,7109702,7102402,"borrowmoney",1
7109802,7109802,7114402,"borrowmoney",1
7109803,7109803,7111503,"borrowmoney",1
7110001,7110001,7114401,"borrowmoney",1
7110002,7110002,7114502,"borrowmoney",1
7110003,7110003,7109702,"borrowmoney",1
7110101,7110101,7109701,"borrowmoney",1
7110102,7110102,7109702,"borrowmoney",1
7110301,7110301,7110206,"borrowmoney",1
7110302,7110302,7110207,"borrowmoney",1
7110701,7110701,7112601,"borrowmoney",1
7110702,7110702,7114302,"borrowmoney",1
7110805,7110805,7112101,"borrowmoney",1
7110808,7110808,7113103,"borrowmoney",1
7110809,7110809,7111802,"borrowmoney",1
7110812,7110812,7113702,"borrowmoney",1
7111001,7111001,7111801,"borrowmoney",1
7111002,7111002,7111102,"borrowmoney",1
7111101,7111101,7113701,"borrowmoney",1
7111102,7111102,7113702,"borrowmoney",1
