"respondent","i","j","type","weight"
700101,700101,700201,"borrowmoney",1
700102,700102,700304,"borrowmoney",1
700201,700201,700101,"borrowmoney",1
700202,700202,700303,"borrowmoney",1
700204,700204,713104,"borrowmoney",1
700301,700301,709801,"borrowmoney",1
700302,700302,700303,"borrowmoney",1
700303,700303,709803,"borrowmoney",1
700304,700304,700202,"borrowmoney",1
700401,700401,713102,"borrowmoney",1
700402,700402,711404,"borrowmoney",1
700601,700601,700401,"borrowmoney",1
700602,700602,700402,"borrowmoney",1
700801,700801,706801,"borrowmoney",1
700802,700802,711601,"borrowmoney",1
701201,701201,707101,"borrowmoney",1
701202,701202,707101,"borrowmoney",1
701301,701301,704201,"borrowmoney",1
701302,701302,701701,"borrowmoney",1
701601,701601,712501,"borrowmoney",1
701602,701602,712501,"borrowmoney",1
701603,701603,712501,"borrowmoney",1
701604,701604,711502,"borrowmoney",1
701901,701901,703803,"borrowmoney",1
702101,702101,706601,"borrowmoney",1
702102,702102,702302,"borrowmoney",1
702201,702201,709604,"borrowmoney",1
702204,702204,703306,"borrowmoney",1
702601,702601,704201,"borrowmoney",1
702603,702603,703306,"borrowmoney",1
702801,702801,702901,"borrowmoney",1
703301,703301,703302,"borrowmoney",1
703303,703303,705902,"borrowmoney",1
703305,703305,702501,"borrowmoney",1
703309,703309,709604,"borrowmoney",1
703310,703310,705902,"borrowmoney",1
703401,703401,709604,"borrowmoney",1
703402,703402,709001,"borrowmoney",1
703501,703501,713801,"borrowmoney",1
703502,703502,713802,"borrowmoney",1
703601,703601,704001,"borrowmoney",1
703602,703602,703902,"borrowmoney",1
703603,703603,705601,"borrowmoney",1
703701,703701,704101,"borrowmoney",1
703702,703702,714303,"borrowmoney",1
703704,703704,706303,"borrowmoney",1
704001,704001,703901,"borrowmoney",1
704002,704002,703901,"borrowmoney",1
704101,704101,703901,"borrowmoney",1
704102,704102,706302,"borrowmoney",1
704201,704201,703302,"borrowmoney",1
704502,704502,704802,"borrowmoney",1
704701,704701,705101,"borrowmoney",1
704702,704702,705102,"borrowmoney",1
704801,704801,713901,"borrowmoney",1
704802,704802,704002,"borrowmoney",1
704901,704901,705001,"borrowmoney",1
705401,705401,702901,"borrowmoney",1
705402,705402,703902,"borrowmoney",1
705501,705501,706501,"borrowmoney",1
705502,705502,703602,"borrowmoney",1
705601,705601,705401,"borrowmoney",1
705604,705604,703305,"borrowmoney",1
705801,705801,705804,"borrowmoney",1
705802,705802,706301,"borrowmoney",1
705804,705804,706502,"borrowmoney",1
705805,705805,706302,"borrowmoney",1
