"respondent","i","j","type","weight"
6800201,6800201,6801601,"borrowmoney",1
6800202,6800202,6815204,"borrowmoney",1
6800401,6800401,6803201,"borrowmoney",1
6800402,6800402,6800301,"borrowmoney",1
6800501,6800501,6808901,"borrowmoney",1
6800502,6800502,6801202,"borrowmoney",1
6800802,6800802,6802302,"borrowmoney",1
6801201,6801201,6814601,"borrowmoney",1
6801202,6801202,6801302,"borrowmoney",1
6801401,6801401,6803701,"borrowmoney",1
6801402,6801402,6803702,"borrowmoney",1
6801601,6801601,6811501,"borrowmoney",1
6801602,6801602,6814602,"borrowmoney",1
6801603,6801603,6802102,"borrowmoney",1
6801701,6801701,6801201,"borrowmoney",1
6801702,6801702,6802302,"borrowmoney",1
6802001,6802001,6813001,"borrowmoney",1
6802002,6802002,6804501,"borrowmoney",1
6802301,6802301,6802201,"borrowmoney",1
6802302,6802302,6802502,"borrowmoney",1
6802401,6802401,6802302,"borrowmoney",1
6802601,6802601,6811801,"borrowmoney",1
6802602,6802602,6813001,"borrowmoney",1
6802901,6802901,6802901,"borrowmoney",1
6802902,6802902,6802301,"borrowmoney",1
6803201,6803201,6806207,"borrowmoney",1
6803205,6803205,6803302,"borrowmoney",1
6803206,6803206,6805401,"borrowmoney",1
6803207,6803207,6803301,"borrowmoney",1
6803301,6803301,6806701,"borrowmoney",1
6803302,6803302,6803202,"borrowmoney",1
6803501,6803501,6804501,"borrowmoney",1
6803502,6803502,6804201,"borrowmoney",1
6803503,6803503,6804202,"borrowmoney",1
6804001,6804001,6806801,"borrowmoney",1
6804002,6804002,6812602,"borrowmoney",1
6804101,6804101,6803201,"borrowmoney",1
6804102,6804102,6804202,"borrowmoney",1
6804501,6804501,6803601,"borrowmoney",1
6804502,6804502,6804602,"borrowmoney",1
6804601,6804601,6804501,"borrowmoney",1
6804602,6804602,6804501,"borrowmoney",1
6804701,6804701,6803603,"borrowmoney",1
6804702,6804702,6804401,"borrowmoney",1
6804705,6804705,6810405,"borrowmoney",1
6804706,6804706,6805304,"borrowmoney",1
6804902,6804902,6812502,"borrowmoney",1
6805101,6805101,6811101,"borrowmoney",1
6805102,6805102,6812601,"borrowmoney",1
6805105,6805105,6807103,"borrowmoney",1
6805301,6805301,6811801,"borrowmoney",1
6805302,6805302,6804902,"borrowmoney",1
6805303,6805303,6806501,"borrowmoney",1
6805304,6805304,6805402,"borrowmoney",1
6805401,6805401,6806701,"borrowmoney",1
6805402,6805402,6805902,"borrowmoney",1
6805701,6805701,6805901,"borrowmoney",1
6805702,6805702,6805901,"borrowmoney",1
6805901,6805901,6814701,"borrowmoney",1
6805902,6805902,6805701,"borrowmoney",1
6806501,6806501,6803201,"borrowmoney",1
6806502,6806502,6805302,"borrowmoney",1
6806503,6806503,6806103,"borrowmoney",1
6806504,6806504,6805301,"borrowmoney",1
6806701,6806701,6814601,"borrowmoney",1
6806702,6806702,6814602,"borrowmoney",1
6807001,6807001,6812601,"borrowmoney",1
6807002,6807002,6806902,"borrowmoney",1
6807101,6807101,6811801,"borrowmoney",1
6807102,6807102,6807202,"borrowmoney",1
6807103,6807103,6805105,"borrowmoney",1
6807201,6807201,6812101,"borrowmoney",1
6807202,6807202,6812102,"borrowmoney",1
6807501,6807501,6811601,"borrowmoney",1
6807502,6807502,6807902,"borrowmoney",1
6807504,6807504,6807904,"borrowmoney",1
6807801,6807801,6801402,"borrowmoney",1
6807802,6807802,6809801,"borrowmoney",1
6808001,6808001,6811801,"borrowmoney",1
6808002,6808002,6808902,"borrowmoney",1
6808003,6808003,6808305,"borrowmoney",1
6808004,6808004,6801402,"borrowmoney",1
6808101,6808101,6811101,"borrowmoney",1
6808102,6808102,6803207,"borrowmoney",1
6808301,6808301,6811801,"borrowmoney",1
6808302,6808302,6805304,"borrowmoney",1
6808801,6808801,6808204,"borrowmoney",1
6808901,6808901,6807501,"borrowmoney",1
6808902,6808902,6810303,"borrowmoney",1
6809301,6809301,6810606,"borrowmoney",1
6809302,6809302,6810402,"borrowmoney",1
6809401,6809401,6814201,"borrowmoney",1
6809402,6809402,6809803,"borrowmoney",1
6809403,6809403,6813602,"borrowmoney",1
6809601,6809601,6809201,"borrowmoney",1
6809602,6809602,6809801,"borrowmoney",1
6809801,6809801,6809602,"borrowmoney",1
6809802,6809802,6809602,"borrowmoney",1
6809803,6809803,6810802,"borrowmoney",1
6810001,6810001,6809201,"borrowmoney",1
6810002,6810002,6807902,"borrowmoney",1
6810101,6810101,6810601,"borrowmoney",1
6810102,6810102,6810402,"borrowmoney",1
6810401,6810401,6810601,"borrowmoney",1
6810402,6810402,6810604,"borrowmoney",1
6810501,6810501,6811801,"borrowmoney",1
6810502,6810502,6811702,"borrowmoney",1
6810701,6810701,6809201,"borrowmoney",1
6810702,6810702,6810602,"borrowmoney",1
6811101,6811101,6808101,"borrowmoney",1
6811102,6811102,6811402,"borrowmoney",1
6811201,6811201,6808901,"borrowmoney",1
6811202,6811202,6810902,"borrowmoney",1
6811501,6811501,6806801,"borrowmoney",1
6811502,6811502,6811102,"borrowmoney",1
6811503,6811503,6809702,"borrowmoney",1
6811901,6811901,6811801,"borrowmoney",1
6811902,6811902,6811802,"borrowmoney",1
