"respondent","i","j","type","weight"
2000101,2000101,2003005,"borrowmoney",1
2000102,2000102,2000201,"borrowmoney",1
2000103,2000103,2003005,"borrowmoney",1
2000301,2000301,2003005,"borrowmoney",1
2000302,2000302,2013201,"borrowmoney",1
2000601,2000601,2008401,"borrowmoney",1
2000602,2000602,2000701,"borrowmoney",1
2000603,2000603,2000701,"borrowmoney",1
2000604,2000604,2000702,"borrowmoney",1
2000801,2000801,2000901,"borrowmoney",1
2000802,2000802,2000901,"borrowmoney",1
2000803,2000803,2012403,"borrowmoney",1
2000806,2000806,2000901,"borrowmoney",1
2000807,2000807,2000901,"borrowmoney",1
2001001,2001001,2001501,"borrowmoney",1
2001003,2001003,2000701,"borrowmoney",1
2001301,2001301,2004101,"borrowmoney",1
2001302,2001302,2013201,"borrowmoney",1
2001304,2001304,2001308,"borrowmoney",1
2001305,2001305,2001602,"borrowmoney",1
2001308,2001308,2011901,"borrowmoney",1
2001801,2001801,2007501,"borrowmoney",1
2001802,2001802,2001902,"borrowmoney",1
2001901,2001901,2001501,"borrowmoney",1
2001902,2001902,2001602,"borrowmoney",1
2001903,2001903,2001501,"borrowmoney",1
2002901,2002901,2008401,"borrowmoney",1
2002902,2002902,2008402,"borrowmoney",1
2003001,2003001,2002901,"borrowmoney",1
2003002,2003002,2002902,"borrowmoney",1
2003005,2003005,2000403,"borrowmoney",1
2003006,2003006,2013302,"borrowmoney",1
2003101,2003101,2003501,"borrowmoney",1
2003201,2003201,2003101,"borrowmoney",1
2003202,2003202,2003401,"borrowmoney",1
2003501,2003501,2003701,"borrowmoney",1
2003502,2003502,2003101,"borrowmoney",1
2003503,2003503,2003101,"borrowmoney",1
2003507,2003507,2003501,"borrowmoney",1
2003508,2003508,2003202,"borrowmoney",1
2003701,2003701,2003501,"borrowmoney",1
2003702,2003702,2012402,"borrowmoney",1
2003801,2003801,2004201,"borrowmoney",1
2003802,2003802,2012104,"borrowmoney",1
2003804,2003804,2004303,"borrowmoney",1
2003901,2003901,2004201,"borrowmoney",1
2003902,2003902,2004202,"borrowmoney",1
2004101,2004101,2004801,"borrowmoney",1
2004102,2004102,2003205,"borrowmoney",1
2004201,2004201,2004101,"borrowmoney",1
2004202,2004202,2004501,"borrowmoney",1
2004203,2004203,2007202,"borrowmoney",1
2004204,2004204,2003802,"borrowmoney",1
2004401,2004401,2003005,"borrowmoney",1
2004402,2004402,2003006,"borrowmoney",1
2004501,2004501,2005101,"borrowmoney",1
2004502,2004502,2005101,"borrowmoney",1
2004505,2004505,2011801,"borrowmoney",1
2004506,2004506,2004204,"borrowmoney",1
2005401,2005401,2005301,"borrowmoney",1
2005402,2005402,2006402,"borrowmoney",1
2005501,2005501,2006901,"borrowmoney",1
2005801,2005801,2006302,"borrowmoney",1
2005802,2005802,2006302,"borrowmoney",1
2005803,2005803,2006302,"borrowmoney",1
2006001,2006001,2013201,"borrowmoney",1
2006002,2006002,2002702,"borrowmoney",1
2006301,2006301,2006101,"borrowmoney",1
2006401,2006401,2006801,"borrowmoney",1
2006402,2006402,2002601,"borrowmoney",1
2006801,2006801,2003501,"borrowmoney",1
2006803,2006803,2007001,"borrowmoney",1
2007001,2007001,2006401,"borrowmoney",1
2007002,2007002,2006401,"borrowmoney",1
2007201,2007201,2002504,"borrowmoney",1
2007401,2007401,2000601,"borrowmoney",1
2007402,2007402,2007705,"borrowmoney",1
2007404,2007404,2007501,"borrowmoney",1
2007501,2007501,2007401,"borrowmoney",1
2007502,2007502,2007401,"borrowmoney",1
2007601,2007601,2007501,"borrowmoney",1
2007602,2007602,2007502,"borrowmoney",1
2007701,2007701,2009901,"borrowmoney",1
2007702,2007702,2005501,"borrowmoney",1
2007703,2007703,2008301,"borrowmoney",1
2007704,2007704,2007717,"borrowmoney",1
2007705,2007705,2008001,"borrowmoney",1
2007708,2007708,2005501,"borrowmoney",1
2007709,2007709,2004701,"borrowmoney",1
2007710,2007710,2011201,"borrowmoney",1
2007716,2007716,2007401,"borrowmoney",1
2007717,2007717,2007403,"borrowmoney",1
2007719,2007719,2008002,"borrowmoney",1
2008001,2008001,2007401,"borrowmoney",1
2008002,2008002,2008302,"borrowmoney",1
2008301,2008301,2006701,"borrowmoney",1
2008302,2008302,2007717,"borrowmoney",1
2008401,2008401,2008901,"borrowmoney",1
2008402,2008402,2007702,"borrowmoney",1
2008501,2008501,2007301,"borrowmoney",1
2008502,2008502,2007301,"borrowmoney",1
2008503,2008503,2007601,"borrowmoney",1
2008504,2008504,2008302,"borrowmoney",1
2008701,2008701,2009901,"borrowmoney",1
2008702,2008702,2003101,"borrowmoney",1
2008901,2008901,2003101,"borrowmoney",1
2008902,2008902,2008702,"borrowmoney",1
2009001,2009001,2003101,"borrowmoney",1
2009002,2009002,2003101,"borrowmoney",1
2009201,2009201,2009207,"borrowmoney",1
2009202,2009202,2008502,"borrowmoney",1
2009401,2009401,2000401,"borrowmoney",1
2009402,2009402,2013802,"borrowmoney",1
2009403,2009403,2000401,"borrowmoney",1
2009404,2009404,2000401,"borrowmoney",1
2009701,2009701,2003005,"borrowmoney",1
2009702,2009702,2003005,"borrowmoney",1
2009801,2009801,2011201,"borrowmoney",1
2009802,2009802,2009501,"borrowmoney",1
2010201,2010201,2010802,"borrowmoney",1
2010202,2010202,2010802,"borrowmoney",1
2010301,2010301,2006901,"borrowmoney",1
2010302,2010302,2010301,"borrowmoney",1
2010303,2010303,2010302,"borrowmoney",1
2010901,2010901,2014103,"borrowmoney",1
2010902,2010902,2011002,"borrowmoney",1
2010903,2010903,2011002,"borrowmoney",1
2011701,2011701,2006801,"borrowmoney",1
2011901,2011901,2003101,"borrowmoney",1
2011906,2011906,2012401,"borrowmoney",1
2012001,2012001,2007708,"borrowmoney",1
2012002,2012002,2011910,"borrowmoney",1
2012103,2012103,2003801,"borrowmoney",1
2012104,2012104,2003801,"borrowmoney",1
2012107,2012107,2000403,"borrowmoney",1
2012108,2012108,2003202,"borrowmoney",1
2012201,2012201,2004001,"borrowmoney",1
2012202,2012202,2012801,"borrowmoney",1
2012301,2012301,2003101,"borrowmoney",1
2012302,2012302,2003101,"borrowmoney",1
2012303,2012303,2012003,"borrowmoney",1
2012304,2012304,2012904,"borrowmoney",1
2012602,2012602,2003701,"borrowmoney",1
2000301,2000301,2013201,"borrowmoney",1
2000302,2000302,2000101,"borrowmoney",1
2000601,2000601,2000701,"borrowmoney",1
2000602,2000602,2003010,"borrowmoney",1
2000603,2000603,2003005,"borrowmoney",1
2000604,2000604,2003006,"borrowmoney",1
2000802,2000802,2000501,"borrowmoney",1
2000803,2000803,2012201,"borrowmoney",1
2000807,2000807,2000501,"borrowmoney",1
2001001,2001001,2000901,"borrowmoney",1
2001003,2001003,2012101,"borrowmoney",1
2001301,2001301,2003101,"borrowmoney",1
2001302,2001302,2001601,"borrowmoney",1
2001304,2001304,2001601,"borrowmoney",1
2001901,2001901,2001801,"borrowmoney",1
2001902,2001902,2003101,"borrowmoney",1
2001903,2001903,2001801,"borrowmoney",1
2002901,2002901,2013301,"borrowmoney",1
2002902,2002902,2013302,"borrowmoney",1
2003001,2003001,2013302,"borrowmoney",1
2003002,2003002,2013301,"borrowmoney",1
2003005,2003005,2000101,"borrowmoney",1
2003101,2003101,2003509,"borrowmoney",1
2003201,2003201,2003401,"borrowmoney",1
2003202,2003202,2004101,"borrowmoney",1
2003501,2003501,2003101,"borrowmoney",1
2003502,2003502,2003202,"borrowmoney",1
2003503,2003503,2006802,"borrowmoney",1
2003507,2003507,2003503,"borrowmoney",1
2003508,2003508,2004303,"borrowmoney",1
2003701,2003701,2012801,"borrowmoney",1
2003702,2003702,2003503,"borrowmoney",1
2003801,2003801,2012101,"borrowmoney",1
2003802,2003802,2004204,"borrowmoney",1
2003804,2003804,2007712,"borrowmoney",1
2003901,2003901,2002901,"borrowmoney",1
2003902,2003902,2002902,"borrowmoney",1
2004101,2004101,2003204,"borrowmoney",1
2004102,2004102,2004802,"borrowmoney",1
2004201,2004201,2004701,"borrowmoney",1
2004202,2004202,2004701,"borrowmoney",1
2004203,2004203,2007303,"borrowmoney",1
2004401,2004401,2006103,"borrowmoney",1
2004402,2004402,2006104,"borrowmoney",1
2004501,2004501,2011801,"borrowmoney",1
2004502,2004502,2002503,"borrowmoney",1
2004505,2004505,2003403,"borrowmoney",1
2004506,2004506,2011801,"borrowmoney",1
