"respondent","i","j","type","weight"
5300101,5300101,5306605,"borrowmoney",1
5300102,5300102,5313702,"borrowmoney",1
5300301,5300301,5301903,"borrowmoney",1
5300302,5300302,5300602,"borrowmoney",1
5300401,5300401,5312001,"borrowmoney",1
5300402,5300402,5306505,"borrowmoney",1
5300403,5300403,5305104,"borrowmoney",1
5300404,5300404,5300903,"borrowmoney",1
5300501,5300501,5313801,"borrowmoney",1
5300502,5300502,5313802,"borrowmoney",1
5300503,5300503,5312304,"borrowmoney",1
5300801,5300801,5303201,"borrowmoney",1
5300802,5300802,5301103,"borrowmoney",1
5300803,5300803,5302102,"borrowmoney",1
5300903,5300903,5304202,"borrowmoney",1
5301001,5301001,5313502,"borrowmoney",1
5301002,5301002,5303602,"borrowmoney",1
5301101,5301101,5300902,"borrowmoney",1
5301102,5301102,5301202,"borrowmoney",1
5301103,5301103,5301202,"borrowmoney",1
5301601,5301601,5302601,"borrowmoney",1
5301602,5301602,5301805,"borrowmoney",1
5302301,5302301,5302501,"borrowmoney",1
5302302,5302302,5302102,"borrowmoney",1
5302401,5302401,5313801,"borrowmoney",1
5302402,5302402,5301902,"borrowmoney",1
5302801,5302801,5302501,"borrowmoney",1
5302802,5302802,5303401,"borrowmoney",1
5302901,5302901,5311503,"borrowmoney",1
5302902,5302902,5303401,"borrowmoney",1
5303101,5303101,5313501,"borrowmoney",1
5303102,5303102,5303202,"borrowmoney",1
5303103,5303103,5306301,"borrowmoney",1
5303104,5303104,5303202,"borrowmoney",1
5303201,5303201,5303103,"borrowmoney",1
5303202,5303202,5311003,"borrowmoney",1
5303203,5303203,5301901,"borrowmoney",1
5303401,5303401,5302902,"borrowmoney",1
5303804,5303804,5303902,"borrowmoney",1
5303901,5303901,5303201,"borrowmoney",1
5303902,5303902,5306202,"borrowmoney",1
5304201,5304201,5305301,"borrowmoney",1
5304202,5304202,5305002,"borrowmoney",1
5304301,5304301,5300301,"borrowmoney",1
5304302,5304302,5304402,"borrowmoney",1
5304401,5304401,5304301,"borrowmoney",1
5304402,5304402,5305602,"borrowmoney",1
5304405,5304405,5311104,"borrowmoney",1
