"respondent","i","j","type","weight"
6100101,6100101,6101501,"borrowmoney",1
6100102,6100102,6101303,"borrowmoney",1
6100401,6100401,6100301,"borrowmoney",1
6100402,6100402,6100601,"borrowmoney",1
6100501,6100501,6106304,"borrowmoney",1
6100502,6100502,6101302,"borrowmoney",1
6100503,6100503,6106301,"borrowmoney",1
6100504,6100504,6100604,"borrowmoney",1
6100801,6100801,6102401,"borrowmoney",1
6100802,6100802,6107401,"borrowmoney",1
6101001,6101001,6101302,"borrowmoney",1
6101002,6101002,6101306,"borrowmoney",1
6101302,6101302,6101401,"borrowmoney",1
6101501,6101501,6103701,"borrowmoney",1
6101502,6101502,6101602,"borrowmoney",1
6101801,6101801,6100101,"borrowmoney",1
6101802,6101802,6102412,"borrowmoney",1
6102001,6102001,6105904,"borrowmoney",1
6102002,6102002,6101702,"borrowmoney",1
6102101,6102101,6101302,"borrowmoney",1
6102102,6102102,6102001,"borrowmoney",1
6102201,6102201,6105301,"borrowmoney",1
6102202,6102202,6102415,"borrowmoney",1
6102401,6102401,6101302,"borrowmoney",1
6102402,6102402,6103201,"borrowmoney",1
6102403,6102403,6103207,"borrowmoney",1
6102404,6102404,6100302,"borrowmoney",1
6102407,6102407,6109702,"borrowmoney",1
6102411,6102411,6103001,"borrowmoney",1
6102412,6102412,6105304,"borrowmoney",1
6102414,6102414,6100101,"borrowmoney",1
6102415,6102415,6101702,"borrowmoney",1
6102418,6102418,6102502,"borrowmoney",1
6102501,6102501,6103201,"borrowmoney",1
6102502,6102502,6103202,"borrowmoney",1
6102602,6102602,6102902,"borrowmoney",1
6102604,6102604,6106101,"borrowmoney",1
6102901,6102901,6103205,"borrowmoney",1
6102902,6102902,6103206,"borrowmoney",1
6103001,6103001,6101402,"borrowmoney",1
6103002,6103002,6103402,"borrowmoney",1
6103201,6103201,6103001,"borrowmoney",1
6103202,6103202,6102903,"borrowmoney",1
6103301,6103301,6102401,"borrowmoney",1
6103302,6103302,6104101,"borrowmoney",1
6103303,6103303,6103202,"borrowmoney",1
6103401,6103401,6103201,"borrowmoney",1
6103402,6103402,6103302,"borrowmoney",1
6103701,6103701,6103001,"borrowmoney",1
6103702,6103702,6104002,"borrowmoney",1
6103801,6103801,6106304,"borrowmoney",1
6103802,6103802,6104001,"borrowmoney",1
6104001,6104001,6102411,"borrowmoney",1
6104002,6104002,6103101,"borrowmoney",1
6104601,6104601,6102801,"borrowmoney",1
6104602,6104602,6105401,"borrowmoney",1
6104801,6104801,6104706,"borrowmoney",1
6104802,6104802,6102801,"borrowmoney",1
6105001,6105001,6101302,"borrowmoney",1
6105002,6105002,6102501,"borrowmoney",1
6105003,6105003,6104303,"borrowmoney",1
6105004,6105004,6100406,"borrowmoney",1
6105301,6105301,6103201,"borrowmoney",1
6105302,6105302,6105102,"borrowmoney",1
6105501,6105501,6105301,"borrowmoney",1
6105502,6105502,6103301,"borrowmoney",1
6105503,6105503,6105704,"borrowmoney",1
6105504,6105504,6105703,"borrowmoney",1
6105506,6105506,6105601,"borrowmoney",1
6105701,6105701,6105101,"borrowmoney",1
6105702,6105702,6105301,"borrowmoney",1
6105703,6105703,6105301,"borrowmoney",1
6105704,6105704,6105101,"borrowmoney",1
6105801,6105801,6101302,"borrowmoney",1
6105802,6105802,6101302,"borrowmoney",1
6105803,6105803,6105102,"borrowmoney",1
6105804,6105804,6105301,"borrowmoney",1
6105808,6105808,6105301,"borrowmoney",1
6105809,6105809,6105301,"borrowmoney",1
6105812,6105812,6101302,"borrowmoney",1
6105813,6105813,6105302,"borrowmoney",1
6106001,6106001,6101901,"borrowmoney",1
6106002,6106002,6101303,"borrowmoney",1
6106004,6106004,6101303,"borrowmoney",1
6106101,6106101,6107302,"borrowmoney",1
6106201,6106201,6102411,"borrowmoney",1
6106202,6106202,6102412,"borrowmoney",1
6106401,6106401,6106501,"borrowmoney",1
6106402,6106402,6107302,"borrowmoney",1
6106501,6106501,6107901,"borrowmoney",1
6106502,6106502,6107302,"borrowmoney",1
6106601,6106601,6106501,"borrowmoney",1
6106602,6106602,6106402,"borrowmoney",1
6106603,6106603,6106501,"borrowmoney",1
6106801,6106801,6106701,"borrowmoney",1
6106802,6106802,6106902,"borrowmoney",1
6107201,6107201,6102411,"borrowmoney",1
6107202,6107202,6106502,"borrowmoney",1
6107501,6107501,6100202,"borrowmoney",1
6107901,6107901,6107701,"borrowmoney",1
6107902,6107902,6107802,"borrowmoney",1
6108001,6108001,6107902,"borrowmoney",1
6108002,6108002,6111902,"borrowmoney",1
6108401,6108401,6108602,"borrowmoney",1
6108501,6108501,6109004,"borrowmoney",1
6108701,6108701,6111001,"borrowmoney",1
6108702,6108702,6108501,"borrowmoney",1
6108801,6108801,6110501,"borrowmoney",1
6108802,6108802,6111802,"borrowmoney",1
6108803,6108803,6111702,"borrowmoney",1
6109201,6109201,6111904,"borrowmoney",1
6109204,6109204,6111904,"borrowmoney",1
6109301,6109301,6111403,"borrowmoney",1
6109302,6109302,6105506,"borrowmoney",1
6109401,6109401,6110101,"borrowmoney",1
6109402,6109402,6110002,"borrowmoney",1
6109406,6109406,6105702,"borrowmoney",1
6109601,6109601,6110501,"borrowmoney",1
6109602,6109602,6108902,"borrowmoney",1
6109801,6109801,6108401,"borrowmoney",1
6109802,6109802,6107601,"borrowmoney",1
6109803,6109803,6109601,"borrowmoney",1
6109803,6109803,6109601,"borrowmoney",1
6109804,6109804,6109801,"borrowmoney",1
6110001,6110001,6109702,"borrowmoney",1
6110002,6110002,6110102,"borrowmoney",1
6110101,6110101,6110601,"borrowmoney",1
6110102,6110102,6110002,"borrowmoney",1
6110401,6110401,6108301,"borrowmoney",1
6110402,6110402,6110301,"borrowmoney",1
6110501,6110501,6108801,"borrowmoney",1
6110502,6110502,6110002,"borrowmoney",1
6110801,6110801,6103401,"borrowmoney",1
6110802,6110802,6111802,"borrowmoney",1
6110803,6110803,6108401,"borrowmoney",1
6111201,6111201,6111301,"borrowmoney",1
6111202,6111202,6108904,"borrowmoney",1
6111301,6111301,6111701,"borrowmoney",1
6111302,6111302,6111302,"borrowmoney",1
6111401,6111401,6107701,"borrowmoney",1
6111402,6111402,6107702,"borrowmoney",1
6111403,6111403,6107401,"borrowmoney",1
6111404,6111404,6110502,"borrowmoney",1
6111501,6111501,6108201,"borrowmoney",1
6111502,6111502,6108202,"borrowmoney",1
6111601,6111601,6111801,"borrowmoney",1
6111602,6111602,6111702,"borrowmoney",1
6111701,6111701,6111801,"borrowmoney",1
6111702,6111702,6111902,"borrowmoney",1
6111703,6111703,6111601,"borrowmoney",1
6111801,6111801,6111901,"borrowmoney",1
6111802,6111802,6111902,"borrowmoney",1
6112001,6112001,6107401,"borrowmoney",1
6112002,6112002,6111602,"borrowmoney",1
6112101,6112101,6112001,"borrowmoney",1
6112102,6112102,6108202,"borrowmoney",1
6100101,6100101,6102414,"borrowmoney",1
6100401,6100401,6106401,"borrowmoney",1
6100402,6100402,6100802,"borrowmoney",1
6100501,6100501,6103001,"borrowmoney",1
6100503,6100503,6100802,"borrowmoney",1
6100504,6100504,6103002,"borrowmoney",1
6100801,6100801,6101302,"borrowmoney",1
6100802,6100802,6111801,"borrowmoney",1
6101001,6101001,6105808,"borrowmoney",1
6101002,6101002,6100302,"borrowmoney",1
6101302,6101302,6102301,"borrowmoney",1
6101501,6101501,6101901,"borrowmoney",1
6101502,6101502,6103902,"borrowmoney",1
6101801,6101801,6102414,"borrowmoney",1
6101802,6101802,6100406,"borrowmoney",1
6102001,6102001,6100101,"borrowmoney",1
6102002,6102002,6101402,"borrowmoney",1
6102102,6102102,6101402,"borrowmoney",1
6102201,6102201,6101601,"borrowmoney",1
6102402,6102402,6102501,"borrowmoney",1
6102403,6102403,6103401,"borrowmoney",1
6102404,6102404,6102202,"borrowmoney",1
6102411,6102411,6103401,"borrowmoney",1
6102412,6102412,6103202,"borrowmoney",1
6102418,6102418,6103903,"borrowmoney",1
6102501,6102501,6104001,"borrowmoney",1
6102502,6102502,6103302,"borrowmoney",1
6102602,6102602,6103102,"borrowmoney",1
6102604,6102604,6104201,"borrowmoney",1
6102901,6102901,6103101,"borrowmoney",1
6102902,6102902,6103101,"borrowmoney",1
6103001,6103001,6103701,"borrowmoney",1
6103002,6103002,6103202,"borrowmoney",1
6103201,6103201,6102903,"borrowmoney",1
6103202,6103202,6103001,"borrowmoney",1
6103301,6103301,6104101,"borrowmoney",1
6103302,6103302,6103402,"borrowmoney",1
6103303,6103303,6104101,"borrowmoney",1
6103401,6103401,6102901,"borrowmoney",1
6103402,6103402,6102902,"borrowmoney",1
6103701,6103701,6101601,"borrowmoney",1
6103702,6103702,6101302,"borrowmoney",1
6103801,6103801,6104110,"borrowmoney",1
6103802,6103802,6103701,"borrowmoney",1
6104001,6104001,6101601,"borrowmoney",1
6104002,6104002,6102415,"borrowmoney",1
6104601,6104601,6103101,"borrowmoney",1
6104602,6104602,6105701,"borrowmoney",1
6104801,6104801,6104901,"borrowmoney",1
6104802,6104802,6112702,"borrowmoney",1
6105001,6105001,6102305,"borrowmoney",1
6105003,6105003,6102801,"borrowmoney",1
6105004,6105004,6103602,"borrowmoney",1
6105301,6105301,6109901,"borrowmoney",1
6105302,6105302,6105002,"borrowmoney",1
6105501,6105501,6105801,"borrowmoney",1
6105502,6105502,6105601,"borrowmoney",1
6105503,6105503,6109702,"borrowmoney",1
6105504,6105504,6105602,"borrowmoney",1
6105506,6105506,6104706,"borrowmoney",1
6105701,6105701,6105301,"borrowmoney",1
6105702,6105702,6105101,"borrowmoney",1
6105703,6105703,6105101,"borrowmoney",1
6105704,6105704,6105301,"borrowmoney",1
6105801,6105801,6105701,"borrowmoney",1
6105802,6105802,6104801,"borrowmoney",1
6105803,6105803,6105301,"borrowmoney",1
6105808,6105808,6104601,"borrowmoney",1
6105809,6105809,6104908,"borrowmoney",1
6105812,6105812,6105301,"borrowmoney",1
6105813,6105813,6105703,"borrowmoney",1
