"respondent","i","j","type","weight"
6000401,6000401,6000203,"borrowmoney",1
6000402,6000402,6000302,"borrowmoney",1
6000701,6000701,6000301,"borrowmoney",1
6000702,6000702,6000302,"borrowmoney",1
6000901,6000901,6001001,"borrowmoney",1
6000902,6000902,6001002,"borrowmoney",1
6000903,6000903,6001204,"borrowmoney",1
6000904,6000904,6001002,"borrowmoney",1
6001201,6001201,6000901,"borrowmoney",1
6001202,6001202,6000902,"borrowmoney",1
6001203,6001203,6001102,"borrowmoney",1
6001204,6001204,6000901,"borrowmoney",1
6001301,6001301,6000901,"borrowmoney",1
6001302,6001302,6004506,"borrowmoney",1
6001303,6001303,6001402,"borrowmoney",1
6001401,6001401,6001302,"borrowmoney",1
6001402,6001402,6012102,"borrowmoney",1
6001501,6001501,6021101,"borrowmoney",1
6001502,6001502,6030103,"borrowmoney",1
6001801,6001801,6010908,"borrowmoney",1
6001802,6001802,6010909,"borrowmoney",1
6001803,6001803,6010908,"borrowmoney",1
6001804,6001804,6010909,"borrowmoney",1
6002101,6002101,6022901,"borrowmoney",1
6002102,6002102,6022902,"borrowmoney",1
6002110,6002110,6027702,"borrowmoney",1
6002201,6002201,6002501,"borrowmoney",1
6002202,6002202,6011102,"borrowmoney",1
6002302,6002302,6002402,"borrowmoney",1
6002401,6002401,6002601,"borrowmoney",1
6002402,6002402,6002601,"borrowmoney",1
6002501,6002501,6002401,"borrowmoney",1
6002502,6002502,6002401,"borrowmoney",1
6002601,6002601,6023301,"borrowmoney",1
6002602,6002602,6002702,"borrowmoney",1
6002603,6002603,6000803,"borrowmoney",1
6002701,6002701,6002602,"borrowmoney",1
6002702,6002702,6034101,"borrowmoney",1
6003101,6003101,6009505,"borrowmoney",1
6003102,6003102,6009802,"borrowmoney",1
6003201,6003201,6003101,"borrowmoney",1
6003202,6003202,6002905,"borrowmoney",1
6003301,6003301,6007201,"borrowmoney",1
6003302,6003302,6003602,"borrowmoney",1
6003306,6003306,6007201,"borrowmoney",1
6003307,6003307,6003402,"borrowmoney",1
6003501,6003501,6003901,"borrowmoney",1
6003502,6003502,6004205,"borrowmoney",1
6003601,6003601,6022102,"borrowmoney",1
6003602,6003602,6022102,"borrowmoney",1
6004401,6004401,6003601,"borrowmoney",1
6004402,6004402,6004502,"borrowmoney",1
6004403,6004403,6004307,"borrowmoney",1
6004501,6004501,6004601,"borrowmoney",1
6004502,6004502,6009702,"borrowmoney",1
6004503,6004503,6004601,"borrowmoney",1
6004504,6004504,6004601,"borrowmoney",1
6004505,6004505,6004602,"borrowmoney",1
6004801,6004801,6034101,"borrowmoney",1
6005001,6005001,6005601,"borrowmoney",1
6005002,6005002,6005601,"borrowmoney",1
6005201,6005201,6006602,"borrowmoney",1
6005501,6005501,6004504,"borrowmoney",1
6005502,6005502,6004504,"borrowmoney",1
6005601,6005601,6005001,"borrowmoney",1
6005602,6005602,6005802,"borrowmoney",1
6005801,6005801,6006301,"borrowmoney",1
6005802,6005802,6006304,"borrowmoney",1
6006001,6006001,6026701,"borrowmoney",1
6006004,6006004,6026702,"borrowmoney",1
6006101,6006101,6006301,"borrowmoney",1
6006102,6006102,6006001,"borrowmoney",1
6006103,6006103,6020505,"borrowmoney",1
6006104,6006104,6005802,"borrowmoney",1
6006301,6006301,6009801,"borrowmoney",1
6006302,6006302,6002905,"borrowmoney",1
6006304,6006304,6005802,"borrowmoney",1
6006305,6006305,6007901,"borrowmoney",1
6006501,6006501,6008303,"borrowmoney",1
6006502,6006502,6008902,"borrowmoney",1
6006504,6006504,6008304,"borrowmoney",1
6006506,6006506,6030901,"borrowmoney",1
6007201,6007201,6003301,"borrowmoney",1
6007202,6007202,6020902,"borrowmoney",1
6007701,6007701,6007801,"borrowmoney",1
6007702,6007702,6007808,"borrowmoney",1
6007705,6007705,6025801,"borrowmoney",1
6007901,6007901,6021501,"borrowmoney",1
6007902,6007902,6021501,"borrowmoney",1
6007905,6007905,6025604,"borrowmoney",1
6008101,6008101,6020401,"borrowmoney",1
6008102,6008102,6007901,"borrowmoney",1
6008301,6008301,6007901,"borrowmoney",1
6008302,6008302,6022502,"borrowmoney",1
6008303,6008303,6008909,"borrowmoney",1
6008304,6008304,6006501,"borrowmoney",1
6008401,6008401,6004407,"borrowmoney",1
6008402,6008402,6020902,"borrowmoney",1
6008404,6008404,6004607,"borrowmoney",1
6008801,6008801,6010201,"borrowmoney",1
6008802,6008802,6008815,"borrowmoney",1
6008806,6008806,6004205,"borrowmoney",1
6008807,6008807,6004204,"borrowmoney",1
6008809,6008809,6004204,"borrowmoney",1
6008810,6008810,6004203,"borrowmoney",1
6008815,6008815,6007301,"borrowmoney",1
6008816,6008816,6004205,"borrowmoney",1
6008901,6008901,6034101,"borrowmoney",1
6009001,6009001,6008918,"borrowmoney",1
6009002,6009002,6018201,"borrowmoney",1
6009003,6009003,6035102,"borrowmoney",1
6009301,6009301,6009201,"borrowmoney",1
6009302,6009302,6008402,"borrowmoney",1
6009501,6009501,6020401,"borrowmoney",1
6009502,6009502,6002402,"borrowmoney",1
6009504,6009504,6020402,"borrowmoney",1
6009701,6009701,6008901,"borrowmoney",1
6009702,6009702,6034502,"borrowmoney",1
6009703,6009703,6009802,"borrowmoney",1
6009706,6009706,6019701,"borrowmoney",1
6009707,6009707,6021802,"borrowmoney",1
6009711,6009711,6019101,"borrowmoney",1
6009712,6009712,6009802,"borrowmoney",1
6009715,6009715,6001205,"borrowmoney",1
6009716,6009716,6009802,"borrowmoney",1
6009719,6009719,6008401,"borrowmoney",1
6009720,6009720,6009606,"borrowmoney",1
6009801,6009801,6009706,"borrowmoney",1
6009802,6009802,6009707,"borrowmoney",1
6009901,6009901,6012501,"borrowmoney",1
6009902,6009902,6011401,"borrowmoney",1
6010701,6010701,6006201,"borrowmoney",1
6010702,6010702,6016302,"borrowmoney",1
6010801,6010801,6013301,"borrowmoney",1
6010802,6010802,6013702,"borrowmoney",1
6010803,6010803,6013201,"borrowmoney",1
6010804,6010804,6013301,"borrowmoney",1
6010901,6010901,6013201,"borrowmoney",1
6010902,6010902,6016502,"borrowmoney",1
6010903,6010903,6010701,"borrowmoney",1
6010904,6010904,6015602,"borrowmoney",1
6010908,6010908,6001803,"borrowmoney",1
6010909,6010909,6013402,"borrowmoney",1
6011001,6011001,6023601,"borrowmoney",1
6011002,6011002,6010902,"borrowmoney",1
6011003,6011003,6016302,"borrowmoney",1
6011201,6011201,6012701,"borrowmoney",1
6011202,6011202,6011102,"borrowmoney",1
6011301,6011301,6010801,"borrowmoney",1
6011302,6011302,6011402,"borrowmoney",1
6011401,6011401,6011805,"borrowmoney",1
6011402,6011402,6002905,"borrowmoney",1
6011801,6011801,6012006,"borrowmoney",1
6011803,6011803,6016003,"borrowmoney",1
6011805,6011805,6016003,"borrowmoney",1
6012001,6012001,6009703,"borrowmoney",1
6012002,6012002,6012501,"borrowmoney",1
6012101,6012101,6012401,"borrowmoney",1
6012102,6012102,6016003,"borrowmoney",1
6012201,6012201,6012102,"borrowmoney",1
6012202,6012202,6016603,"borrowmoney",1
6012203,6012203,6011601,"borrowmoney",1
6012204,6012204,6034402,"borrowmoney",1
6012301,6012301,6012401,"borrowmoney",1
6012302,6012302,6012402,"borrowmoney",1
6012401,6012401,6012301,"borrowmoney",1
6012402,6012402,6012902,"borrowmoney",1
6012501,6012501,6012801,"borrowmoney",1
6012502,6012502,6012602,"borrowmoney",1
6012601,6012601,6013803,"borrowmoney",1
6012602,6012602,6012501,"borrowmoney",1
6012701,6012701,6011501,"borrowmoney",1
6012702,6012702,6015102,"borrowmoney",1
6012901,6012901,6011101,"borrowmoney",1
6012902,6012902,6010602,"borrowmoney",1
6013301,6013301,6014401,"borrowmoney",1
6013302,6013302,6014402,"borrowmoney",1
6013401,6013401,6017401,"borrowmoney",1
6013402,6013402,6011602,"borrowmoney",1
6013501,6013501,6016701,"borrowmoney",1
6013502,6013502,6014602,"borrowmoney",1
6013901,6013901,6012101,"borrowmoney",1
6013902,6013902,6014010,"borrowmoney",1
6014401,6014401,6014201,"borrowmoney",1
6014402,6014402,6012902,"borrowmoney",1
6014501,6014501,6008901,"borrowmoney",1
6014502,6014502,6014201,"borrowmoney",1
6014902,6014902,6016302,"borrowmoney",1
6014903,6014903,6002802,"borrowmoney",1
6015101,6015101,6014301,"borrowmoney",1
6015102,6015102,6014502,"borrowmoney",1
6015201,6015201,6012901,"borrowmoney",1
6015202,6015202,6013001,"borrowmoney",1
6015602,6015602,6016301,"borrowmoney",1
6015901,6015901,6017801,"borrowmoney",1
6015902,6015902,6013102,"borrowmoney",1
6016001,6016001,6018103,"borrowmoney",1
6016002,6016002,6013502,"borrowmoney",1
6016003,6016003,6016103,"borrowmoney",1
6016101,6016101,6016201,"borrowmoney",1
6016102,6016102,6016201,"borrowmoney",1
6016103,6016103,6016003,"borrowmoney",1
6016104,6016104,6016001,"borrowmoney",1
6016301,6016301,6017001,"borrowmoney",1
6016302,6016302,6016902,"borrowmoney",1
6016501,6016501,6008901,"borrowmoney",1
6016502,6016502,6015802,"borrowmoney",1
6016901,6016901,6017201,"borrowmoney",1
6016902,6016902,6017902,"borrowmoney",1
6017401,6017401,6017901,"borrowmoney",1
6017402,6017402,6010202,"borrowmoney",1
6017601,6017601,6006501,"borrowmoney",1
6017602,6017602,6010202,"borrowmoney",1
6017603,6017603,6017702,"borrowmoney",1
6017701,6017701,6015701,"borrowmoney",1
6017702,6017702,6017802,"borrowmoney",1
6017801,6017801,6008901,"borrowmoney",1
6017802,6017802,6013102,"borrowmoney",1
6017803,6017803,6017605,"borrowmoney",1
6017901,6017901,6013401,"borrowmoney",1
6017902,6017902,6016902,"borrowmoney",1
6018101,6018101,6014801,"borrowmoney",1
6018106,6018106,6016701,"borrowmoney",1
6018401,6018401,6020401,"borrowmoney",1
6018402,6018402,6018302,"borrowmoney",1
6018501,6018501,6019101,"borrowmoney",1
6018502,6018502,6019102,"borrowmoney",1
6018503,6018503,6019101,"borrowmoney",1
6018504,6018504,6023302,"borrowmoney",1
6018901,6018901,6028207,"borrowmoney",1
6018902,6018902,6017202,"borrowmoney",1
6019401,6019401,6029401,"borrowmoney",1
6019402,6019402,6009602,"borrowmoney",1
6019404,6019404,6004506,"borrowmoney",1
6019601,6019601,6019701,"borrowmoney",1
6019602,6019602,6019701,"borrowmoney",1
6019701,6019701,6019401,"borrowmoney",1
6019702,6019702,6003702,"borrowmoney",1
6019801,6019801,6020101,"borrowmoney",1
6019802,6019802,6020103,"borrowmoney",1
6019803,6019803,6022702,"borrowmoney",1
6020201,6020201,6003001,"borrowmoney",1
6020202,6020202,6023301,"borrowmoney",1
6020203,6020203,6022101,"borrowmoney",1
6020401,6020401,6002601,"borrowmoney",1
6020402,6020402,6028601,"borrowmoney",1
6020601,6020601,6009101,"borrowmoney",1
6020602,6020602,6022101,"borrowmoney",1
6020604,6020604,6020402,"borrowmoney",1
6020801,6020801,6008901,"borrowmoney",1
6021101,6021101,6010201,"borrowmoney",1
6021102,6021102,6022502,"borrowmoney",1
6021401,6021401,6023501,"borrowmoney",1
6021402,6021402,6021501,"borrowmoney",1
6021403,6021403,6021202,"borrowmoney",1
6021801,6021801,6024203,"borrowmoney",1
6021802,6021802,6024203,"borrowmoney",1
6022101,6022101,6004301,"borrowmoney",1
6022102,6022102,6027404,"borrowmoney",1
6022301,6022301,6022101,"borrowmoney",1
6022302,6022302,6008901,"borrowmoney",1
6022501,6022501,6021101,"borrowmoney",1
6022502,6022502,6021101,"borrowmoney",1
6022701,6022701,6022502,"borrowmoney",1
6022702,6022702,6020301,"borrowmoney",1
6022801,6022801,6008504,"borrowmoney",1
6022802,6022802,6003201,"borrowmoney",1
6022803,6022803,6003201,"borrowmoney",1
6022804,6022804,6003201,"borrowmoney",1
6023102,6023102,6023201,"borrowmoney",1
6023201,6023201,6023102,"borrowmoney",1
6023301,6023301,6018601,"borrowmoney",1
6023302,6023302,6023305,"borrowmoney",1
6023401,6023401,6023601,"borrowmoney",1
6023402,6023402,6023501,"borrowmoney",1
6023601,6023601,6026201,"borrowmoney",1
6023602,6023602,6023402,"borrowmoney",1
6023604,6023604,6025101,"borrowmoney",1
6024101,6024101,6024301,"borrowmoney",1
6024102,6024102,6024301,"borrowmoney",1
6024301,6024301,6024203,"borrowmoney",1
6024302,6024302,6024203,"borrowmoney",1
6024304,6024304,6024203,"borrowmoney",1
6024306,6024306,6025201,"borrowmoney",1
6024307,6024307,6024302,"borrowmoney",1
6025001,6025001,6002003,"borrowmoney",1
6025002,6025002,6023402,"borrowmoney",1
6025101,6025101,6023601,"borrowmoney",1
6025102,6025102,6025002,"borrowmoney",1
6025501,6025501,6024801,"borrowmoney",1
6025502,6025502,6025603,"borrowmoney",1
6025601,6025601,6024901,"borrowmoney",1
